,date,provider,region,age,total_number
52,2020-12-27,Pfizer/BioNTech,Lombardia,20-29,42.0
53,2020-12-27,Pfizer/BioNTech,Lombardia,30-39,64.0
54,2020-12-27,Pfizer/BioNTech,Lombardia,40-49,142.0
55,2020-12-27,Pfizer/BioNTech,Lombardia,50-59,234.0
56,2020-12-27,Pfizer/BioNTech,Lombardia,60-69,201.0
57,2020-12-27,Pfizer/BioNTech,Lombardia,70-79,23.0
58,2020-12-27,Pfizer/BioNTech,Lombardia,80-89,10.0
59,2020-12-27,Pfizer/BioNTech,Lombardia,90+,2.0
167,2020-12-28,Pfizer/BioNTech,Lombardia,20-29,7.0
168,2020-12-28,Pfizer/BioNTech,Lombardia,30-39,20.0
169,2020-12-28,Pfizer/BioNTech,Lombardia,40-49,29.0
170,2020-12-28,Pfizer/BioNTech,Lombardia,50-59,38.0
171,2020-12-28,Pfizer/BioNTech,Lombardia,60-69,14.0
202,2020-12-29,Pfizer/BioNTech,Lombardia,20-29,11.0
203,2020-12-29,Pfizer/BioNTech,Lombardia,30-39,31.0
204,2020-12-29,Pfizer/BioNTech,Lombardia,40-49,28.0
205,2020-12-29,Pfizer/BioNTech,Lombardia,50-59,25.0
206,2020-12-29,Pfizer/BioNTech,Lombardia,60-69,12.0
249,2020-12-30,Pfizer/BioNTech,Lombardia,20-29,12.0
250,2020-12-30,Pfizer/BioNTech,Lombardia,30-39,36.0
251,2020-12-30,Pfizer/BioNTech,Lombardia,40-49,26.0
252,2020-12-30,Pfizer/BioNTech,Lombardia,50-59,34.0
253,2020-12-30,Pfizer/BioNTech,Lombardia,60-69,6.0
254,2020-12-30,Pfizer/BioNTech,Lombardia,70-79,1.0
340,2020-12-31,Pfizer/BioNTech,Lombardia,20-29,59.0
341,2020-12-31,Pfizer/BioNTech,Lombardia,30-39,160.0
342,2020-12-31,Pfizer/BioNTech,Lombardia,40-49,158.0
343,2020-12-31,Pfizer/BioNTech,Lombardia,50-59,249.0
344,2020-12-31,Pfizer/BioNTech,Lombardia,60-69,88.0
345,2020-12-31,Pfizer/BioNTech,Lombardia,70-79,1.0
25,2021-01-01,Pfizer/BioNTech,Lombardia,20-29,1.0
26,2021-01-01,Pfizer/BioNTech,Lombardia,30-39,6.0
27,2021-01-01,Pfizer/BioNTech,Lombardia,40-49,6.0
28,2021-01-01,Pfizer/BioNTech,Lombardia,50-59,8.0
29,2021-01-01,Pfizer/BioNTech,Lombardia,60-69,3.0
30,2021-01-01,Pfizer/BioNTech,Lombardia,70-79,1.0
146,2021-01-02,Pfizer/BioNTech,Lombardia,12-19,1.0
147,2021-01-02,Pfizer/BioNTech,Lombardia,20-29,28.0
148,2021-01-02,Pfizer/BioNTech,Lombardia,30-39,42.0
149,2021-01-02,Pfizer/BioNTech,Lombardia,40-49,55.0
150,2021-01-02,Pfizer/BioNTech,Lombardia,50-59,52.0
151,2021-01-02,Pfizer/BioNTech,Lombardia,60-69,23.0
152,2021-01-02,Pfizer/BioNTech,Lombardia,70-79,1.0
290,2021-01-03,Pfizer/BioNTech,Lombardia,20-29,89.0
291,2021-01-03,Pfizer/BioNTech,Lombardia,30-39,159.0
292,2021-01-03,Pfizer/BioNTech,Lombardia,40-49,180.0
293,2021-01-03,Pfizer/BioNTech,Lombardia,50-59,280.0
294,2021-01-03,Pfizer/BioNTech,Lombardia,60-69,133.0
295,2021-01-03,Pfizer/BioNTech,Lombardia,70-79,10.0
296,2021-01-03,Pfizer/BioNTech,Lombardia,80-89,2.0
297,2021-01-03,Pfizer/BioNTech,Lombardia,90+,4.0
450,2021-01-04,Pfizer/BioNTech,Lombardia,20-29,499.0
451,2021-01-04,Pfizer/BioNTech,Lombardia,30-39,1172.0
452,2021-01-04,Pfizer/BioNTech,Lombardia,40-49,1450.0
453,2021-01-04,Pfizer/BioNTech,Lombardia,50-59,1976.0
454,2021-01-04,Pfizer/BioNTech,Lombardia,60-69,824.0
455,2021-01-04,Pfizer/BioNTech,Lombardia,70-79,62.0
456,2021-01-04,Pfizer/BioNTech,Lombardia,80-89,79.0
457,2021-01-04,Pfizer/BioNTech,Lombardia,90+,71.0
559,2021-01-05,Moderna,Lombardia,60-69,1.0
623,2021-01-05,Pfizer/BioNTech,Lombardia,12-19,1.0
624,2021-01-05,Pfizer/BioNTech,Lombardia,20-29,687.0
625,2021-01-05,Pfizer/BioNTech,Lombardia,30-39,1549.0
626,2021-01-05,Pfizer/BioNTech,Lombardia,40-49,1864.0
627,2021-01-05,Pfizer/BioNTech,Lombardia,50-59,2552.0
628,2021-01-05,Pfizer/BioNTech,Lombardia,60-69,1012.0
629,2021-01-05,Pfizer/BioNTech,Lombardia,70-79,52.0
630,2021-01-05,Pfizer/BioNTech,Lombardia,80-89,81.0
631,2021-01-05,Pfizer/BioNTech,Lombardia,90+,76.0
800,2021-01-06,Pfizer/BioNTech,Lombardia,12-19,1.0
801,2021-01-06,Pfizer/BioNTech,Lombardia,20-29,814.0
802,2021-01-06,Pfizer/BioNTech,Lombardia,30-39,1536.0
803,2021-01-06,Pfizer/BioNTech,Lombardia,40-49,1550.0
804,2021-01-06,Pfizer/BioNTech,Lombardia,50-59,2158.0
805,2021-01-06,Pfizer/BioNTech,Lombardia,60-69,1011.0
806,2021-01-06,Pfizer/BioNTech,Lombardia,70-79,73.0
807,2021-01-06,Pfizer/BioNTech,Lombardia,80-89,15.0
808,2021-01-06,Pfizer/BioNTech,Lombardia,90+,8.0
977,2021-01-07,Pfizer/BioNTech,Lombardia,12-19,3.0
978,2021-01-07,Pfizer/BioNTech,Lombardia,20-29,1022.0
979,2021-01-07,Pfizer/BioNTech,Lombardia,30-39,2095.0
980,2021-01-07,Pfizer/BioNTech,Lombardia,40-49,2616.0
981,2021-01-07,Pfizer/BioNTech,Lombardia,50-59,3655.0
982,2021-01-07,Pfizer/BioNTech,Lombardia,60-69,1508.0
983,2021-01-07,Pfizer/BioNTech,Lombardia,70-79,203.0
984,2021-01-07,Pfizer/BioNTech,Lombardia,80-89,324.0
985,2021-01-07,Pfizer/BioNTech,Lombardia,90+,344.0
1103,2021-01-08,Moderna,Lombardia,50-59,1.0
1173,2021-01-08,Pfizer/BioNTech,Lombardia,12-19,2.0
1174,2021-01-08,Pfizer/BioNTech,Lombardia,20-29,1217.0
1175,2021-01-08,Pfizer/BioNTech,Lombardia,30-39,2269.0
1176,2021-01-08,Pfizer/BioNTech,Lombardia,40-49,2865.0
1177,2021-01-08,Pfizer/BioNTech,Lombardia,50-59,4174.0
1178,2021-01-08,Pfizer/BioNTech,Lombardia,60-69,1735.0
1179,2021-01-08,Pfizer/BioNTech,Lombardia,70-79,193.0
1180,2021-01-08,Pfizer/BioNTech,Lombardia,80-89,156.0
1181,2021-01-08,Pfizer/BioNTech,Lombardia,90+,125.0
1362,2021-01-09,Pfizer/BioNTech,Lombardia,12-19,7.0
1363,2021-01-09,Pfizer/BioNTech,Lombardia,20-29,1418.0
1364,2021-01-09,Pfizer/BioNTech,Lombardia,30-39,2171.0
1365,2021-01-09,Pfizer/BioNTech,Lombardia,40-49,2586.0
1366,2021-01-09,Pfizer/BioNTech,Lombardia,50-59,3729.0
1367,2021-01-09,Pfizer/BioNTech,Lombardia,60-69,2155.0
1368,2021-01-09,Pfizer/BioNTech,Lombardia,70-79,263.0
1369,2021-01-09,Pfizer/BioNTech,Lombardia,80-89,109.0
1370,2021-01-09,Pfizer/BioNTech,Lombardia,90+,70.0
1547,2021-01-10,Pfizer/BioNTech,Lombardia,12-19,25.0
1548,2021-01-10,Pfizer/BioNTech,Lombardia,20-29,1384.0
1549,2021-01-10,Pfizer/BioNTech,Lombardia,30-39,1746.0
1550,2021-01-10,Pfizer/BioNTech,Lombardia,40-49,2136.0
1551,2021-01-10,Pfizer/BioNTech,Lombardia,50-59,2963.0
1552,2021-01-10,Pfizer/BioNTech,Lombardia,60-69,1906.0
1553,2021-01-10,Pfizer/BioNTech,Lombardia,70-79,295.0
1554,2021-01-10,Pfizer/BioNTech,Lombardia,80-89,50.0
1555,2021-01-10,Pfizer/BioNTech,Lombardia,90+,39.0
1738,2021-01-11,Pfizer/BioNTech,Lombardia,12-19,12.0
1739,2021-01-11,Pfizer/BioNTech,Lombardia,20-29,1800.0
1740,2021-01-11,Pfizer/BioNTech,Lombardia,30-39,2658.0
1741,2021-01-11,Pfizer/BioNTech,Lombardia,40-49,3519.0
1742,2021-01-11,Pfizer/BioNTech,Lombardia,50-59,5099.0
1743,2021-01-11,Pfizer/BioNTech,Lombardia,60-69,2065.0
1744,2021-01-11,Pfizer/BioNTech,Lombardia,70-79,397.0
1745,2021-01-11,Pfizer/BioNTech,Lombardia,80-89,393.0
1746,2021-01-11,Pfizer/BioNTech,Lombardia,90+,351.0
1940,2021-01-12,Pfizer/BioNTech,Lombardia,12-19,16.0
1941,2021-01-12,Pfizer/BioNTech,Lombardia,20-29,2039.0
1942,2021-01-12,Pfizer/BioNTech,Lombardia,30-39,3154.0
1943,2021-01-12,Pfizer/BioNTech,Lombardia,40-49,4238.0
1944,2021-01-12,Pfizer/BioNTech,Lombardia,50-59,5958.0
1945,2021-01-12,Pfizer/BioNTech,Lombardia,60-69,2633.0
1946,2021-01-12,Pfizer/BioNTech,Lombardia,70-79,660.0
1947,2021-01-12,Pfizer/BioNTech,Lombardia,80-89,847.0
1948,2021-01-12,Pfizer/BioNTech,Lombardia,90+,759.0
2132,2021-01-13,Pfizer/BioNTech,Lombardia,12-19,26.0
2133,2021-01-13,Pfizer/BioNTech,Lombardia,20-29,2754.0
2134,2021-01-13,Pfizer/BioNTech,Lombardia,30-39,3571.0
2135,2021-01-13,Pfizer/BioNTech,Lombardia,40-49,5100.0
2136,2021-01-13,Pfizer/BioNTech,Lombardia,50-59,7110.0
2137,2021-01-13,Pfizer/BioNTech,Lombardia,60-69,3097.0
2138,2021-01-13,Pfizer/BioNTech,Lombardia,70-79,1033.0
2139,2021-01-13,Pfizer/BioNTech,Lombardia,80-89,1929.0
2140,2021-01-13,Pfizer/BioNTech,Lombardia,90+,1819.0
2338,2021-01-14,Pfizer/BioNTech,Lombardia,12-19,31.0
2339,2021-01-14,Pfizer/BioNTech,Lombardia,20-29,2592.0
2340,2021-01-14,Pfizer/BioNTech,Lombardia,30-39,3523.0
2341,2021-01-14,Pfizer/BioNTech,Lombardia,40-49,5039.0
2342,2021-01-14,Pfizer/BioNTech,Lombardia,50-59,6798.0
2343,2021-01-14,Pfizer/BioNTech,Lombardia,60-69,2975.0
2344,2021-01-14,Pfizer/BioNTech,Lombardia,70-79,1184.0
2345,2021-01-14,Pfizer/BioNTech,Lombardia,80-89,2491.0
2346,2021-01-14,Pfizer/BioNTech,Lombardia,90+,2278.0
2562,2021-01-15,Pfizer/BioNTech,Lombardia,12-19,24.0
2563,2021-01-15,Pfizer/BioNTech,Lombardia,20-29,2647.0
2564,2021-01-15,Pfizer/BioNTech,Lombardia,30-39,3329.0
2565,2021-01-15,Pfizer/BioNTech,Lombardia,40-49,4809.0
2566,2021-01-15,Pfizer/BioNTech,Lombardia,50-59,6386.0
2567,2021-01-15,Pfizer/BioNTech,Lombardia,60-69,2778.0
2568,2021-01-15,Pfizer/BioNTech,Lombardia,70-79,1152.0
2569,2021-01-15,Pfizer/BioNTech,Lombardia,80-89,2170.0
2570,2021-01-15,Pfizer/BioNTech,Lombardia,90+,1946.0
2783,2021-01-16,Pfizer/BioNTech,Lombardia,12-19,66.0
2784,2021-01-16,Pfizer/BioNTech,Lombardia,20-29,2334.0
2785,2021-01-16,Pfizer/BioNTech,Lombardia,30-39,2123.0
2786,2021-01-16,Pfizer/BioNTech,Lombardia,40-49,2750.0
2787,2021-01-16,Pfizer/BioNTech,Lombardia,50-59,3595.0
2788,2021-01-16,Pfizer/BioNTech,Lombardia,60-69,2452.0
2789,2021-01-16,Pfizer/BioNTech,Lombardia,70-79,860.0
2790,2021-01-16,Pfizer/BioNTech,Lombardia,80-89,741.0
2791,2021-01-16,Pfizer/BioNTech,Lombardia,90+,719.0
2986,2021-01-17,Pfizer/BioNTech,Lombardia,12-19,33.0
2987,2021-01-17,Pfizer/BioNTech,Lombardia,20-29,1603.0
2988,2021-01-17,Pfizer/BioNTech,Lombardia,30-39,1150.0
2989,2021-01-17,Pfizer/BioNTech,Lombardia,40-49,1481.0
2990,2021-01-17,Pfizer/BioNTech,Lombardia,50-59,1933.0
2991,2021-01-17,Pfizer/BioNTech,Lombardia,60-69,1213.0
2992,2021-01-17,Pfizer/BioNTech,Lombardia,70-79,460.0
2993,2021-01-17,Pfizer/BioNTech,Lombardia,80-89,153.0
2994,2021-01-17,Pfizer/BioNTech,Lombardia,90+,128.0
3198,2021-01-18,Pfizer/BioNTech,Lombardia,12-19,4.0
3199,2021-01-18,Pfizer/BioNTech,Lombardia,20-29,721.0
3200,2021-01-18,Pfizer/BioNTech,Lombardia,30-39,1177.0
3201,2021-01-18,Pfizer/BioNTech,Lombardia,40-49,1555.0
3202,2021-01-18,Pfizer/BioNTech,Lombardia,50-59,1948.0
3203,2021-01-18,Pfizer/BioNTech,Lombardia,60-69,860.0
3204,2021-01-18,Pfizer/BioNTech,Lombardia,70-79,419.0
3205,2021-01-18,Pfizer/BioNTech,Lombardia,80-89,783.0
3206,2021-01-18,Pfizer/BioNTech,Lombardia,90+,817.0
3426,2021-01-19,Pfizer/BioNTech,Lombardia,12-19,4.0
3427,2021-01-19,Pfizer/BioNTech,Lombardia,20-29,578.0
3428,2021-01-19,Pfizer/BioNTech,Lombardia,30-39,992.0
3429,2021-01-19,Pfizer/BioNTech,Lombardia,40-49,1382.0
3430,2021-01-19,Pfizer/BioNTech,Lombardia,50-59,1710.0
3431,2021-01-19,Pfizer/BioNTech,Lombardia,60-69,748.0
3432,2021-01-19,Pfizer/BioNTech,Lombardia,70-79,379.0
3433,2021-01-19,Pfizer/BioNTech,Lombardia,80-89,905.0
3434,2021-01-19,Pfizer/BioNTech,Lombardia,90+,883.0
3570,2021-01-20,Moderna,Lombardia,80-89,1.0
3672,2021-01-20,Pfizer/BioNTech,Lombardia,12-19,4.0
3673,2021-01-20,Pfizer/BioNTech,Lombardia,20-29,439.0
3674,2021-01-20,Pfizer/BioNTech,Lombardia,30-39,668.0
3675,2021-01-20,Pfizer/BioNTech,Lombardia,40-49,998.0
3676,2021-01-20,Pfizer/BioNTech,Lombardia,50-59,1292.0
3677,2021-01-20,Pfizer/BioNTech,Lombardia,60-69,504.0
3678,2021-01-20,Pfizer/BioNTech,Lombardia,70-79,306.0
3679,2021-01-20,Pfizer/BioNTech,Lombardia,80-89,730.0
3680,2021-01-20,Pfizer/BioNTech,Lombardia,90+,658.0
3806,2021-01-21,Moderna,Lombardia,50-59,1.0
3807,2021-01-21,Moderna,Lombardia,80-89,1.0
3912,2021-01-21,Pfizer/BioNTech,Lombardia,12-19,3.0
3913,2021-01-21,Pfizer/BioNTech,Lombardia,20-29,405.0
3914,2021-01-21,Pfizer/BioNTech,Lombardia,30-39,624.0
3915,2021-01-21,Pfizer/BioNTech,Lombardia,40-49,903.0
3916,2021-01-21,Pfizer/BioNTech,Lombardia,50-59,1090.0
3917,2021-01-21,Pfizer/BioNTech,Lombardia,60-69,446.0
3918,2021-01-21,Pfizer/BioNTech,Lombardia,70-79,234.0
3919,2021-01-21,Pfizer/BioNTech,Lombardia,80-89,619.0
3920,2021-01-21,Pfizer/BioNTech,Lombardia,90+,497.0
4039,2021-01-22,Moderna,Lombardia,90+,1.0
4134,2021-01-22,Pfizer/BioNTech,Lombardia,12-19,1.0
4135,2021-01-22,Pfizer/BioNTech,Lombardia,20-29,293.0
4136,2021-01-22,Pfizer/BioNTech,Lombardia,30-39,407.0
4137,2021-01-22,Pfizer/BioNTech,Lombardia,40-49,538.0
4138,2021-01-22,Pfizer/BioNTech,Lombardia,50-59,660.0
4139,2021-01-22,Pfizer/BioNTech,Lombardia,60-69,283.0
4140,2021-01-22,Pfizer/BioNTech,Lombardia,70-79,176.0
4141,2021-01-22,Pfizer/BioNTech,Lombardia,80-89,457.0
4142,2021-01-22,Pfizer/BioNTech,Lombardia,90+,379.0
4347,2021-01-23,Pfizer/BioNTech,Lombardia,12-19,1.0
4348,2021-01-23,Pfizer/BioNTech,Lombardia,20-29,78.0
4349,2021-01-23,Pfizer/BioNTech,Lombardia,30-39,132.0
4350,2021-01-23,Pfizer/BioNTech,Lombardia,40-49,167.0
4351,2021-01-23,Pfizer/BioNTech,Lombardia,50-59,245.0
4352,2021-01-23,Pfizer/BioNTech,Lombardia,60-69,153.0
4353,2021-01-23,Pfizer/BioNTech,Lombardia,70-79,34.0
4354,2021-01-23,Pfizer/BioNTech,Lombardia,80-89,60.0
4355,2021-01-23,Pfizer/BioNTech,Lombardia,90+,55.0
4522,2021-01-24,Pfizer/BioNTech,Lombardia,20-29,140.0
4523,2021-01-24,Pfizer/BioNTech,Lombardia,30-39,84.0
4524,2021-01-24,Pfizer/BioNTech,Lombardia,40-49,97.0
4525,2021-01-24,Pfizer/BioNTech,Lombardia,50-59,127.0
4526,2021-01-24,Pfizer/BioNTech,Lombardia,60-69,47.0
4527,2021-01-24,Pfizer/BioNTech,Lombardia,70-79,16.0
4528,2021-01-24,Pfizer/BioNTech,Lombardia,80-89,17.0
4529,2021-01-24,Pfizer/BioNTech,Lombardia,90+,10.0
4714,2021-01-25,Pfizer/BioNTech,Lombardia,20-29,105.0
4715,2021-01-25,Pfizer/BioNTech,Lombardia,30-39,80.0
4716,2021-01-25,Pfizer/BioNTech,Lombardia,40-49,100.0
4717,2021-01-25,Pfizer/BioNTech,Lombardia,50-59,118.0
4718,2021-01-25,Pfizer/BioNTech,Lombardia,60-69,36.0
4719,2021-01-25,Pfizer/BioNTech,Lombardia,70-79,13.0
4720,2021-01-25,Pfizer/BioNTech,Lombardia,80-89,41.0
4721,2021-01-25,Pfizer/BioNTech,Lombardia,90+,22.0
4924,2021-01-26,Pfizer/BioNTech,Lombardia,12-19,0.0
4925,2021-01-26,Pfizer/BioNTech,Lombardia,20-29,28.0
4926,2021-01-26,Pfizer/BioNTech,Lombardia,30-39,44.0
4927,2021-01-26,Pfizer/BioNTech,Lombardia,40-49,69.0
4928,2021-01-26,Pfizer/BioNTech,Lombardia,50-59,81.0
4929,2021-01-26,Pfizer/BioNTech,Lombardia,60-69,32.0
4930,2021-01-26,Pfizer/BioNTech,Lombardia,70-79,17.0
4931,2021-01-26,Pfizer/BioNTech,Lombardia,80-89,50.0
4932,2021-01-26,Pfizer/BioNTech,Lombardia,90+,25.0
5145,2021-01-27,Pfizer/BioNTech,Lombardia,12-19,1.0
5146,2021-01-27,Pfizer/BioNTech,Lombardia,20-29,46.0
5147,2021-01-27,Pfizer/BioNTech,Lombardia,30-39,70.0
5148,2021-01-27,Pfizer/BioNTech,Lombardia,40-49,105.0
5149,2021-01-27,Pfizer/BioNTech,Lombardia,50-59,148.0
5150,2021-01-27,Pfizer/BioNTech,Lombardia,60-69,76.0
5151,2021-01-27,Pfizer/BioNTech,Lombardia,70-79,73.0
5152,2021-01-27,Pfizer/BioNTech,Lombardia,80-89,159.0
5153,2021-01-27,Pfizer/BioNTech,Lombardia,90+,128.0
5270,2021-01-28,Moderna,Lombardia,90+,1.0
5367,2021-01-28,Pfizer/BioNTech,Lombardia,12-19,0.0
5368,2021-01-28,Pfizer/BioNTech,Lombardia,20-29,41.0
5369,2021-01-28,Pfizer/BioNTech,Lombardia,30-39,65.0
5370,2021-01-28,Pfizer/BioNTech,Lombardia,40-49,140.0
5371,2021-01-28,Pfizer/BioNTech,Lombardia,50-59,154.0
5372,2021-01-28,Pfizer/BioNTech,Lombardia,60-69,59.0
5373,2021-01-28,Pfizer/BioNTech,Lombardia,70-79,55.0
5374,2021-01-28,Pfizer/BioNTech,Lombardia,80-89,150.0
5375,2021-01-28,Pfizer/BioNTech,Lombardia,90+,131.0
5508,2021-01-29,Moderna,Lombardia,30-39,1.0
5509,2021-01-29,Moderna,Lombardia,40-49,0.0
5510,2021-01-29,Moderna,Lombardia,50-59,1.0
5612,2021-01-29,Pfizer/BioNTech,Lombardia,12-19,0.0
5613,2021-01-29,Pfizer/BioNTech,Lombardia,20-29,38.0
5614,2021-01-29,Pfizer/BioNTech,Lombardia,30-39,70.0
5615,2021-01-29,Pfizer/BioNTech,Lombardia,40-49,121.0
5616,2021-01-29,Pfizer/BioNTech,Lombardia,50-59,160.0
5617,2021-01-29,Pfizer/BioNTech,Lombardia,60-69,62.0
5618,2021-01-29,Pfizer/BioNTech,Lombardia,70-79,41.0
5619,2021-01-29,Pfizer/BioNTech,Lombardia,80-89,101.0
5620,2021-01-29,Pfizer/BioNTech,Lombardia,90+,90.0
5825,2021-01-30,Pfizer/BioNTech,Lombardia,12-19,0.0
5826,2021-01-30,Pfizer/BioNTech,Lombardia,20-29,28.0
5827,2021-01-30,Pfizer/BioNTech,Lombardia,30-39,16.0
5828,2021-01-30,Pfizer/BioNTech,Lombardia,40-49,23.0
5829,2021-01-30,Pfizer/BioNTech,Lombardia,50-59,35.0
5830,2021-01-30,Pfizer/BioNTech,Lombardia,60-69,19.0
5831,2021-01-30,Pfizer/BioNTech,Lombardia,70-79,10.0
5832,2021-01-30,Pfizer/BioNTech,Lombardia,80-89,9.0
5833,2021-01-30,Pfizer/BioNTech,Lombardia,90+,6.0
6019,2021-01-31,Pfizer/BioNTech,Lombardia,12-19,0.0
6020,2021-01-31,Pfizer/BioNTech,Lombardia,20-29,1.0
6021,2021-01-31,Pfizer/BioNTech,Lombardia,30-39,2.0
6022,2021-01-31,Pfizer/BioNTech,Lombardia,40-49,7.0
6023,2021-01-31,Pfizer/BioNTech,Lombardia,50-59,13.0
6024,2021-01-31,Pfizer/BioNTech,Lombardia,60-69,4.0
6025,2021-01-31,Pfizer/BioNTech,Lombardia,70-79,2.0
6026,2021-01-31,Pfizer/BioNTech,Lombardia,80-89,1.0
6027,2021-01-31,Pfizer/BioNTech,Lombardia,90+,0.0
6232,2021-02-01,Pfizer/BioNTech,Lombardia,12-19,0.0
6233,2021-02-01,Pfizer/BioNTech,Lombardia,20-29,8.0
6234,2021-02-01,Pfizer/BioNTech,Lombardia,30-39,25.0
6235,2021-02-01,Pfizer/BioNTech,Lombardia,40-49,53.0
6236,2021-02-01,Pfizer/BioNTech,Lombardia,50-59,56.0
6237,2021-02-01,Pfizer/BioNTech,Lombardia,60-69,27.0
6238,2021-02-01,Pfizer/BioNTech,Lombardia,70-79,26.0
6239,2021-02-01,Pfizer/BioNTech,Lombardia,80-89,50.0
6240,2021-02-01,Pfizer/BioNTech,Lombardia,90+,63.0
6380,2021-02-02,Moderna,Lombardia,20-29,1.0
6381,2021-02-02,Moderna,Lombardia,30-39,2.0
6382,2021-02-02,Moderna,Lombardia,40-49,8.0
6383,2021-02-02,Moderna,Lombardia,50-59,4.0
6384,2021-02-02,Moderna,Lombardia,60-69,6.0
6385,2021-02-02,Moderna,Lombardia,70-79,3.0
6386,2021-02-02,Moderna,Lombardia,80-89,10.0
6387,2021-02-02,Moderna,Lombardia,90+,16.0
6486,2021-02-02,Pfizer/BioNTech,Lombardia,12-19,0.0
6487,2021-02-02,Pfizer/BioNTech,Lombardia,20-29,39.0
6488,2021-02-02,Pfizer/BioNTech,Lombardia,30-39,69.0
6489,2021-02-02,Pfizer/BioNTech,Lombardia,40-49,87.0
6490,2021-02-02,Pfizer/BioNTech,Lombardia,50-59,118.0
6491,2021-02-02,Pfizer/BioNTech,Lombardia,60-69,45.0
6492,2021-02-02,Pfizer/BioNTech,Lombardia,70-79,18.0
6493,2021-02-02,Pfizer/BioNTech,Lombardia,80-89,41.0
6494,2021-02-02,Pfizer/BioNTech,Lombardia,90+,29.0
6625,2021-02-03,Moderna,Lombardia,20-29,18.0
6626,2021-02-03,Moderna,Lombardia,30-39,33.0
6627,2021-02-03,Moderna,Lombardia,40-49,35.0
6628,2021-02-03,Moderna,Lombardia,50-59,68.0
6629,2021-02-03,Moderna,Lombardia,60-69,23.0
6630,2021-02-03,Moderna,Lombardia,70-79,12.0
6631,2021-02-03,Moderna,Lombardia,80-89,23.0
6632,2021-02-03,Moderna,Lombardia,90+,16.0
6742,2021-02-03,Pfizer/BioNTech,Lombardia,12-19,0.0
6743,2021-02-03,Pfizer/BioNTech,Lombardia,20-29,63.0
6744,2021-02-03,Pfizer/BioNTech,Lombardia,30-39,87.0
6745,2021-02-03,Pfizer/BioNTech,Lombardia,40-49,165.0
6746,2021-02-03,Pfizer/BioNTech,Lombardia,50-59,189.0
6747,2021-02-03,Pfizer/BioNTech,Lombardia,60-69,75.0
6748,2021-02-03,Pfizer/BioNTech,Lombardia,70-79,46.0
6749,2021-02-03,Pfizer/BioNTech,Lombardia,80-89,115.0
6750,2021-02-03,Pfizer/BioNTech,Lombardia,90+,110.0
6898,2021-02-04,Moderna,Lombardia,20-29,27.0
6899,2021-02-04,Moderna,Lombardia,30-39,52.0
6900,2021-02-04,Moderna,Lombardia,40-49,107.0
6901,2021-02-04,Moderna,Lombardia,50-59,117.0
6902,2021-02-04,Moderna,Lombardia,60-69,46.0
6903,2021-02-04,Moderna,Lombardia,70-79,15.0
6904,2021-02-04,Moderna,Lombardia,80-89,68.0
6905,2021-02-04,Moderna,Lombardia,90+,79.0
7010,2021-02-04,Pfizer/BioNTech,Lombardia,12-19,0.0
7011,2021-02-04,Pfizer/BioNTech,Lombardia,20-29,91.0
7012,2021-02-04,Pfizer/BioNTech,Lombardia,30-39,159.0
7013,2021-02-04,Pfizer/BioNTech,Lombardia,40-49,221.0
7014,2021-02-04,Pfizer/BioNTech,Lombardia,50-59,276.0
7015,2021-02-04,Pfizer/BioNTech,Lombardia,60-69,139.0
7016,2021-02-04,Pfizer/BioNTech,Lombardia,70-79,111.0
7017,2021-02-04,Pfizer/BioNTech,Lombardia,80-89,288.0
7018,2021-02-04,Pfizer/BioNTech,Lombardia,90+,253.0
7155,2021-02-05,Moderna,Lombardia,20-29,16.0
7156,2021-02-05,Moderna,Lombardia,30-39,25.0
7157,2021-02-05,Moderna,Lombardia,40-49,51.0
7158,2021-02-05,Moderna,Lombardia,50-59,57.0
7159,2021-02-05,Moderna,Lombardia,60-69,18.0
7160,2021-02-05,Moderna,Lombardia,70-79,38.0
7161,2021-02-05,Moderna,Lombardia,80-89,101.0
7162,2021-02-05,Moderna,Lombardia,90+,114.0
7280,2021-02-05,Pfizer/BioNTech,Lombardia,12-19,0.0
7281,2021-02-05,Pfizer/BioNTech,Lombardia,20-29,185.0
7282,2021-02-05,Pfizer/BioNTech,Lombardia,30-39,234.0
7283,2021-02-05,Pfizer/BioNTech,Lombardia,40-49,315.0
7284,2021-02-05,Pfizer/BioNTech,Lombardia,50-59,368.0
7285,2021-02-05,Pfizer/BioNTech,Lombardia,60-69,163.0
7286,2021-02-05,Pfizer/BioNTech,Lombardia,70-79,112.0
7287,2021-02-05,Pfizer/BioNTech,Lombardia,80-89,327.0
7288,2021-02-05,Pfizer/BioNTech,Lombardia,90+,305.0
7393,2021-02-05,Vaxzevria (AstraZeneca),Lombardia,60-69,1.0
7423,2021-02-06,Moderna,Lombardia,20-29,8.0
7424,2021-02-06,Moderna,Lombardia,30-39,20.0
7425,2021-02-06,Moderna,Lombardia,40-49,34.0
7426,2021-02-06,Moderna,Lombardia,50-59,60.0
7427,2021-02-06,Moderna,Lombardia,60-69,18.0
7428,2021-02-06,Moderna,Lombardia,70-79,8.0
7429,2021-02-06,Moderna,Lombardia,80-89,37.0
7430,2021-02-06,Moderna,Lombardia,90+,25.0
7537,2021-02-06,Pfizer/BioNTech,Lombardia,12-19,1.0
7538,2021-02-06,Pfizer/BioNTech,Lombardia,20-29,52.0
7539,2021-02-06,Pfizer/BioNTech,Lombardia,30-39,89.0
