id,Alpha_increase,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,1.8890881401698794,30.0,2.109518762898091,-0.11979829545205078,-1.0720194152500457,0.0012633113249101448,1.4141624480407806,0.2051029053731247,3.0,1.0
9003,2.1087335957437032,47.0,2.357058965957417,-5.799597818883374,-2.918534511771354,0.003480016292165906,1.3251855030789284,0.3035096653580543,3.0,3.0
9004,2.3408010571614257,51.0,2.2385385578596346,-5.210335088469339,-8.614802024554024,0.002681320263316968,1.1511864173446245,0.30904099576670285,2.0,0.0
9005,2.3701803111837014,46.0,2.067951463104475,0.9069097160630778,-2.7983184634043017,0.00791244776994704,1.4390885273333982,0.33051978851757996,6.0,12.0
9006,2.4321151934153034,39.0,1.9526169031138738,-4.42728050378107,-6.56622232913077,0.0017818251715176706,1.2410637289358493,0.1581842731817672,1.0,0.0
9007,2.308327899408413,46.0,1.926613362312941,-4.209276394588628,-7.698557287329735,0.005874754064611218,1.1105489012649996,0.3093311671549866,6.0,0.0
9008,1.9481220475302277,30.0,1.9305369392969043,-3.6318122248560925,1.803165706621437,0.0018651931131145436,1.2321251316885227,0.12844228691723902,3.0,18.0
9009,2.3717863280792844,37.0,2.2591383120631194,-3.7390450120066188,-3.1965593395585925,0.006162386438376944,1.3881756690908507,0.3692863757314517,6.0,1.0
9010,2.2808877140347175,53.0,1.9931682839380478,-0.9987360360543304,-7.7902057431230265,0.0009623718636764217,1.4208477581914274,0.20870393569851134,1.0,2.0
9011,2.1398573828134855,47.0,1.7595829642880103,-6.765003828760519,-2.037880434899613,0.005442277471318035,1.2707417444552296,0.28234499674784763,4.0,4.0
9012,2.2582567924280683,45.0,1.474989080410572,-3.9109326805375764,-4.19372795125248,0.003511076779289661,1.227374550738725,0.2607338791530333,5.0,4.0
9013,2.022535853084395,58.0,2.109467671256203,-0.2555143685370008,-2.9351606482286576,0.0012718198503258826,1.4265806671286394,0.20009153983525396,1.0,4.0
9014,1.9099142539283374,30.0,1.9013449814917882,-2.9994072324210634,0.8340678922080889,0.000709161137981058,1.4509432253212011,0.1467330658595026,2.0,9.0
9015,1.9578321303819564,39.0,2.1500536162756863,-7.2851763794948825,-4.291038812696323,0.002139856745183885,1.2006460467520972,0.25507110166057984,2.0,5.0
9016,2.1065856454518324,53.0,1.999946754316304,-5.19623539822255,0.36549558174516816,0.00570207905857628,1.2441665797183374,0.21369391153220635,3.0,0.0
9017,2.200608080169783,45.0,1.5840403018917082,0.6797520075307096,-3.993041993313618,0.008582745250623419,1.097970980693874,0.1546963315356562,6.0,3.0
9018,2.388337849972821,44.0,1.903124449908209,-1.5361162388471747,0.14519046335286334,0.004479839340859813,1.1534108947302928,0.3280702777088732,4.0,3.0
9019,2.192504306179585,38.0,2.258219141927257,0.2483260615793818,-4.589212069458173,0.0009966263206594606,1.0108154701854508,0.2510013388219747,2.0,0.0
9020,1.7467461570720966,46.0,1.8553376688101297,1.879803876009735,-2.294620295469633,0.0019234588214645408,1.01123716153736,0.14296906320952696,2.0,34.0
9021,2.227986220066079,49.0,1.62952824314491,-5.953901367097959,-7.358449559647433,0.005552338014781491,1.1653863134681592,0.26626658793524227,4.0,1.0
9022,2.224248513213795,37.0,1.6756764078784885,-2.633660265359783,-5.555244114243675,0.0068787295110888215,1.2814359147864185,0.18464071239845065,7.0,4.0
9023,2.32503903263231,43.0,1.5969577707866172,-2.6485234441118237,-6.201834902900592,0.005796711096884707,1.3191800228626513,0.34212928231943956,5.0,5.0
9024,2.143114396086053,43.0,1.908558675144731,-1.0924028704877193,-2.6737307117274067,0.0066421235396031,1.4707918393253472,0.1711587336682202,3.0,3.0
9025,2.18198369386811,40.0,1.4215189624071747,1.1886207963429425,-8.5873279748782,0.005563342844649318,1.1299761978113139,0.1860411469198764,4.0,0.0
9026,2.320389442306843,48.0,1.754236465442344,-3.4945001478487137,-0.24118865665078948,0.003323360863017537,1.2571453664343233,0.13317629912604412,1.0,3.0
9027,2.033744167885504,28.0,1.265477452335736,-6.244266050780791,-1.3057119180864012,0.0026953728884102895,1.0683574002634837,0.1655171552707729,5.0,3.0
9028,2.148655102533883,44.0,1.8515971977916577,1.5112493219205656,-3.2556151342490636,0.003254811513552465,1.262203173124117,0.11417960854394417,2.0,0.0
9029,2.3661623890059222,55.0,1.918936861390408,-7.765007459640003,-4.123918095427533,0.00813410209019642,1.4071397904147174,0.16633762691865905,3.0,2.0
9030,2.301546307405643,52.0,2.2828651774933895,1.2273850358194414,-5.306513906776963,0.006041589338659113,1.1070359323368621,0.25988525242416305,3.0,2.0
9031,2.1400419023013004,48.0,1.7102311602572553,-4.453690510567249,-6.859870482736929,0.003450725382397245,1.0793379709480282,0.303419803290243,4.0,2.0
9032,1.9853407237625051,36.0,1.410408900833148,-6.437460796858217,-1.3797711151482868,0.006244014002940964,1.2133877027843305,0.10967103590840843,7.0,2.0
9033,2.3045587921041477,50.0,1.7720479441278836,-6.885930524029855,-4.282635400341969,0.004891165580445348,1.4777423642153054,0.28041141177816487,4.0,7.0
9034,2.2703168395642956,35.0,1.4950794946278196,-2.737051411235591,0.4340673841228043,0.0050704131665693375,1.1669761322318213,0.3275192002482345,5.0,5.0
9035,2.2432258633651037,59.0,2.031967968934857,-1.7733342611042922,-0.46546345929086685,0.000737525703700035,1.3351513896599567,0.1831572404899963,0.0,17.0
9036,2.3334668633808238,36.0,2.227287509073114,-6.974652078386249,-4.344834578759104,0.0031251292189161074,1.3478726446324014,0.3465521584605321,7.0,9.0
9037,2.286453298208733,43.0,2.1719168434419713,-8.779194616100215,-2.175600647586033,0.005449402873812742,1.3319478602600192,0.2611155652738585,3.0,0.0
9038,2.3698307754151804,59.0,1.8737437996565374,-4.331430960646766,-2.4008879213265066,0.0026247270460960006,1.3670007042041303,0.15182934005284573,2.0,7.0
9039,2.3458895723098374,45.0,2.0382386325377406,-5.759678466992346,-0.8561883051983201,0.007324699522380133,1.1665752072657547,0.34392047048337454,7.0,3.0
9040,2.10399625928553,41.0,1.4544230359070658,-9.206457982818396,-2.891964371089445,0.005429138160528016,1.2455505171982477,0.29996198808537783,5.0,11.0
9041,2.1154044522364024,45.0,1.1750120561688344,1.563403351313975,-7.095468942832288,0.006354453641451232,1.1095674136520624,0.1642274390010397,5.0,5.0
9042,2.210361846626538,48.0,1.4407347387413079,-3.1832217328538333,-6.202226855466879,0.007623930827777507,1.4857074206263667,0.16073868209691775,4.0,6.0
9043,1.9849462679875407,33.0,1.583779310026721,0.15008785383263623,-9.122855692877126,0.003994485510585649,1.3880660044890376,0.16416377745176608,7.0,6.0
9044,2.2953587216153983,49.0,1.672310141928864,-2.3239553914124786,-9.090636060715266,0.009120024867095199,1.0742610268220154,0.2790636856800071,4.0,3.0
9045,1.9014715145476502,33.0,1.4093878340081367,1.516826658546591,-1.801882219578888,0.003345631917600259,1.3924152594449035,0.13310722728166066,4.0,17.0
9046,1.8971215082474255,48.0,1.4829620836189483,1.9391782928918142,-3.8909094628839074,0.004828599770505732,1.0770137173173533,0.20427990809185287,4.0,3.0
9047,2.211583782494978,52.0,2.321472416093972,-5.288964805530793,-5.932130236030524,0.0019555847947544443,1.026492558973209,0.2923911434689677,2.0,10.0
9048,2.169173208221495,46.0,1.4633176464808104,-2.4965283309679456,-4.121015206522153,0.0037238483359946385,1.1669436571242229,0.19352699132042178,4.0,1.0
9049,2.2274405318403483,55.0,1.4084830331282758,-0.3603685294389687,-8.132106928913934,0.006097916471610314,1.1122463579539312,0.13943428141945474,4.0,0.0
9050,2.270401301468581,54.0,1.763660608454032,-0.13216987301370509,-3.8202722191217386,0.00869170421105913,1.0621594505548786,0.2561451842472717,6.0,6.0
9051,2.2422581436184976,48.0,1.9964358203587012,-2.3893529402003644,-2.132988735943797,0.005701511451260184,1.0364446948971024,0.19305758406771578,3.0,0.0
9052,2.320463680705903,43.0,1.612926151988419,-6.212084968395656,-6.500992248790303,0.01004997572423555,1.4275812032012638,0.19881825787139998,7.0,7.0
9053,2.2111022287273063,57.0,1.6862340913345035,-0.10314949697900544,-4.248331611591893,0.0077909595637319995,1.4661087460569746,0.28532870446914727,4.0,9.0
9054,2.2465798146501164,45.0,1.3059661908769917,-1.497439913962609,-1.9122890872222102,0.005996125270617519,1.4756951219973837,0.19807883917226277,5.0,1.0
9055,2.2171296508193588,34.0,1.5448747772892637,0.28455755409771366,1.7282130383592909,0.005393578496549681,1.0836720946274205,0.33309439892818804,5.0,3.0
9056,2.209520747031934,50.0,1.972109536869313,-3.1586827295844953,0.19144872751538333,0.002620211837664809,1.289108532529021,0.17020394616280027,3.0,4.0
9057,2.29972053190631,37.0,1.7702721204219565,-6.22706489443342,-1.4371494725904652,0.005483280024121142,1.2639964328296056,0.23266569089423073,6.0,5.0
9058,2.1032877592653447,44.0,1.5708433581233021,1.8305248076694798,-1.935398774027974,0.01195906872228669,1.302572428191362,0.1938591595722922,7.0,6.0
9059,1.9471432995156404,38.0,2.105539859672769,-0.044883315855646755,-3.548379623820977,0.004137281636642536,1.243479444683102,0.3238310440864672,6.0,8.0
9060,2.1563607257477915,58.0,1.9399514448319557,-7.668360636597596,-3.1385155347458262,0.005866554489156343,1.172193240658349,0.178847177355462,3.0,4.0
