id,Alpha_increase,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,2.4007118900127846,45.0,2.618816859865563,-2.8455753017873793,-6.595381880060561,0.0032688997790722247,1.110321104784835,0.3434562235012153,3.0,3.0
9003,2.0906236887340555,41.0,1.811729352838841,2.016428019317347,0.0667643637255147,0.004593570210168389,1.408338182776454,0.22615413597524878,2.0,4.0
9004,2.078159583277699,39.0,1.8684596851184263,-0.37782832859846494,-7.805560351134673,0.0028718674266836916,1.1207886168539423,0.20631283508963033,1.0,5.0
9005,2.4807406572686426,49.0,2.0338149148325666,-4.505329765946164,-4.429431753805389,0.005477161262204771,1.2930557491093768,0.19799144895665277,2.0,0.0
9006,1.3331663260891278,27.0,1.6062549649740798,-0.9640487340883782,-7.32101407569895,0.0042417453431102215,1.2447346474450052,0.1759822166519856,2.0,8.0
9007,2.290371244259224,45.0,1.9992828728599659,-0.801929778206343,-6.6497905535874,0.003589672779422119,1.418163396549154,0.3405059360059605,0.0,6.0
9008,2.302394087334358,44.0,1.73437931445081,-7.884492270861033,-7.145692257917017,0.002777872143155849,1.1491198088768484,0.2707876256911948,4.0,6.0
9009,2.1386621156738777,41.0,1.5384007414991205,0.7812941591216188,-6.653101475443487,0.006550143536814154,1.3724053560320888,0.17989529493704326,1.0,6.0
9010,1.62284005505932,44.0,1.849188781911079,-3.7225390271523873,-7.61322465137105,0.005291261606658347,1.3410409934911989,0.17659954366624486,3.0,1.0
9011,1.8416779180581617,32.0,1.54084012645518,0.996967827893815,-2.397557164872866,0.0047990032805179505,1.4683201201139398,0.19327805024136122,2.0,16.0
9012,2.0058256965376353,46.0,2.4709573731758594,-1.7795053799781042,-4.570196963322786,0.00465429005559789,1.2101964360225124,0.373786258441372,3.0,12.0
9013,2.189677172590077,32.0,1.9833031482123786,1.0586388638114939,-7.12511603476347,0.005566627344818418,1.4437060158378352,0.3880580906233889,2.0,5.0
9014,2.1396828630345635,52.0,1.651525352049365,-5.628930655545819,-7.789223845920942,0.009558999277518907,1.187610442621224,0.1792693441617239,6.0,5.0
9015,2.3325495822206497,43.0,1.9665796737128995,-5.836991265868849,1.724897652905531,0.008482123091460276,1.42467996926442,0.2996288068933415,6.0,7.0
