id,Alpha_increase,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9002,2.316315417499528,44.0,1.9468335419480685,0.001352023360648067,0.15089013252156727,1.0,5.0
9003,2.409711424129878,33.0,2.057584017501812,0.008031665609782575,0.3759509874191923,7.0,1.0
9004,2.392815646645942,49.0,1.6757513357310172,0.0032808223544603045,0.235443797107876,4.0,13.0
9005,2.2052845256887235,55.0,1.5105811814517334,0.009181703679253809,0.13437585561667834,6.0,0.0
9006,2.3989116069812555,39.0,1.3460700803280323,0.009342737478141874,0.2602560627703684,5.0,5.0
9007,2.2831401800879982,60.0,1.8320272463066583,0.00878925922115412,0.227556819094359,6.0,0.0
9008,2.2173708165687587,39.0,2.3772423607505493,0.0012011872078077851,0.27777534080162125,3.0,5.0
9009,2.2854099238864083,44.0,1.227966311428281,0.006501114600058119,0.16096409086273222,5.0,9.0
9010,2.233995595638095,42.0,1.8370778261030696,0.003143950324559498,0.32677087373682095,4.0,9.0
9011,1.9349493064195928,30.0,1.5926837416339628,0.004787599786321102,0.12518598551150617,6.0,13.0
9012,2.2204751673525225,46.0,1.4858646608358295,0.012272884389288988,0.12726840332268755,7.0,0.0
9013,2.1026942817182115,34.0,1.3979768191987372,0.008007369457301114,0.11077226023825057,7.0,3.0
9014,2.035311079342922,52.0,1.4391761722282004,0.00793085381242955,0.1797148354999263,4.0,0.0
9015,2.184654414205591,43.0,2.1883622654046238,0.005169990741247936,0.28809006060583525,3.0,0.0
9016,2.382443296996309,52.0,1.8011142704525351,0.008027480068215073,0.33761835831847414,4.0,8.0
9017,2.1990245383796574,44.0,2.0389430525779555,0.004148637517568958,0.38345380766444503,4.0,12.0
9018,2.3180024720757615,63.0,1.7878536178840663,0.005857984937620233,0.3131412683760539,4.0,0.0
9019,2.3971981604677755,41.0,1.8593529788107908,0.00203345140491306,0.1408520504730519,1.0,8.0
9020,2.255003551028815,44.0,1.8780145344970078,0.004559323443790591,0.28117774958486264,7.0,9.0
