,date,age,total_number,rV
770,2021/3/25,30-39,3145,0.0027396
771,2021/3/25,40-49,3917,0.002601109
772,2021/3/25,50-59,4685,0.002914056
773,2021/3/25,60-69,2892,0.002418855
774,2021/3/25,70-79,1295,0.00131041
775,2021/3/25,80-89,10243,0.01668347
776,2021/3/25,90+,843,0.008764634
3435,2021/3/26,45057,0,0
777,2021/3/26,45279,92,0.000119455
778,2021/3/26,20-29,1607,0.001615277
779,2021/3/26,30-39,2452,0.002135929
780,2021/3/26,40-49,3287,0.002182754
781,2021/3/26,50-59,4001,0.00248861
782,2021/3/26,60-69,2493,0.002085133
783,2021/3/26,70-79,1196,0.001210232
784,2021/3/26,80-89,11044,0.017988113
785,2021/3/26,90+,1353,0.014067081
3436,2021/3/27,45057,0,0
786,2021/3/27,45279,58,7.53E-05
787,2021/3/27,20-29,1277,0.001283577
788,2021/3/27,30-39,1902,0.001656826
789,2021/3/27,40-49,2473,0.001642212
790,2021/3/27,50-59,2820,0.001754031
791,2021/3/27,60-69,2125,0.00177734
792,2021/3/27,70-79,1005,0.001016959
793,2021/3/27,80-89,10323,0.016813772
794,2021/3/27,90+,1149,0.011946102
3437,2021/3/28,45057,0,0
795,2021/3/28,45279,26,3.38E-05
796,2021/3/28,20-29,722,0.000725719
797,2021/3/28,30-39,1294,0.001127199
798,2021/3/28,40-49,1512,0.001004053
799,2021/3/28,50-59,1760,0.001094715
800,2021/3/28,60-69,1327,0.001109896
801,2021/3/28,70-79,739,0.000747794
802,2021/3/28,80-89,5920,0.009642306
803,2021/3/28,90+,658,0.006841197
3438,2021/3/29,45057,0,0
804,2021/3/29,45279,40,5.19E-05
805,2021/3/29,20-29,1989,0.001999244
806,2021/3/29,30-39,2554,0.002224781
807,2021/3/29,40-49,3182,0.002113028
808,2021/3/29,50-59,3830,0.002382248
809,2021/3/29,60-69,2431,0.002033277
810,2021/3/29,70-79,1305,0.001320529
811,2021/3/29,80-89,8519,0.013875474
812,2021/3/29,90+,741,0.007704144
3439,2021/3/30,45057,0,0
813,2021/3/30,45279,42,5.45E-05
814,2021/3/30,20-29,1607,0.001615277
815,2021/3/30,30-39,2291,0.001995683
816,2021/3/30,40-49,2860,0.001899202
817,2021/3/30,50-59,3526,0.002193161
818,2021/3/30,60-69,2502,0.002092661
819,2021/3/30,70-79,1283,0.001298268
820,2021/3/30,80-89,9233,0.015038414
821,2021/3/30,90+,953,0.009908299
3440,2021/3/31,45057,0,0
822,2021/3/31,45279,62,8.05E-05
823,2021/3/31,20-29,1439,0.001446411
824,2021/3/31,30-39,1873,0.001631564
825,2021/3/31,40-49,2645,0.001756429
826,2021/3/31,50-59,3281,0.002040772
827,2021/3/31,60-69,2275,0.001902799
828,2021/3/31,70-79,1307,0.001322553
829,2021/3/31,80-89,12145,0.019781387
830,2021/3/31,90+,1253,0.013027386
3441,2021/4/1,45057,0,0
831,2021/4/1,45279,37,4.80E-05
832,2021/4/1,20-29,1316,0.001322778
833,2021/4/1,30-39,1843,0.001605431
834,2021/4/1,40-49,2398,0.001592407
835,2021/4/1,50-59,2971,0.001847953
836,2021/4/1,60-69,2121,0.001773994
837,2021/4/1,70-79,1160,0.001173804
838,2021/4/1,80-89,12978,0.02113815
839,2021/4/1,90+,1368,0.014223035
3442,2021/4/2,45057,0,0
840,2021/4/2,45279,91,0.000118157
841,2021/4/2,20-29,1321,0.001327804
842,2021/4/2,30-39,1588,0.001383302
843,2021/4/2,40-49,2223,0.001476198
844,2021/4/2,50-59,2776,0.001726663
845,2021/4/2,60-69,1961,0.001640171
846,2021/4/2,70-79,1442,0.00145916
847,2021/4/2,80-89,13647,0.022227796
848,2021/4/2,90+,1203,0.012507538
3443,2021/4/3,45057,0,0
849,2021/4/3,45279,15,1.95E-05
850,2021/4/3,20-29,550,0.000552833
851,2021/4/3,30-39,662,0.000576666
852,2021/4/3,40-49,960,0.000637494
853,2021/4/3,50-59,1203,0.000748262
854,2021/4/3,60-69,849,0.0007101
855,2021/4/3,70-79,844,0.000854044
856,2021/4/3,80-89,19088,0.031089923
857,2021/4/3,90+,1713,0.017809985
3444,2021/4/4,45057,0,0
858,2021/4/4,45279,4,5.19E-06
859,2021/4/4,20-29,40,4.02E-05
860,2021/4/4,30-39,45,3.92E-05
861,2021/4/4,40-49,95,6.31E-05
862,2021/4/4,50-59,163,0.000101385
863,2021/4/4,60-69,130,0.000108731
864,2021/4/4,70-79,114,0.000115357
865,2021/4/4,80-89,2963,0.004826039
866,2021/4/4,90+,135,0.001403589
3445,2021/4/5,45057,0,0
867,2021/4/5,45279,15,1.95E-05
868,2021/4/5,20-29,208,0.000209071
869,2021/4/5,30-39,261,0.000227356
870,2021/4/5,40-49,388,0.000257654
871,2021/4/5,50-59,544,0.000338366
872,2021/4/5,60-69,494,0.000413179
873,2021/4/5,70-79,454,0.000459403
874,2021/4/5,80-89,15717,0.025599346
875,2021/4/5,90+,1048,0.01089601
3446,2021/4/6,45057,0,0
876,2021/4/6,45279,58,7.53E-05
877,2021/4/6,20-29,1139,0.001144866
878,2021/4/6,30-39,1589,0.001384173
879,2021/4/6,40-49,2071,0.001375261
880,2021/4/6,50-59,2756,0.001714224
881,2021/4/6,60-69,2410,0.002015713
882,2021/4/6,70-79,1444,0.001461184
883,2021/4/6,80-89,12153,0.019794417
884,2021/4/6,90+,1005,0.010448941
3447,2021/4/7,45057,0,0
885,2021/4/7,45279,92,0.000119455
886,2021/4/7,20-29,885,0.000889558
887,2021/4/7,30-39,1181,0.001028765
888,2021/4/7,40-49,1532,0.001017335
889,2021/4/7,50-59,2017,0.001254568
890,2021/4/7,60-69,1798,0.001503839
891,2021/4/7,70-79,2911,0.002945641
892,2021/4/7,80-89,21466,0.034963133
893,2021/4/7,90+,2351,0.024443243
3448,2021/4/8,45057,0,0
894,2021/4/8,45279,44,5.71E-05
895,2021/4/8,20-29,699,0.0007026
896,2021/4/8,30-39,1041,0.000906812
897,2021/4/8,40-49,1545,0.001025967
898,2021/4/8,50-59,2087,0.001298108
899,2021/4/8,60-69,2209,0.001847597
900,2021/4/8,70-79,3442,0.00348296
901,2021/4/8,80-89,21981,0.035801948
902,2021/4/8,90+,2463,0.025607702
3449,2021/4/9,45057,0,0
903,2021/4/9,45279,56,7.27E-05
904,2021/4/9,20-29,1002,0.001007161
905,2021/4/9,30-39,1281,0.001115875
906,2021/4/9,40-49,1963,0.001303543
907,2021/4/9,50-59,2723,0.001693698
908,2021/4/9,60-69,3019,0.002525077
909,2021/4/9,70-79,4197,0.004246944
910,2021/4/9,80-89,19338,0.031497115
911,2021/4/9,90+,2296,0.02387141
3450,2021/4/10,45057,0,0
912,2021/4/10,45279,54,7.01E-05
913,2021/4/10,20-29,621,0.000624198
914,2021/4/10,30-39,790,0.000688166
915,2021/4/10,40-49,1357,0.000901125
916,2021/4/10,50-59,1985,0.001234664
917,2021/4/10,60-69,2192,0.001833378
918,2021/4/10,70-79,3896,0.003942362
919,2021/4/10,80-89,25693,0.041847935
920,2021/4/10,90+,3775,0.039248508
3451,2021/4/11,45057,0,0
921,2021/4/11,45279,57,7.40E-05
922,2021/4/11,20-29,404,0.000406081
923,2021/4/11,30-39,597,0.000520045
924,2021/4/11,40-49,1042,0.000691947
925,2021/4/11,50-59,1425,0.000886346
926,2021/4/11,60-69,1643,0.001374197
927,2021/4/11,70-79,1471,0.001488505
928,2021/4/11,80-89,16859,0.027459399
929,2021/4/11,90+,1012,0.010521719
3452,2021/4/12,45057,0,0
930,2021/4/12,45279,56,7.27E-05
931,2021/4/12,20-29,610,0.000613142
932,2021/4/12,30-39,682,0.000594088
933,2021/4/12,40-49,997,0.000662064
934,2021/4/12,50-59,1429,0.000888834
935,2021/4/12,60-69,1736,0.001451982
936,2021/4/12,70-79,25160,0.025459403
937,2021/4/12,80-89,1272,0.002071793
938,2021/4/12,90+,519,0.00539602
3453,2021/4/13,45057,0,0
939,2021/4/13,45279,54,7.01E-05
940,2021/4/13,20-29,441,0.000443271
941,2021/4/13,30-39,591,0.000514818
942,2021/4/13,40-49,952,0.000632182
943,2021/4/13,50-59,1416,0.000880748
944,2021/4/13,60-69,1851,0.001548168
945,2021/4/13,70-79,25782,0.026088804
946,2021/4/13,80-89,1381,0.002249329
947,2021/4/13,90+,653,0.006789212
3454,2021/4/14,45057,0,0
948,2021/4/14,45279,45,5.84E-05
949,2021/4/14,20-29,432,0.000434225
950,2021/4/14,30-39,592,0.000515689
951,2021/4/14,40-49,993,0.000659408
952,2021/4/14,50-59,1550,0.000964095
953,2021/4/14,60-69,1845,0.001543149
954,2021/4/14,70-79,25996,0.026305351
955,2021/4/14,80-89,1481,0.002412205
956,2021/4/14,90+,792,0.008234389
3455,2021/4/15,45057,0,0
957,2021/4/15,45279,62,8.05E-05
958,2021/4/15,20-29,422,0.000424173
959,2021/4/15,30-39,597,0.000520045
960,2021/4/15,40-49,1042,0.000691947
961,2021/4/15,50-59,1706,0.001061127
962,2021/4/15,60-69,1983,0.001658572
963,2021/4/15,70-79,26740,0.027058204
964,2021/4/15,80-89,1634,0.002661407
965,2021/4/15,90+,890,0.009253291
3456,2021/4/16,45057,0,0
966,2021/4/16,45279,76,9.87E-05
967,2021/4/16,20-29,1043,0.001048372
968,2021/4/16,30-39,698,0.000608026
969,2021/4/16,40-49,1118,0.000742415
970,2021/4/16,50-59,1706,0.001061127
971,2021/4/16,60-69,1922,0.001607552
972,2021/4/16,70-79,29729,0.030082773
973,2021/4/16,80-89,1568,0.002553908
974,2021/4/16,90+,812,0.008442328
3457,2021/4/17,45057,0,0
975,2021/4/17,45279,53,6.88E-05
976,2021/4/17,20-29,385,0.000386983
977,2021/4/17,30-39,515,0.000448615
978,2021/4/17,40-49,884,0.000587026
979,2021/4/17,50-59,1496,0.000930507
980,2021/4/17,60-69,1833,0.001533112
981,2021/4/17,70-79,29530,0.029881405
982,2021/4/17,80-89,1535,0.002500159
983,2021/4/17,90+,971,0.010095444
3458,2021/4/18,45057,0,0
984,2021/4/18,45279,45,5.84E-05
985,2021/4/18,20-29,214,0.000215102
986,2021/4/18,30-39,319,0.00027788
987,2021/4/18,40-49,570,0.000378512
988,2021/4/18,50-59,891,0.000554199
989,2021/4/18,60-69,1017,0.000850614
990,2021/4/18,70-79,26708,0.027025824
991,2021/4/18,80-89,600,0.000977261
992,2021/4/18,90+,363,0.003774095
3459,2021/4/19,45057,0,0
993,2021/4/19,45279,94,0.000122052
994,2021/4/19,20-29,570,0.000572936
995,2021/4/19,30-39,818,0.000712557
996,2021/4/19,40-49,1442,0.000957569
997,2021/4/19,50-59,2281,0.001418775
998,2021/4/19,60-69,5537,0.00463112
999,2021/4/19,70-79,36589,0.037024407
1000,2021/4/19,80-89,1933,0.003148408
1001,2021/4/19,90+,745,0.007745732
3460,2021/4/20,45057,0,0
1002,2021/4/20,45279,128,0.000166199
1003,2021/4/20,20-29,789,0.000793064
1004,2021/4/20,30-39,1063,0.000925976
1005,2021/4/20,40-49,1626,0.001079756
1006,2021/4/20,50-59,2470,0.001536332
1007,2021/4/20,60-69,11193,0.009361772
1008,2021/4/20,70-79,35796,0.03622197
1009,2021/4/20,80-89,2236,0.003641925
1010,2021/4/20,90+,964,0.010022665
3461,2021/4/21,45057,0,0
1011,2021/4/21,45279,164,0.000212942
1012,2021/4/21,20-29,775,0.000778992
1013,2021/4/21,30-39,951,0.000828413
1014,2021/4/21,40-49,1606,0.001066475
1015,2021/4/21,50-59,2590,0.001610972
1016,2021/4/21,60-69,12992,0.010866447
1017,2021/4/21,70-79,33925,0.034328706
1018,2021/4/21,80-89,2132,0.003472533
1019,2021/4/21,90+,1035,0.010760849
3462,2021/4/22,45057,0,0
1020,2021/4/22,45279,127,0.0001649
1021,2021/4/22,20-29,801,0.000805125
1022,2021/4/22,30-39,1101,0.000959078
1023,2021/4/22,40-49,1803,0.001197294
1024,2021/4/22,50-59,2709,0.00168499
1025,2021/4/22,60-69,13446,0.01124617
1026,2021/4/22,70-79,33138,0.03353234
1027,2021/4/22,80-89,2302,0.003749424
1028,2021/4/22,90+,1109,0.011530224
3463,2021/4/23,45057,0,0
1029,2021/4/23,45279,173,0.000224628
1030,2021/4/23,20-29,794,0.000798089
1031,2021/4/23,30-39,1062,0.000925105
1032,2021/4/23,40-49,1754,0.001164755
1033,2021/4/23,50-59,2862,0.001780155
1034,2021/4/23,60-69,14616,0.012224753
1035,2021/4/23,70-79,31445,0.031819194
1036,2021/4/23,80-89,2227,0.003627266
1037,2021/4/23,90+,991,0.010303383
3464,2021/4/24,45057,0,0
1038,2021/4/24,45279,140,0.00018178
1039,2021/4/24,20-29,684,0.000687523
1040,2021/4/24,30-39,926,0.000806636
1041,2021/4/24,40-49,1583,0.001051201
1042,2021/4/24,50-59,2504,0.00155748
1043,2021/4/24,60-69,14538,0.012159514
1044,2021/4/24,70-79,30341,0.030702056
1045,2021/4/24,80-89,2044,0.003329202
1046,2021/4/24,90+,1021,0.010615292
3465,2021/4/25,45057,0,0
1047,2021/4/25,45279,151,0.000196063
1048,2021/4/25,20-29,770,0.000773966
1049,2021/4/25,30-39,825,0.000718655
1050,2021/4/25,40-49,1483,0.000984796
1051,2021/4/25,50-59,2278,0.001416909
1052,2021/4/25,60-69,11449,0.009575889
1053,2021/4/25,70-79,27440,0.027766534
1054,2021/4/25,80-89,1066,0.001736267
1055,2021/4/25,90+,397,0.004127591
3466,2021/4/26,45057,0,0
1056,2021/4/26,45279,165,0.000214241
1057,2021/4/26,20-29,1205,0.001211206
1058,2021/4/26,30-39,1322,0.00115159
1059,2021/4/26,40-49,2173,0.001442995
1060,2021/4/26,50-59,3596,0.002236701
1061,2021/4/26,60-69,24774,0.020720856
1062,2021/4/26,70-79,31948,0.032328179
1063,2021/4/26,80-89,1793,0.002920381
1064,2021/4/26,90+,636,0.006612464
3467,2021/4/27,45057,0,0
1065,2021/4/27,45279,280,0.00036356
1066,2021/4/27,20-29,1254,0.001260459
1067,2021/4/27,30-39,1427,0.001243055
1068,2021/4/27,40-49,2336,0.001551236
1069,2021/4/27,50-59,3943,0.002452534
1070,2021/4/27,60-69,25667,0.021467757
1071,2021/4/27,70-79,30606,0.03097021
1072,2021/4/27,80-89,1975,0.003216817
1073,2021/4/27,90+,685,0.007121915
3468,2021/4/28,45057,0,0
1074,2021/4/28,45279,244,0.000316816
1075,2021/4/28,20-29,1406,0.001413241
1076,2021/4/28,30-39,1455,0.001267446
1077,2021/4/28,40-49,2453,0.001628931
1078,2021/4/28,50-59,4073,0.002533393
1079,2021/4/28,60-69,25772,0.021555578
1080,2021/4/28,70-79,29537,0.029888489
1081,2021/4/28,80-89,1808,0.002944812
1082,2021/4/28,90+,686,0.007132312
3469,2021/4/29,45057,0,0
1083,2021/4/29,45279,412,0.000534952
1084,2021/4/29,20-29,2175,0.002186202
1085,2021/4/29,30-39,2140,0.001864147
1086,2021/4/29,40-49,3407,0.00226244
1087,2021/4/29,50-59,9830,0.00611423
1088,2021/4/29,60-69,33811,0.028279359
1089,2021/4/29,70-79,29458,0.029808549
1090,2021/4/29,80-89,1862,0.003032766
1091,2021/4/29,90+,713,0.007413029
3470,2021/4/30,45057,0,0
1092,2021/4/30,45279,507,0.000658303
1093,2021/4/30,20-29,2266,0.002277671
1094,2021/4/30,30-39,2097,0.00182669
1095,2021/4/30,40-49,3531,0.002344783
1096,2021/4/30,50-59,13154,0.008181748
1097,2021/4/30,60-69,35277,0.029505515
1098,2021/4/30,70-79,28527,0.02886647
1099,2021/4/30,80-89,1831,0.002982274
1100,2021/4/30,90+,772,0.00802645
3471,2021/5/1,45057,0,0
1101,2021/5/1,45279,249,0.000323309
1102,2021/5/1,20-29,1156,0.001161954
1103,2021/5/1,30-39,1195,0.001040961
1104,2021/5/1,40-49,2137,0.001419089
1105,2021/5/1,50-59,5931,0.003689064
1106,2021/5/1,60-69,29470,0.024648568
1107,2021/5/1,70-79,24242,0.024530478
1108,2021/5/1,80-89,955,0.001555473
1109,2021/5/1,90+,243,0.00252646
3472,2021/5/2,45057,0,0
1110,2021/5/2,45279,344,0.000446659
1111,2021/5/2,20-29,1608,0.001616282
1112,2021/5/2,30-39,1529,0.001331907
1113,2021/5/2,40-49,2749,0.001825491
1114,2021/5/2,50-59,6782,0.004218383
1115,2021/5/2,60-69,25519,0.02134397
1116,2021/5/2,70-79,20341,0.020583057
1117,2021/5/2,80-89,739,0.00120366
1118,2021/5/2,90+,182,0.001892246
3473,2021/5/3,45057,0,0
1119,2021/5/3,45279,454,0.000589486
1120,2021/5/3,20-29,1628,0.001636385
1121,2021/5/3,30-39,1710,0.001489576
1122,2021/5/3,40-49,3098,0.002057247
1123,2021/5/3,50-59,6801,0.004230201
1124,2021/5/3,60-69,33773,0.028247576
1125,2021/5/3,70-79,21221,0.021473529
1126,2021/5/3,80-89,1055,0.00171835
1127,2021/5/3,90+,334,0.003472583
3474,2021/5/4,45057,0,0
1128,2021/5/4,45279,418,0.000542743
1129,2021/5/4,20-29,1695,0.00170373
1130,2021/5/4,30-39,1806,0.001573201
1131,2021/5/4,40-49,3489,0.002316893
1132,2021/5/4,50-59,6888,0.004284315
1133,2021/5/4,60-69,36255,0.030323509
1134,2021/5/4,70-79,18864,0.019088481
1135,2021/5/4,80-89,1124,0.001830735
1136,2021/5/4,90+,379,0.003940446
3475,2021/5/5,45057,0,0
1137,2021/5/5,45279,445,0.000577801
1138,2021/5/5,20-29,1926,0.00193592
1139,2021/5/5,30-39,2087,0.001817979
1140,2021/5/5,40-49,3760,0.002496852
1141,2021/5/5,50-59,7370,0.004584117
1142,2021/5/5,60-69,37605,0.031452643
1143,2021/5/5,70-79,16259,0.016452481
1144,2021/5/5,80-89,1238,0.002016415
1145,2021/5/5,90+,428,0.004449897
3476,2021/5/6,45057,0,0
1146,2021/5/6,45279,465,0.000603769
1147,2021/5/6,20-29,2047,0.002057543
1148,2021/5/6,30-39,2403,0.002093246
1149,2021/5/6,40-49,4359,0.002894622
1150,2021/5/6,50-59,8719,0.005423191
1151,2021/5/6,60-69,36949,0.030903968
1152,2021/5/6,70-79,15148,0.01532826
1153,2021/5/6,80-89,1118,0.001820963
1154,2021/5/6,90+,469,0.004876172
3477,2021/5/7,45057,0,0
1155,2021/5/7,45279,501,0.000650512
1156,2021/5/7,20-29,2218,0.002229424
1157,2021/5/7,30-39,2510,0.002186453
1158,2021/5/7,40-49,4575,0.003038058
1159,2021/5/7,50-59,8088,0.005030711
1160,2021/5/7,60-69,34792,0.029099863
1161,2021/5/7,70-79,14210,0.014379098
1162,2021/5/7,80-89,1151,0.001874712
1163,2021/5/7,90+,383,0.003982034
3478,2021/5/8,45057,0,0
1164,2021/5/8,45279,513,0.000666094
1165,2021/5/8,20-29,2504,0.002516897
1166,2021/5/8,30-39,2501,0.002178613
1167,2021/5/8,40-49,4586,0.003045363
1168,2021/5/8,50-59,7544,0.004692345
1169,2021/5/8,60-69,32542,0.027217974
1170,2021/5/8,70-79,13056,0.013211366
1171,2021/5/8,80-89,730,0.001189001
1172,2021/5/8,90+,219,0.002276933
3479,2021/5/9,45057,0,0
1173,2021/5/9,45279,476,0.000618052
1174,2021/5/9,20-29,1979,0.001989193
1175,2021/5/9,30-39,2005,0.001746549
1176,2021/5/9,40-49,3696,0.002454353
1177,2021/5/9,50-59,7233,0.004498904
1178,2021/5/9,60-69,30696,0.025673988
1179,2021/5/9,70-79,8591,0.008693232
1180,2021/5/9,80-89,344,0.000560296
1181,2021/5/9,90+,132,0.001372398
3480,2021/5/10,45057,0,0
1182,2021/5/10,45279,552,0.000716732
1183,2021/5/10,20-29,2567,0.002580221
1184,2021/5/10,30-39,2842,0.002475657
1185,2021/5/10,40-49,5021,0.003334228
1186,2021/5/10,50-59,11656,0.007249996
1187,2021/5/10,60-69,31060,0.025978436
1188,2021/5/10,70-79,7437,0.0075255
1189,2021/5/10,80-89,726,0.001182486
1190,2021/5/10,90+,243,0.00252646
3481,2021/5/11,45057,0,0
1191,2021/5/11,45279,619,0.000803727
1192,2021/5/11,20-29,2681,0.002694808
1193,2021/5/11,30-39,3075,0.002678623
1194,2021/5/11,40-49,5504,0.003654967
1195,2021/5/11,50-59,11166,0.006945218
1196,2021/5/11,60-69,29799,0.024923742
1197,2021/5/11,70-79,5046,0.005106047
1198,2021/5/11,80-89,901,0.00146752
1199,2021/5/11,90+,333,0.003462186
3482,2021/5/12,45057,0,0
1200,2021/5/12,45279,609,0.000790743
1201,2021/5/12,20-29,2868,0.002882771
1202,2021/5/12,30-39,2940,0.002561025
1203,2021/5/12,40-49,5592,0.003713404
1204,2021/5/12,50-59,10818,0.006728763
1205,2021/5/12,60-69,29672,0.024817519
1206,2021/5/12,70-79,4513,0.004566704
1207,2021/5/12,80-89,917,0.00149358
1208,2021/5/12,90+,409,0.004252355
3483,2021/5/13,45057,0,0
1209,2021/5/13,45279,657,0.000853067
1210,2021/5/13,20-29,3038,0.003053647
1211,2021/5/13,30-39,3166,0.002757893
1212,2021/5/13,40-49,5751,0.003818989
1213,2021/5/13,50-59,11482,0.007141769
1214,2021/5/13,60-69,27775,0.023230878
1215,2021/5/13,70-79,3643,0.003686351
1216,2021/5/13,80-89,789,0.001285098
1217,2021/5/13,90+,344,0.003576553
3484,2021/5/14,45057,0,0
1218,2021/5/14,45279,703,0.000912795
1219,2021/5/14,20-29,3087,0.003102899
1220,2021/5/14,30-39,3200,0.00278751
1221,2021/5/14,40-49,6038,0.004009573
1222,2021/5/14,50-59,12268,0.007630658
1223,2021/5/14,60-69,24274,0.020302658
1224,2021/5/14,70-79,3505,0.003546709
1225,2021/5/14,80-89,757,0.001232977
1226,2021/5/14,90+,336,0.003493377
3485,2021/5/15,45057,0,0
1227,2021/5/15,45279,723,0.000938764
1228,2021/5/15,20-29,3028,0.003043595
1229,2021/5/15,30-39,3090,0.002691689
1230,2021/5/15,40-49,5496,0.003649654
1231,2021/5/15,50-59,11070,0.006885506
1232,2021/5/15,60-69,19651,0.016436003
1233,2021/5/15,70-79,2723,0.002755404
1234,2021/5/15,80-89,408,0.000664537
1235,2021/5/15,90+,144,0.001497162
3486,2021/5/16,45057,0,0
1236,2021/5/16,45279,544,0.000706345
1237,2021/5/16,20-29,2207,0.002218367
1238,2021/5/16,30-39,2091,0.001821463
1239,2021/5/16,40-49,3835,0.002546657
1240,2021/5/16,50-59,7962,0.004952339
1241,2021/5/16,60-69,16380,0.013700154
1242,2021/5/16,70-79,2425,0.002453857
1243,2021/5/16,80-89,232,0.000377874
1244,2021/5/16,90+,68,0.000706993
3487,2021/5/17,45057,0,0
1245,2021/5/17,45279,381,0.000494701
1246,2021/5/17,20-29,1829,0.00183842
1247,2021/5/17,30-39,2069,0.001802299
1248,2021/5/17,40-49,3483,0.002312909
1249,2021/5/17,50-59,7710,0.004795596
1250,2021/5/17,60-69,11128,0.009307406
1251,2021/5/17,70-79,2447,0.002476119
1252,2021/5/17,80-89,445,0.000724802
1253,2021/5/17,90+,192,0.001996216
3488,2021/5/18,45057,0,0
1254,2021/5/18,45279,414,0.000537549
1255,2021/5/18,20-29,2112,0.002122878
1256,2021/5/18,30-39,2180,0.001898991
1257,2021/5/18,40-49,3896,0.002587164
1258,2021/5/18,50-59,9056,0.005632804
1259,2021/5/18,60-69,10898,0.009115035
1260,2021/5/18,70-79,2824,0.002857605
1261,2021/5/18,80-89,500,0.000814384
1262,2021/5/18,90+,149,0.001549146
3489,2021/5/19,45057,0,0
1263,2021/5/19,45279,557,0.000723224
1264,2021/5/19,20-29,2593,0.002606355
1265,2021/5/19,30-39,2606,0.002270078
1266,2021/5/19,40-49,4861,0.003227979
1267,2021/5/19,50-59,9722,0.006047054
1268,2021/5/19,60-69,9479,0.00792819
1269,2021/5/19,70-79,2711,0.002743261
1270,2021/5/19,80-89,566,0.000921883
1271,2021/5/19,90+,176,0.001829864
3490,2021/5/20,45057,0,0
1272,2021/5/20,45279,571,0.000741402
1273,2021/5/20,20-29,2462,0.00247468
1274,2021/5/20,30-39,2554,0.002224781
1275,2021/5/20,40-49,4550,0.003021457
1276,2021/5/20,50-59,10446,0.00649738
1277,2021/5/20,60-69,8089,0.006765601
1278,2021/5/20,70-79,2471,0.002500405
1279,2021/5/20,80-89,518,0.000843702
1280,2021/5/20,90+,178,0.001850658
3491,2021/5/21,45057,0,0
1281,2021/5/21,45279,541,0.00070245
1282,2021/5/21,20-29,2142,0.002153032
1283,2021/5/21,30-39,2092,0.001822335
1284,2021/5/21,40-49,4075,0.00270603
1285,2021/5/21,50-59,9315,0.005793901
1286,2021/5/21,60-69,7498,0.006271291
1287,2021/5/21,70-79,2240,0.002266656
1288,2021/5/21,80-89,497,0.000809498
1289,2021/5/21,90+,132,0.001372398
3492,2021/5/22,45057,0,0
1290,2021/5/22,45279,604,0.000784251
1291,2021/5/22,20-29,2266,0.002277671
1292,2021/5/22,30-39,2377,0.002070597
1293,2021/5/22,40-49,4755,0.003157589
1294,2021/5/22,50-59,11215,0.006975695
1295,2021/5/22,60-69,7745,0.006477881
1296,2021/5/22,70-79,2410,0.002438679
1297,2021/5/22,80-89,368,0.000599387
1298,2021/5/22,90+,126,0.001310016
3493,2021/5/23,45057,0,0
1299,2021/5/23,45279,463,0.000601172
1300,2021/5/23,20-29,1996,0.00200628
1301,2021/5/23,30-39,2007,0.001748291
1302,2021/5/23,40-49,3981,0.002643609
1303,2021/5/23,50-59,10099,0.006281547
1304,2021/5/23,60-69,5639,0.004716433
1305,2021/5/23,70-79,1810,0.001831539
1306,2021/5/23,80-89,315,0.000513062
1307,2021/5/23,90+,64,0.000665405
3494,2021/5/24,45057,0,0
1308,2021/5/24,45279,796,0.001033549
1309,2021/5/24,20-29,3345,0.003362228
1310,2021/5/24,30-39,3383,0.002946921
1311,2021/5/24,40-49,6959,0.004621169
1312,2021/5/24,50-59,23608,0.014684103
1313,2021/5/24,60-69,7326,0.006127432
1314,2021/5/24,70-79,2461,0.002490286
1315,2021/5/24,80-89,653,0.001063585
1316,2021/5/24,90+,183,0.001902643
3495,2021/5/25,45057,0,0
1317,2021/5/25,45279,601,0.000780355
1318,2021/5/25,20-29,2611,0.002624448
1319,2021/5/25,30-39,2775,0.002417294
1320,2021/5/25,40-49,5430,0.003605827
1321,2021/5/25,50-59,24086,0.014981418
1322,2021/5/25,60-69,5588,0.004673777
1323,2021/5/25,70-79,2112,0.002137133
1324,2021/5/25,80-89,571,0.000930027
1325,2021/5/25,90+,184,0.00191304
3496,2021/5/26,45057,0,0
1326,2021/5/26,45279,606,0.000786847
1327,2021/5/26,20-29,2510,0.002522927
1328,2021/5/26,30-39,2626,0.0022875
1329,2021/5/26,40-49,5514,0.003661607
1330,2021/5/26,50-59,24499,0.015238303
1331,2021/5/26,60-69,4501,0.003764615
1332,2021/5/26,70-79,1896,0.001918562
1333,2021/5/26,80-89,514,0.000837187
1334,2021/5/26,90+,175,0.001819467
3497,2021/5/27,45057,0,0
1335,2021/5/27,45279,538,0.000698554
1336,2021/5/27,20-29,2265,0.002276666
1337,2021/5/27,30-39,2526,0.002200391
1338,2021/5/27,40-49,5015,0.003330243
1339,2021/5/27,50-59,24537,0.015261938
1340,2021/5/27,60-69,3800,0.003178302
1341,2021/5/27,70-79,1380,0.001396422
1342,2021/5/27,80-89,477,0.000776922
1343,2021/5/27,90+,166,0.001725895
3498,2021/5/28,45057,0,0
1344,2021/5/28,45279,443,0.000575204
1345,2021/5/28,20-29,2074,0.002084682
1346,2021/5/28,30-39,2649,0.002307536
1347,2021/5/28,40-49,4617,0.003065949
1348,2021/5/28,50-59,27361,0.017018458
1349,2021/5/28,60-69,3188,0.002666428
1350,2021/5/28,70-79,1240,0.001254756
1351,2021/5/28,80-89,417,0.000679196
1352,2021/5/28,90+,144,0.001497162
3499,2021/5/29,45057,0,0
