Unnamed: 0,prename,week_end,sex,age,rV
14,British Columbia,2021-01-08,All sexes,70–79,0.0006622089918015
15,British Columbia,2021-01-08,All sexes,80+,0.0046716471164377
12,British Columbia,2021-01-09,All sexes,0–17,4.863523800368941e-06
13,British Columbia,2021-01-09,All sexes,18–69,0.0010643938449825
14,British Columbia,2021-01-09,All sexes,70–79,0.0006622089918015
15,British Columbia,2021-01-09,All sexes,80+,0.0046716471164377
16,British Columbia,2021-01-10,All sexes,0–17,7.009196065237591e-06
17,British Columbia,2021-01-10,All sexes,18–69,0.0008002577916089
18,British Columbia,2021-01-10,All sexes,70–79,0.0007541988428443
19,British Columbia,2021-01-10,All sexes,80+,0.0047763714949639
16,British Columbia,2021-01-11,All sexes,0–17,7.009196065237591e-06
17,British Columbia,2021-01-11,All sexes,18–69,0.0008002577916089
18,British Columbia,2021-01-11,All sexes,70–79,0.0007541988428443
19,British Columbia,2021-01-11,All sexes,80+,0.0047763714949639
16,British Columbia,2021-01-12,All sexes,0–17,7.009196065237591e-06
17,British Columbia,2021-01-12,All sexes,18–69,0.0008002577916089
18,British Columbia,2021-01-12,All sexes,70–79,0.0007541988428443
19,British Columbia,2021-01-12,All sexes,80+,0.0047763714949639
16,British Columbia,2021-01-13,All sexes,0–17,7.009196065237591e-06
17,British Columbia,2021-01-13,All sexes,18–69,0.0008002577916089
18,British Columbia,2021-01-13,All sexes,70–79,0.0007541988428443
19,British Columbia,2021-01-13,All sexes,80+,0.0047763714949639
16,British Columbia,2021-01-14,All sexes,0–17,7.009196065237591e-06
17,British Columbia,2021-01-14,All sexes,18–69,0.0008002577916089
18,British Columbia,2021-01-14,All sexes,70–79,0.0007541988428443
19,British Columbia,2021-01-14,All sexes,80+,0.0047763714949639
16,British Columbia,2021-01-15,All sexes,0–17,7.009196065237591e-06
17,British Columbia,2021-01-15,All sexes,18–69,0.0008002577916089
18,British Columbia,2021-01-15,All sexes,70–79,0.0007541988428443
19,British Columbia,2021-01-15,All sexes,80+,0.0047763714949639
16,British Columbia,2021-01-16,All sexes,0–17,7.009196065237591e-06
17,British Columbia,2021-01-16,All sexes,18–69,0.0008002577916089
18,British Columbia,2021-01-16,All sexes,70–79,0.0007541988428443
19,British Columbia,2021-01-16,All sexes,80+,0.0047763714949639
20,British Columbia,2021-01-17,All sexes,0–17,2.1456722648686507e-06
21,British Columbia,2021-01-17,All sexes,18–69,0.0006657620438433
22,British Columbia,2021-01-17,All sexes,70–79,0.000913117207306
23,British Columbia,2021-01-17,All sexes,80+,0.0059551920635032
20,British Columbia,2021-01-18,All sexes,0–17,2.1456722648686507e-06
21,British Columbia,2021-01-18,All sexes,18–69,0.0006657620438433
22,British Columbia,2021-01-18,All sexes,70–79,0.000913117207306
23,British Columbia,2021-01-18,All sexes,80+,0.0059551920635032
20,British Columbia,2021-01-19,All sexes,0–17,2.1456722648686507e-06
21,British Columbia,2021-01-19,All sexes,18–69,0.0006657620438433
22,British Columbia,2021-01-19,All sexes,70–79,0.000913117207306
23,British Columbia,2021-01-19,All sexes,80+,0.0059551920635032
20,British Columbia,2021-01-20,All sexes,0–17,2.1456722648686507e-06
21,British Columbia,2021-01-20,All sexes,18–69,0.0006657620438433
22,British Columbia,2021-01-20,All sexes,70–79,0.000913117207306
23,British Columbia,2021-01-20,All sexes,80+,0.0059551920635032
20,British Columbia,2021-01-21,All sexes,0–17,2.1456722648686507e-06
21,British Columbia,2021-01-21,All sexes,18–69,0.0006657620438433
22,British Columbia,2021-01-21,All sexes,70–79,0.000913117207306
23,British Columbia,2021-01-21,All sexes,80+,0.0059551920635032
20,British Columbia,2021-01-22,All sexes,0–17,2.1456722648686507e-06
21,British Columbia,2021-01-22,All sexes,18–69,0.0006657620438433
22,British Columbia,2021-01-22,All sexes,70–79,0.000913117207306
23,British Columbia,2021-01-22,All sexes,80+,0.0059551920635032
20,British Columbia,2021-01-23,All sexes,0–17,2.1456722648686507e-06
21,British Columbia,2021-01-23,All sexes,18–69,0.0006657620438433
22,British Columbia,2021-01-23,All sexes,70–79,0.000913117207306
23,British Columbia,2021-01-23,All sexes,80+,0.0059551920635032
24,British Columbia,2021-01-24,All sexes,0–17,1.5734929942370102e-06
25,British Columbia,2021-01-24,All sexes,18–69,0.0005865374126384
26,British Columbia,2021-01-24,All sexes,70–79,0.0003128244613986
27,British Columbia,2021-01-24,All sexes,80+,0.0011969459417457
24,British Columbia,2021-01-25,All sexes,0–17,1.5734929942370102e-06
25,British Columbia,2021-01-25,All sexes,18–69,0.0005865374126384
