,prename,week_end,sex,age,rV
83,British Columbia,2021-04-24,All sexes,80+,0.012814638856973686
84,British Columbia,2021-05-01,All sexes,0–17,0.0003504598032618796
85,British Columbia,2021-05-01,All sexes,18–29,0.014773820244894096
86,British Columbia,2021-05-01,All sexes,30–39,0.029490735027635794
87,British Columbia,2021-05-01,All sexes,40–49,0.06402648160234288
88,British Columbia,2021-05-01,All sexes,50–59,0.07238032500780651
89,British Columbia,2021-05-01,All sexes,60–69,0.14383833338230542
90,British Columbia,2021-05-01,All sexes,70–79,0.024452789378474404
91,British Columbia,2021-05-01,All sexes,80+,0.01012201397063488
92,British Columbia,2021-05-08,All sexes,0–17,0.0006498526066198853
93,British Columbia,2021-05-08,All sexes,18–29,0.02901871155695799
94,British Columbia,2021-05-08,All sexes,30–39,0.04646839907252853
95,British Columbia,2021-05-08,All sexes,40–49,0.05718196864546786
96,British Columbia,2021-05-08,All sexes,50–59,0.13567229448895468
97,British Columbia,2021-05-08,All sexes,60–69,0.09931537037581172
98,British Columbia,2021-05-08,All sexes,70–79,0.014459507291153922
99,British Columbia,2021-05-08,All sexes,80+,0.008731059404568064
100,British Columbia,2021-05-15,All sexes,0–17,0.0015129850363677145
101,British Columbia,2021-05-15,All sexes,18–29,0.06117341491830136
102,British Columbia,2021-05-15,All sexes,30–39,0.09115070112426689
103,British Columbia,2021-05-15,All sexes,40–49,0.13482630534099152
104,British Columbia,2021-05-15,All sexes,50–59,0.15006195309815396
105,British Columbia,2021-05-15,All sexes,60–69,0.041994534716304766
106,British Columbia,2021-05-15,All sexes,70–79,0.009526846368251
107,British Columbia,2021-05-15,All sexes,80+,0.00816245973397994
108,British Columbia,2021-05-22,All sexes,0–17,0.015518360088436028
109,British Columbia,2021-05-22,All sexes,18–29,0.12852137916827316
110,British Columbia,2021-05-22,All sexes,30–39,0.1201283391895666
111,British Columbia,2021-05-22,All sexes,40–49,0.1357363832806114
112,British Columbia,2021-05-22,All sexes,50–59,0.057582873853796394
113,British Columbia,2021-05-22,All sexes,60–69,0.016644139511650457
114,British Columbia,2021-05-22,All sexes,70–79,0.006883022668569559
115,British Columbia,2021-05-22,All sexes,80+,0.006470758234709485
116,British Columbia,2021-05-29,All sexes,0–17,0.04307351244833221
117,British Columbia,2021-05-29,All sexes,18–29,0.156003412983535
118,British Columbia,2021-05-29,All sexes,30–39,0.13093195295095703
119,British Columbia,2021-05-29,All sexes,40–49,0.0579042767606071
120,British Columbia,2021-05-29,All sexes,50–59,0.025177625021922414
121,British Columbia,2021-05-29,All sexes,60–69,0.012148502923632945
122,British Columbia,2021-05-29,All sexes,70–79,0.0057396359943903885
123,British Columbia,2021-05-29,All sexes,80+,0.005700094218375168
124,British Columbia,2021-06-05,All sexes,0–4,0.0
125,British Columbia,2021-06-05,All sexes,05–11,0.014288063730700885
126,British Columbia,2021-06-05,All sexes,12–17,0.1348151352841407
127,British Columbia,2021-06-05,All sexes,18–29,0.12134882445544679
128,British Columbia,2021-06-05,All sexes,30–39,0.05883468535465392
129,British Columbia,2021-06-05,All sexes,40–49,0.025809265229419898
130,British Columbia,2021-06-05,All sexes,50–59,0.015608758699455468
131,British Columbia,2021-06-05,All sexes,60–69,0.007996650309993242
132,British Columbia,2021-06-05,All sexes,70–79,0.005070940538733255
133,British Columbia,2021-06-05,All sexes,80+,0.005765882610013463
134,British Columbia,2021-06-12,All sexes,0–4,0.0
135,British Columbia,2021-06-12,All sexes,05–11,0.00750103289624106
136,British Columbia,2021-06-12,All sexes,12–17,0.05977809342588374
137,British Columbia,2021-06-12,All sexes,18–29,0.051812764725451085
138,British Columbia,2021-06-12,All sexes,30–39,0.021831951002487547
139,British Columbia,2021-06-12,All sexes,40–49,0.01444313375722876
140,British Columbia,2021-06-12,All sexes,50–59,0.010407264981029092
141,British Columbia,2021-06-12,All sexes,60–69,0.006606822789645344
142,British Columbia,2021-06-12,All sexes,70–79,0.0049698106704394295
