,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
36253,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-15,-11.0,-8.0,-34.0,-10.0,-3.0,2.0
36254,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-16,-9.0,-11.0,-41.0,-9.0,-4.0,1.0
36255,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-17,11.0,4.0,28.0,-3.0,-13.0,2.0
36256,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-18,4.0,-2.0,11.0,-4.0,-13.0,2.0
36257,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-19,3.0,-3.0,3.0,-5.0,-13.0,3.0
36258,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-20,2.0,-4.0,-4.0,-6.0,-13.0,3.0
36259,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-21,3.0,-1.0,10.0,-5.0,-14.0,3.0
36260,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-22,-4.0,-3.0,-7.0,-2.0,-1.0,0.0
36261,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-23,-1.0,-3.0,-9.0,1.0,-1.0,0.0
36262,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-24,-3.0,0.0,-1.0,-3.0,-1.0,1.0
36263,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-25,-1.0,2.0,5.0,0.0,1.0,0.0
36264,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-26,-2.0,0.0,11.0,-2.0,1.0,0.0
36265,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-27,0.0,-1.0,4.0,-1.0,0.0,1.0
36266,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-28,-2.0,-1.0,-9.0,-2.0,0.0,1.0
36267,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-02-29,-2.0,0.0,-21.0,-5.0,0.0,1.0
36268,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-01,9.0,4.0,24.0,5.0,1.0,-1.0
36269,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-02,2.0,6.0,15.0,-3.0,1.0,0.0
36270,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-03,-1.0,2.0,3.0,-4.0,1.0,0.0
36271,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-04,-3.0,1.0,-7.0,-4.0,0.0,1.0
36272,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-05,-9.0,-5.0,-21.0,-6.0,-1.0,2.0
36273,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-06,1.0,8.0,14.0,-3.0,0.0,1.0
36274,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-07,-2.0,3.0,-6.0,-4.0,1.0,0.0
36275,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-08,-1.0,3.0,-2.0,-4.0,0.0,0.0
36276,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-09,-3.0,6.0,3.0,-6.0,-1.0,1.0
36277,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-10,-6.0,7.0,-3.0,-7.0,-2.0,2.0
36278,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2020-03-11,-6.0,8.0,9.0,-10.0,-3.0,2.0
