data,agegroup,n
2021-02-11,1.0,3
2021-02-11,2.0,426
2021-02-11,3.0,6104
2021-02-11,4.0,7570
2021-02-11,5.0,6602
2021-02-11,6.0,4737
2021-02-11,7.0,5244
2021-02-11,8.0,2676
2021-02-11,9.0,45851
2021-02-11,10.0,8292
2021-02-12,1.0,4
2021-02-12,2.0,385
2021-02-12,3.0,4717
2021-02-12,4.0,5403
2021-02-12,5.0,4909
2021-02-12,6.0,3849
2021-02-12,7.0,4401
2021-02-12,8.0,2658
2021-02-12,9.0,85053
2021-02-12,10.0,5907
2021-02-13,1.0,0
2021-02-13,2.0,88
2021-02-13,3.0,1567
2021-02-13,4.0,2360
2021-02-13,5.0,1870
2021-02-13,6.0,1271
2021-02-13,7.0,1106
2021-02-13,8.0,601
2021-02-13,9.0,14807
2021-02-13,10.0,1406
2021-02-14,2.0,9
2021-02-14,3.0,162
2021-02-14,4.0,180
2021-02-14,5.0,186
2021-02-14,6.0,165
2021-02-14,7.0,153
2021-02-14,8.0,125
2021-02-14,9.0,3207
2021-02-14,10.0,225
2021-02-15,2.0,163
2021-02-15,3.0,2153
2021-02-15,4.0,2706
2021-02-15,5.0,2614
2021-02-15,6.0,2000
2021-02-15,7.0,2712
2021-02-15,8.0,2142
2021-02-15,9.0,45767
2021-02-15,10.0,2652
2021-02-16,2.0,161
2021-02-16,3.0,1826
2021-02-16,4.0,2187
2021-02-16,5.0,2273
2021-02-16,6.0,1564
2021-02-16,7.0,2251
2021-02-16,8.0,1898
2021-02-16,9.0,21758
2021-02-16,10.0,1919
2021-02-17,1.0,1
2021-02-17,2.0,196
2021-02-17,3.0,2642
2021-02-17,4.0,3145
2021-02-17,5.0,2832
2021-02-17,6.0,2286
2021-02-17,7.0,2315
2021-02-17,8.0,1815
2021-02-17,9.0,18228
2021-02-17,10.0,1480
2021-02-18,1.0,0
2021-02-18,2.0,289
2021-02-18,3.0,3337
2021-02-18,4.0,4043
2021-02-18,5.0,3772
2021-02-18,6.0,2710
2021-02-18,7.0,2444
2021-02-18,8.0,2028
2021-02-18,9.0,14499
2021-02-18,10.0,1445
2021-02-19,1.0,0
2021-02-19,2.0,189
2021-02-19,3.0,2466
2021-02-19,4.0,3011
2021-02-19,5.0,2768
2021-02-19,6.0,1901
2021-02-19,7.0,1979
2021-02-19,8.0,1806
2021-02-19,9.0,11258
2021-02-19,10.0,1427
2021-02-20,2.0,22
2021-02-20,3.0,395
2021-02-20,4.0,447
2021-02-20,5.0,358
2021-02-20,6.0,282
2021-02-20,7.0,447
2021-02-20,8.0,425
2021-02-20,9.0,3305
2021-02-20,10.0,331
2021-02-21,2.0,20
2021-02-21,3.0,95
2021-02-21,4.0,91
2021-02-21,5.0,65
2021-02-21,6.0,51
2021-02-21,7.0,53
2021-02-21,8.0,132
2021-02-21,9.0,111
2021-02-21,10.0,18
2021-02-22,2.0,170
2021-02-22,3.0,1830
2021-02-22,4.0,2245
2021-02-22,5.0,1763
2021-02-22,6.0,1265
2021-02-22,7.0,1614
2021-02-22,8.0,1558
2021-02-22,9.0,7640
2021-02-22,10.0,773
2021-02-23,1.0,1
2021-02-23,2.0,133
2021-02-23,3.0,1456
2021-02-23,4.0,1629
2021-02-23,5.0,1458
2021-02-23,6.0,1058
2021-02-23,7.0,1494
2021-02-23,8.0,1626
2021-02-23,9.0,6386
2021-02-23,10.0,616
2021-02-24,2.0,136
2021-02-24,3.0,1504
2021-02-24,4.0,1613
2021-02-24,5.0,1370
2021-02-24,6.0,969
2021-02-24,7.0,1569
2021-02-24,8.0,1628
2021-02-24,9.0,5139
2021-02-24,10.0,534
2021-02-25,2.0,106
2021-02-25,3.0,1221
2021-02-25,4.0,1232
2021-02-25,5.0,1022
2021-02-25,6.0,729
2021-02-25,7.0,1337
2021-02-25,8.0,1531
2021-02-25,9.0,4345
2021-02-25,10.0,353
2021-02-26,2.0,93
2021-02-26,3.0,1225
2021-02-26,4.0,1213
2021-02-26,5.0,1057
2021-02-26,6.0,819
2021-02-26,7.0,1514
2021-02-26,8.0,1893
2021-02-26,9.0,11963
2021-02-26,10.0,600
2021-02-27,1.0,1
2021-02-27,2.0,13
2021-02-27,3.0,235
2021-02-27,4.0,213
2021-02-27,5.0,223
2021-02-27,6.0,308
2021-02-27,7.0,602
2021-02-27,8.0,1570
2021-02-27,9.0,84125
2021-02-27,10.0,551
2021-02-28,1.0,1
2021-02-28,2.0,4
2021-02-28,3.0,40
2021-02-28,4.0,54
2021-02-28,5.0,80
2021-02-28,6.0,84
2021-02-28,7.0,95
2021-02-28,8.0,306
2021-02-28,9.0,14664
2021-02-28,10.0,64
2021-03-01,1.0,4
2021-03-01,2.0,157
2021-03-01,3.0,1280
2021-03-01,4.0,1545
2021-03-01,5.0,1293
2021-03-01,6.0,5682
2021-03-01,7.0,2657
2021-03-01,8.0,10874
2021-03-01,9.0,149362
2021-03-01,10.0,1046
