,date,age_band,new_doses,population,rV
0,2020/12/8,10 - 14 years,0,425353,0
1,2020/12/8,15 - 19 years,0,194388,0
2,2020/12/8,20 - 24 years,1,736340,1.36E-06
3,2020/12/8,25 - 29 years,32,757848,4.22E-05
4,2020/12/8,30 - 34 years,37,822084,4.50E-05
5,2020/12/8,35 - 39 years,24,779934,3.08E-05
6,2020/12/8,40 - 44 years,18,677463,2.66E-05
7,2020/12/8,45 - 49 years,36,598535,6.01E-05
8,2020/12/8,5 - 9 years,0,832055,0
9,2020/12/8,50 - 54 years,27,569938,4.74E-05
11,2020/12/8,55 - 59 years,39,508722,7.67E-05
12,2020/12/8,60 - 64 years,26,405576,6.41E-05
13,2020/12/8,65 - 69 years,10,318142,3.14E-05
14,2020/12/8,70 - 74 years,11,280432,3.92E-05
16,2020/12/8,75+ years,265,499879,0.000530128
18,2020/12/9,10 - 14 years,0,425353,0
19,2020/12/9,15 - 19 years,0,194388,0
20,2020/12/9,20 - 24 years,13,736340,1.77E-05
21,2020/12/9,25 - 29 years,64,757848,8.44E-05
22,2020/12/9,30 - 34 years,78,822084,9.49E-05
23,2020/12/9,35 - 39 years,79,779934,0.000101291
24,2020/12/9,40 - 44 years,66,677463,9.74E-05
25,2020/12/9,45 - 49 years,76,598535,0.000126977
26,2020/12/9,5 - 9 years,0,832055,0
27,2020/12/9,50 - 54 years,74,569938,0.000129839
29,2020/12/9,55 - 59 years,79,508722,0.000155291
30,2020/12/9,60 - 64 years,57,405576,0.000140541
31,2020/12/9,65 - 69 years,35,318142,0.000110014
32,2020/12/9,70 - 74 years,15,280432,5.35E-05
34,2020/12/9,75+ years,220,499879,0.000440107
36,2020/12/10,10 - 14 years,0,425353,0
37,2020/12/10,15 - 19 years,0,194388,0
38,2020/12/10,20 - 24 years,9,736340,1.22E-05
39,2020/12/10,25 - 29 years,95,757848,0.000125355
40,2020/12/10,30 - 34 years,168,822084,0.000204359
41,2020/12/10,35 - 39 years,116,779934,0.000148731
42,2020/12/10,40 - 44 years,78,677463,0.000115135
43,2020/12/10,45 - 49 years,119,598535,0.000198819
44,2020/12/10,5 - 9 years,0,832055,0
45,2020/12/10,50 - 54 years,125,569938,0.000219322
47,2020/12/10,55 - 59 years,119,508722,0.00023392
48,2020/12/10,60 - 64 years,68,405576,0.000167663
49,2020/12/10,65 - 69 years,38,318142,0.000119444
50,2020/12/10,70 - 74 years,26,280432,9.27E-05
52,2020/12/10,75+ years,409,499879,0.000818198
54,2020/12/11,10 - 14 years,0,425353,0
55,2020/12/11,15 - 19 years,0,194388,0
56,2020/12/11,20 - 24 years,13,736340,1.77E-05
57,2020/12/11,25 - 29 years,90,757848,0.000118757
58,2020/12/11,30 - 34 years,126,822084,0.000153269
59,2020/12/11,35 - 39 years,81,779934,0.000103855
60,2020/12/11,40 - 44 years,88,677463,0.000129896
61,2020/12/11,45 - 49 years,113,598535,0.000188794
62,2020/12/11,5 - 9 years,0,832055,0
63,2020/12/11,50 - 54 years,133,569938,0.000233359
65,2020/12/11,55 - 59 years,108,508722,0.000212297
66,2020/12/11,60 - 64 years,95,405576,0.000234235
67,2020/12/11,65 - 69 years,48,318142,0.000150876
68,2020/12/11,70 - 74 years,25,280432,8.91E-05
70,2020/12/11,75+ years,424,499879,0.000848205
72,2020/12/12,10 - 14 years,0,425353,0
73,2020/12/12,15 - 19 years,0,194388,0
74,2020/12/12,20 - 24 years,5,736340,6.79E-06
75,2020/12/12,25 - 29 years,43,757848,5.67E-05
76,2020/12/12,30 - 34 years,49,822084,5.96E-05
77,2020/12/12,35 - 39 years,33,779934,4.23E-05
78,2020/12/12,40 - 44 years,24,677463,3.54E-05
79,2020/12/12,45 - 49 years,38,598535,6.35E-05
80,2020/12/12,5 - 9 years,0,832055,0
81,2020/12/12,50 - 54 years,42,569938,7.37E-05
83,2020/12/12,55 - 59 years,34,508722,6.68E-05
84,2020/12/12,60 - 64 years,32,405576,7.89E-05
85,2020/12/12,65 - 69 years,22,318142,6.92E-05
86,2020/12/12,70 - 74 years,10,280432,3.57E-05
88,2020/12/12,75+ years,491,499879,0.000982238
90,2020/12/13,10 - 14 years,0,425353,0
91,2020/12/13,15 - 19 years,0,194388,0
92,2020/12/13,20 - 24 years,4,736340,5.43E-06
93,2020/12/13,25 - 29 years,10,757848,1.32E-05
94,2020/12/13,30 - 34 years,6,822084,7.30E-06
95,2020/12/13,35 - 39 years,7,779934,8.98E-06
96,2020/12/13,40 - 44 years,8,677463,1.18E-05
97,2020/12/13,45 - 49 years,2,598535,3.34E-06
98,2020/12/13,5 - 9 years,0,832055,0
99,2020/12/13,50 - 54 years,1,569938,1.75E-06
101,2020/12/13,55 - 59 years,4,508722,7.86E-06
102,2020/12/13,60 - 64 years,3,405576,7.40E-06
103,2020/12/13,65 - 69 years,1,318142,3.14E-06
104,2020/12/13,70 - 74 years,0,280432,0
106,2020/12/13,75+ years,6,499879,1.20E-05
108,2020/12/14,10 - 14 years,0,425353,0
109,2020/12/14,15 - 19 years,0,194388,0
110,2020/12/14,20 - 24 years,8,736340,1.09E-05
111,2020/12/14,25 - 29 years,75,757848,9.90E-05
112,2020/12/14,30 - 34 years,78,822084,9.49E-05
113,2020/12/14,35 - 39 years,70,779934,8.98E-05
114,2020/12/14,40 - 44 years,56,677463,8.27E-05
115,2020/12/14,45 - 49 years,88,598535,0.000147026
116,2020/12/14,5 - 9 years,0,832055,0
117,2020/12/14,50 - 54 years,81,569938,0.000142121
119,2020/12/14,55 - 59 years,80,508722,0.000157257
120,2020/12/14,60 - 64 years,71,405576,0.00017506
121,2020/12/14,65 - 69 years,42,318142,0.000132017
122,2020/12/14,70 - 74 years,28,280432,9.98E-05
124,2020/12/14,75+ years,620,499879,0.0012403
126,2020/12/15,10 - 14 years,0,425353,0
127,2020/12/15,15 - 19 years,0,194388,0
128,2020/12/15,20 - 24 years,17,736340,2.31E-05
129,2020/12/15,25 - 29 years,98,757848,0.000129314
130,2020/12/15,30 - 34 years,126,822084,0.000153269
131,2020/12/15,35 - 39 years,126,779934,0.000161552
132,2020/12/15,40 - 44 years,154,677463,0.000227319
133,2020/12/15,45 - 49 years,172,598535,0.000287368
134,2020/12/15,5 - 9 years,0,832055,0
135,2020/12/15,50 - 54 years,179,569938,0.000314069
137,2020/12/15,55 - 59 years,169,508722,0.000332205
138,2020/12/15,60 - 64 years,157,405576,0.000387104
139,2020/12/15,65 - 69 years,89,318142,0.000279749
140,2020/12/15,70 - 74 years,59,280432,0.00021039
142,2020/12/15,75+ years,3179,499879,0.006359539
144,2020/12/16,10 - 14 years,0,425353,0
145,2020/12/16,15 - 19 years,0,194388,0
146,2020/12/16,20 - 24 years,32,736340,4.35E-05
147,2020/12/16,25 - 29 years,147,757848,0.00019397
148,2020/12/16,30 - 34 years,193,822084,0.000234769
149,2020/12/16,35 - 39 years,204,779934,0.000261561
150,2020/12/16,40 - 44 years,193,677463,0.000284886
151,2020/12/16,45 - 49 years,209,598535,0.000349186
152,2020/12/16,5 - 9 years,0,832055,0
153,2020/12/16,50 - 54 years,245,569938,0.000429871
155,2020/12/16,55 - 59 years,268,508722,0.00052681
156,2020/12/16,60 - 64 years,247,405576,0.00060901
157,2020/12/16,65 - 69 years,162,318142,0.000509207
158,2020/12/16,70 - 74 years,99,280432,0.000353027
160,2020/12/16,75+ years,8245,499879,0.016493992
162,2020/12/17,10 - 14 years,0,425353,0
163,2020/12/17,15 - 19 years,0,194388,0
164,2020/12/17,20 - 24 years,39,736340,5.30E-05
165,2020/12/17,25 - 29 years,144,757848,0.000190012
166,2020/12/17,30 - 34 years,234,822084,0.000284642
167,2020/12/17,35 - 39 years,221,779934,0.000283357
168,2020/12/17,40 - 44 years,237,677463,0.000349835
169,2020/12/17,45 - 49 years,251,598535,0.000419357
170,2020/12/17,5 - 9 years,0,832055,0
171,2020/12/17,50 - 54 years,282,569938,0.000494791
173,2020/12/17,55 - 59 years,313,508722,0.000615267
174,2020/12/17,60 - 64 years,289,405576,0.000712567
175,2020/12/17,65 - 69 years,203,318142,0.00063808
176,2020/12/17,70 - 74 years,137,280432,0.000488532
178,2020/12/17,75+ years,8260,499879,0.016523999
180,2020/12/18,10 - 14 years,0,425353,0
181,2020/12/18,15 - 19 years,0,194388,0
182,2020/12/18,20 - 24 years,58,736340,7.88E-05
183,2020/12/18,25 - 29 years,174,757848,0.000229597
184,2020/12/18,30 - 34 years,272,822084,0.000330866
185,2020/12/18,35 - 39 years,220,779934,0.000282075
186,2020/12/18,40 - 44 years,320,677463,0.000472351
187,2020/12/18,45 - 49 years,300,598535,0.000501224
188,2020/12/18,5 - 9 years,0,832055,0
189,2020/12/18,50 - 54 years,342,569938,0.000600065
191,2020/12/18,55 - 59 years,368,508722,0.000723381
192,2020/12/18,60 - 64 years,293,405576,0.000722429
193,2020/12/18,65 - 69 years,195,318142,0.000612934
194,2020/12/18,70 - 74 years,148,280432,0.000527757
196,2020/12/18,75+ years,6825,499879,0.013653304
198,2020/12/19,10 - 14 years,0,425353,0
199,2020/12/19,15 - 19 years,0,194388,0
200,2020/12/19,20 - 24 years,29,736340,3.94E-05
201,2020/12/19,25 - 29 years,88,757848,0.000116118
202,2020/12/19,30 - 34 years,119,822084,0.000144754
203,2020/12/19,35 - 39 years,126,779934,0.000161552
204,2020/12/19,40 - 44 years,127,677463,0.000187464
205,2020/12/19,45 - 49 years,140,598535,0.000233904
206,2020/12/19,5 - 9 years,0,832055,0
207,2020/12/19,50 - 54 years,133,569938,0.000233359
209,2020/12/19,55 - 59 years,142,508722,0.000279131
210,2020/12/19,60 - 64 years,132,405576,0.000325463
211,2020/12/19,65 - 69 years,100,318142,0.000314325
212,2020/12/19,70 - 74 years,67,280432,0.000238917
214,2020/12/19,75+ years,5259,499879,0.010520546
216,2020/12/20,10 - 14 years,0,425353,0
217,2020/12/20,15 - 19 years,0,194388,0
218,2020/12/20,20 - 24 years,48,736340,6.52E-05
219,2020/12/20,25 - 29 years,167,757848,0.000220361
220,2020/12/20,30 - 34 years,246,822084,0.000299239
221,2020/12/20,35 - 39 years,279,779934,0.000357723
222,2020/12/20,40 - 44 years,326,677463,0.000481207
223,2020/12/20,45 - 49 years,324,598535,0.000541322
224,2020/12/20,5 - 9 years,0,832055,0
225,2020/12/20,50 - 54 years,358,569938,0.000628138
227,2020/12/20,55 - 59 years,357,508722,0.000701759
228,2020/12/20,60 - 64 years,345,405576,0.000850642
229,2020/12/20,65 - 69 years,236,318142,0.000741807
230,2020/12/20,70 - 74 years,152,280432,0.000542021
232,2020/12/20,75+ years,5409,499879,0.010820619
234,2020/12/21,10 - 14 years,0,425353,0
235,2020/12/21,15 - 19 years,0,194388,0
236,2020/12/21,20 - 24 years,49,736340,6.65E-05
237,2020/12/21,25 - 29 years,252,757848,0.000332521
238,2020/12/21,30 - 34 years,343,822084,0.000417232
239,2020/12/21,35 - 39 years,319,779934,0.000409009
240,2020/12/21,40 - 44 years,316,677463,0.000466446
241,2020/12/21,45 - 49 years,309,598535,0.000516261
242,2020/12/21,5 - 9 years,0,832055,0
243,2020/12/21,50 - 54 years,356,569938,0.000624629
245,2020/12/21,55 - 59 years,367,508722,0.000721416
246,2020/12/21,60 - 64 years,271,405576,0.000668185
247,2020/12/21,65 - 69 years,188,318142,0.000590931
248,2020/12/21,70 - 74 years,133,280432,0.000474268
250,2020/12/21,75+ years,4242,499879,0.008486054
252,2020/12/22,10 - 14 years,0,425353,0
253,2020/12/22,15 - 19 years,0,194388,0
254,2020/12/22,20 - 24 years,40,736340,5.43E-05
255,2020/12/22,25 - 29 years,263,757848,0.000347035
256,2020/12/22,30 - 34 years,405,822084,0.00049265
257,2020/12/22,35 - 39 years,365,779934,0.000467988
258,2020/12/22,40 - 44 years,355,677463,0.000524014
259,2020/12/22,45 - 49 years,320,598535,0.000534639
260,2020/12/22,5 - 9 years,0,832055,0
261,2020/12/22,50 - 54 years,388,569938,0.000680776
263,2020/12/22,55 - 59 years,357,508722,0.000701759
264,2020/12/22,60 - 64 years,323,405576,0.000796398
265,2020/12/22,65 - 69 years,167,318142,0.000524923
266,2020/12/22,70 - 74 years,118,280432,0.000420779
268,2020/12/22,75+ years,3412,499879,0.006825652
270,2020/12/23,10 - 14 years,0,425353,0
271,2020/12/23,15 - 19 years,0,194388,0
272,2020/12/23,20 - 24 years,36,736340,4.89E-05
273,2020/12/23,25 - 29 years,403,757848,0.000531769
274,2020/12/23,30 - 34 years,647,822084,0.000787024
275,2020/12/23,35 - 39 years,475,779934,0.000609026
276,2020/12/23,40 - 44 years,384,677463,0.000566821
277,2020/12/23,45 - 49 years,511,598535,0.000853751
278,2020/12/23,5 - 9 years,0,832055,0
279,2020/12/23,50 - 54 years,464,569938,0.000814124
281,2020/12/23,55 - 59 years,436,508722,0.00085705
282,2020/12/23,60 - 64 years,364,405576,0.000897489
283,2020/12/23,65 - 69 years,222,318142,0.000697802
284,2020/12/23,70 - 74 years,159,280432,0.000566982
286,2020/12/23,75+ years,1717,499879,0.003434831
288,2020/12/24,10 - 14 years,0,425353,0
289,2020/12/24,15 - 19 years,0,194388,0
290,2020/12/24,20 - 24 years,19,736340,2.58E-05
291,2020/12/24,25 - 29 years,175,757848,0.000230917
292,2020/12/24,30 - 34 years,258,822084,0.000313837
293,2020/12/24,35 - 39 years,245,779934,0.000314129
294,2020/12/24,40 - 44 years,176,677463,0.000259793
295,2020/12/24,45 - 49 years,225,598535,0.000375918
296,2020/12/24,5 - 9 years,0,832055,0
297,2020/12/24,50 - 54 years,205,569938,0.000359688
299,2020/12/24,55 - 59 years,164,508722,0.000322376
300,2020/12/24,60 - 64 years,119,405576,0.00029341
301,2020/12/24,65 - 69 years,77,318142,0.00024203
302,2020/12/24,70 - 74 years,31,280432,0.000110544
304,2020/12/24,75+ years,466,499879,0.000932226
306,2020/12/25,10 - 14 years,0,425353,0
307,2020/12/25,15 - 19 years,0,194388,0
308,2020/12/25,20 - 24 years,5,736340,6.79E-06
309,2020/12/25,25 - 29 years,11,757848,1.45E-05
310,2020/12/25,30 - 34 years,22,822084,2.68E-05
311,2020/12/25,35 - 39 years,20,779934,2.56E-05
312,2020/12/25,40 - 44 years,24,677463,3.54E-05
313,2020/12/25,45 - 49 years,13,598535,2.17E-05
314,2020/12/25,5 - 9 years,0,832055,0
315,2020/12/25,50 - 54 years,16,569938,2.81E-05
317,2020/12/25,55 - 59 years,14,508722,2.75E-05
318,2020/12/25,60 - 64 years,14,405576,3.45E-05
319,2020/12/25,65 - 69 years,11,318142,3.46E-05
320,2020/12/25,70 - 74 years,7,280432,2.50E-05
322,2020/12/25,75+ years,24,499879,4.80E-05
324,2020/12/26,10 - 14 years,0,425353,0
325,2020/12/26,15 - 19 years,0,194388,0
326,2020/12/26,20 - 24 years,11,736340,1.49E-05
327,2020/12/26,25 - 29 years,90,757848,0.000118757
328,2020/12/26,30 - 34 years,131,822084,0.000159351
329,2020/12/26,35 - 39 years,106,779934,0.000135909
330,2020/12/26,40 - 44 years,87,677463,0.00012842
331,2020/12/26,45 - 49 years,103,598535,0.000172087
332,2020/12/26,5 - 9 years,0,832055,0
333,2020/12/26,50 - 54 years,85,569938,0.000149139
335,2020/12/26,55 - 59 years,76,508722,0.000149394
336,2020/12/26,60 - 64 years,54,405576,0.000133144
337,2020/12/26,65 - 69 years,28,318142,8.80E-05
338,2020/12/26,70 - 74 years,9,280432,3.21E-05
340,2020/12/26,75+ years,13,499879,2.60E-05
342,2020/12/27,10 - 14 years,0,425353,0
343,2020/12/27,15 - 19 years,0,194388,0
344,2020/12/27,20 - 24 years,7,736340,9.51E-06
345,2020/12/27,25 - 29 years,90,757848,0.000118757
346,2020/12/27,30 - 34 years,162,822084,0.00019706
347,2020/12/27,35 - 39 years,135,779934,0.000173092
348,2020/12/27,40 - 44 years,113,677463,0.000166799
349,2020/12/27,45 - 49 years,123,598535,0.000205502
350,2020/12/27,5 - 9 years,0,832055,0
351,2020/12/27,50 - 54 years,106,569938,0.000185985
353,2020/12/27,55 - 59 years,94,508722,0.000184777
354,2020/12/27,60 - 64 years,88,405576,0.000216975
355,2020/12/27,65 - 69 years,43,318142,0.00013516
356,2020/12/27,70 - 74 years,17,280432,6.06E-05
358,2020/12/27,75+ years,4,499879,8.00E-06
360,2020/12/28,10 - 14 years,0,425353,0
361,2020/12/28,15 - 19 years,0,194388,0
362,2020/12/28,20 - 24 years,17,736340,2.31E-05
363,2020/12/28,25 - 29 years,106,757848,0.00013987
364,2020/12/28,30 - 34 years,171,822084,0.000208008
365,2020/12/28,35 - 39 years,122,779934,0.000156423
366,2020/12/28,40 - 44 years,91,677463,0.000134325
367,2020/12/28,45 - 49 years,110,598535,0.000183782
368,2020/12/28,5 - 9 years,0,832055,0
369,2020/12/28,50 - 54 years,103,569938,0.000180721
371,2020/12/28,55 - 59 years,115,508722,0.000226057
372,2020/12/28,60 - 64 years,86,405576,0.000212044
373,2020/12/28,65 - 69 years,42,318142,0.000132017
374,2020/12/28,70 - 74 years,20,280432,7.13E-05
376,2020/12/28,75+ years,90,499879,0.000180044
378,2020/12/29,10 - 14 years,0,425353,0
379,2020/12/29,15 - 19 years,0,194388,0
380,2020/12/29,20 - 24 years,66,736340,8.96E-05
381,2020/12/29,25 - 29 years,438,757848,0.000577952
382,2020/12/29,30 - 34 years,567,822084,0.000689711
383,2020/12/29,35 - 39 years,472,779934,0.000605179
384,2020/12/29,40 - 44 years,454,677463,0.000670147
385,2020/12/29,45 - 49 years,464,598535,0.000775226
386,2020/12/29,5 - 9 years,0,832055,0
387,2020/12/29,50 - 54 years,493,569938,0.000865006
389,2020/12/29,55 - 59 years,413,508722,0.000811838
390,2020/12/29,60 - 64 years,379,405576,0.000934473
391,2020/12/29,65 - 69 years,246,318142,0.00077324
392,2020/12/29,70 - 74 years,135,280432,0.0004814
394,2020/12/29,75+ years,2480,499879,0.004961201
396,2020/12/30,10 - 14 years,0,425353,0
397,2020/12/30,15 - 19 years,0,194388,0
398,2020/12/30,20 - 24 years,92,736340,0.000124942
399,2020/12/30,25 - 29 years,761,757848,0.001004159
400,2020/12/30,30 - 34 years,1186,822084,0.001442675
401,2020/12/30,35 - 39 years,956,779934,0.001225745
402,2020/12/30,40 - 44 years,838,677463,0.001236968
403,2020/12/30,45 - 49 years,908,598535,0.001517037
404,2020/12/30,5 - 9 years,0,832055,0
405,2020/12/30,50 - 54 years,1006,569938,0.001765104
407,2020/12/30,55 - 59 years,950,508722,0.001867425
408,2020/12/30,60 - 64 years,782,405576,0.001928122
409,2020/12/30,65 - 69 years,516,318142,0.001621917
410,2020/12/30,70 - 74 years,309,280432,0.001101871
412,2020/12/30,75+ years,5337,499879,0.010676584
414,2020/12/31,10 - 14 years,0,425353,0
415,2020/12/31,15 - 19 years,0,194388,0
416,2020/12/31,20 - 24 years,130,736340,0.000176549
417,2020/12/31,25 - 29 years,674,757848,0.00088936
418,2020/12/31,30 - 34 years,1048,822084,0.001274809
419,2020/12/31,35 - 39 years,801,779934,0.00102701
420,2020/12/31,40 - 44 years,799,677463,0.0011794
421,2020/12/31,45 - 49 years,881,598535,0.001471927
422,2020/12/31,5 - 9 years,0,832055,0
423,2020/12/31,50 - 54 years,873,569938,0.001531746
425,2020/12/31,55 - 59 years,867,508722,0.001704271
426,2020/12/31,60 - 64 years,714,405576,0.001760459
427,2020/12/31,65 - 69 years,463,318142,0.001455325
428,2020/12/31,70 - 74 years,226,280432,0.000805899
430,2020/12/31,75+ years,4012,499879,0.008025942
432,2021/1/1,10 - 14 years,0,425353,0
433,2021/1/1,15 - 19 years,0,194388,0
434,2021/1/1,20 - 24 years,35,736340,4.75E-05
435,2021/1/1,25 - 29 years,201,757848,0.000265225
436,2021/1/1,30 - 34 years,248,822084,0.000301672
437,2021/1/1,35 - 39 years,197,779934,0.000252585
438,2021/1/1,40 - 44 years,200,677463,0.000295219
439,2021/1/1,45 - 49 years,233,598535,0.000389284
440,2021/1/1,5 - 9 years,0,832055,0
441,2021/1/1,50 - 54 years,254,569938,0.000445663
443,2021/1/1,55 - 59 years,286,508722,0.000562193
444,2021/1/1,60 - 64 years,189,405576,0.000466004
445,2021/1/1,65 - 69 years,94,318142,0.000295466
446,2021/1/1,70 - 74 years,55,280432,0.000196126
448,2021/1/1,75+ years,853,499879,0.001706413
450,2021/1/2,10 - 14 years,0,425353,0
451,2021/1/2,15 - 19 years,0,194388,0
452,2021/1/2,20 - 24 years,50,736340,6.79E-05
453,2021/1/2,25 - 29 years,193,757848,0.000254668
454,2021/1/2,30 - 34 years,255,822084,0.000310187
455,2021/1/2,35 - 39 years,189,779934,0.000242328
456,2021/1/2,40 - 44 years,197,677463,0.000290791
457,2021/1/2,45 - 49 years,208,598535,0.000347515
458,2021/1/2,5 - 9 years,0,832055,0
459,2021/1/2,50 - 54 years,206,569938,0.000361443
461,2021/1/2,55 - 59 years,187,508722,0.000367588
462,2021/1/2,60 - 64 years,136,405576,0.000335326
463,2021/1/2,65 - 69 years,87,318142,0.000273463
464,2021/1/2,70 - 74 years,53,280432,0.000188994
466,2021/1/2,75+ years,1115,499879,0.00223054
468,2021/1/3,10 - 14 years,0,425353,0
469,2021/1/3,15 - 19 years,0,194388,0
470,2021/1/3,20 - 24 years,36,736340,4.89E-05
471,2021/1/3,25 - 29 years,148,757848,0.00019529
472,2021/1/3,30 - 34 years,120,822084,0.00014597
473,2021/1/3,35 - 39 years,94,779934,0.000120523
474,2021/1/3,40 - 44 years,87,677463,0.00012842
475,2021/1/3,45 - 49 years,87,598535,0.000145355
476,2021/1/3,5 - 9 years,0,832055,0
477,2021/1/3,50 - 54 years,82,569938,0.000143875
479,2021/1/3,55 - 59 years,67,508722,0.000131703
480,2021/1/3,60 - 64 years,59,405576,0.000145472
481,2021/1/3,65 - 69 years,32,318142,0.000100584
482,2021/1/3,70 - 74 years,10,280432,3.57E-05
484,2021/1/3,75+ years,37,499879,7.40E-05
486,2021/1/4,10 - 14 years,0,425353,0
487,2021/1/4,15 - 19 years,0,194388,0
488,2021/1/4,20 - 24 years,87,736340,0.000118152
489,2021/1/4,25 - 29 years,481,757848,0.000634692
490,2021/1/4,30 - 34 years,664,822084,0.000807703
491,2021/1/4,35 - 39 years,538,779934,0.000689802
492,2021/1/4,40 - 44 years,456,677463,0.000673099
493,2021/1/4,45 - 49 years,461,598535,0.000770214
494,2021/1/4,5 - 9 years,0,832055,0
495,2021/1/4,50 - 54 years,494,569938,0.000866761
497,2021/1/4,55 - 59 years,425,508722,0.000835427
498,2021/1/4,60 - 64 years,322,405576,0.000793933
499,2021/1/4,65 - 69 years,203,318142,0.00063808
500,2021/1/4,70 - 74 years,81,280432,0.00028884
502,2021/1/4,75+ years,214,499879,0.000428104
504,2021/1/5,10 - 14 years,1,425353,2.35E-06
505,2021/1/5,15 - 19 years,0,194388,0
506,2021/1/5,20 - 24 years,175,736340,0.000237662
507,2021/1/5,25 - 29 years,850,757848,0.001121597
508,2021/1/5,30 - 34 years,1117,822084,0.001358742
509,2021/1/5,35 - 39 years,973,779934,0.001247541
510,2021/1/5,40 - 44 years,852,677463,0.001257633
511,2021/1/5,45 - 49 years,953,598535,0.001592221
512,2021/1/5,5 - 9 years,0,832055,0
513,2021/1/5,50 - 54 years,985,569938,0.001728258
515,2021/1/5,55 - 59 years,981,508722,0.001928362
516,2021/1/5,60 - 64 years,696,405576,0.001716078
517,2021/1/5,65 - 69 years,403,318142,0.00126673
518,2021/1/5,70 - 74 years,223,280432,0.000795202
520,2021/1/5,75+ years,1357,499879,0.002714657
522,2021/1/6,10 - 14 years,0,425353,0
523,2021/1/6,15 - 19 years,0,194388,0
524,2021/1/6,20 - 24 years,236,736340,0.000320504
525,2021/1/6,25 - 29 years,1160,757848,0.00153065
526,2021/1/6,30 - 34 years,1442,822084,0.001754079
527,2021/1/6,35 - 39 years,1229,779934,0.001575774
528,2021/1/6,40 - 44 years,1116,677463,0.001647322
529,2021/1/6,45 - 49 years,1254,598535,0.002095116
530,2021/1/6,5 - 9 years,0,832055,0
531,2021/1/6,50 - 54 years,1282,569938,0.002249367
533,2021/1/6,55 - 59 years,1254,508722,0.002465001
534,2021/1/6,60 - 64 years,1079,405576,0.002660414
535,2021/1/6,65 - 69 years,651,318142,0.002046256
536,2021/1/6,70 - 74 years,414,280432,0.001476294
538,2021/1/6,75+ years,2894,499879,0.005789401
540,2021/1/7,10 - 14 years,0,425353,0
541,2021/1/7,15 - 19 years,0,194388,0
542,2021/1/7,20 - 24 years,302,736340,0.000410137
543,2021/1/7,25 - 29 years,1157,757848,0.001526691
544,2021/1/7,30 - 34 years,1467,822084,0.001784489
545,2021/1/7,35 - 39 years,1256,779934,0.001610393
546,2021/1/7,40 - 44 years,1207,677463,0.001781647
547,2021/1/7,45 - 49 years,1250,598535,0.002088433
548,2021/1/7,5 - 9 years,1,832055,1.20E-06
549,2021/1/7,50 - 54 years,1363,569938,0.002391488
551,2021/1/7,55 - 59 years,1437,508722,0.002824725
552,2021/1/7,60 - 64 years,1268,405576,0.003126418
553,2021/1/7,65 - 69 years,707,318142,0.002222278
554,2021/1/7,70 - 74 years,543,280432,0.001936298
556,2021/1/7,75+ years,8317,499879,0.016638026
558,2021/1/8,10 - 14 years,0,425353,0
559,2021/1/8,15 - 19 years,0,194388,0
560,2021/1/8,20 - 24 years,316,736340,0.00042915
561,2021/1/8,25 - 29 years,1117,757848,0.00147391
562,2021/1/8,30 - 34 years,1255,822084,0.001526608
563,2021/1/8,35 - 39 years,1158,779934,0.001484741
564,2021/1/8,40 - 44 years,1148,677463,0.001694557
565,2021/1/8,45 - 49 years,1208,598535,0.002018261
566,2021/1/8,5 - 9 years,0,832055,0
567,2021/1/8,50 - 54 years,1330,569938,0.002333587
569,2021/1/8,55 - 59 years,1396,508722,0.002744131
570,2021/1/8,60 - 64 years,1169,405576,0.00288232
571,2021/1/8,65 - 69 years,845,318142,0.002656047
572,2021/1/8,70 - 74 years,766,280432,0.0027315
574,2021/1/8,75+ years,12892,499879,0.025790241
576,2021/1/9,10 - 14 years,0,425353,0
577,2021/1/9,15 - 19 years,0,194388,0
578,2021/1/9,20 - 24 years,269,736340,0.00036532
579,2021/1/9,25 - 29 years,647,757848,0.000853733
580,2021/1/9,30 - 34 years,742,822084,0.000902584
581,2021/1/9,35 - 39 years,762,779934,0.000977006
582,2021/1/9,40 - 44 years,696,677463,0.001027362
583,2021/1/9,45 - 49 years,765,598535,0.001278121
584,2021/1/9,5 - 9 years,0,832055,0
585,2021/1/9,50 - 54 years,761,569938,0.001335233
587,2021/1/9,55 - 59 years,784,508722,0.001541117
588,2021/1/9,60 - 64 years,729,405576,0.001797444
589,2021/1/9,65 - 69 years,546,318142,0.001716215
590,2021/1/9,70 - 74 years,583,280432,0.002078935
592,2021/1/9,75+ years,9173,499879,0.018350441
594,2021/1/10,10 - 14 years,0,425353,0
595,2021/1/10,15 - 19 years,0,194388,0
596,2021/1/10,20 - 24 years,128,736340,0.000173833
597,2021/1/10,25 - 29 years,398,757848,0.000525171
598,2021/1/10,30 - 34 years,493,822084,0.000599695
599,2021/1/10,35 - 39 years,421,779934,0.000539789
600,2021/1/10,40 - 44 years,440,677463,0.000649482
601,2021/1/10,45 - 49 years,450,598535,0.000751836
602,2021/1/10,5 - 9 years,0,832055,0
603,2021/1/10,50 - 54 years,408,569938,0.000715867
605,2021/1/10,55 - 59 years,459,508722,0.000902261
606,2021/1/10,60 - 64 years,437,405576,0.00107748
607,2021/1/10,65 - 69 years,286,318142,0.00089897
608,2021/1/10,70 - 74 years,444,280432,0.001583272
610,2021/1/10,75+ years,6397,499879,0.012797097
612,2021/1/11,10 - 14 years,0,425353,0
613,2021/1/11,15 - 19 years,0,194388,0
