year_week,work_red
2020-07,0.987808
2020-08,0.994620879120879
2020-09,0.6377648351648352
2020-10,0.6576703296703297
2020-11,0.3090538461538461
2020-12,0.13911978021978022
2020-13,0.0873054945054945
2020-14,0.09190659340659339
2020-15,0.10516483516483517
2020-16,0.12324065934065934
2020-17,0.15451208791208793
2020-18,0.1685175824175824
2020-19,0.33350769230769234
2020-20,0.3815934065934066
2020-21,0.4800318681318681
2020-22,0.5332406593406593
2020-23,0.44477912087912086
2020-24,0.5870791208791208
2020-25,0.6123285714285714
2020-26,0.6253626373626374
2020-27,0.6227978021978022
2020-28,0.6294703296703297
2020-29,0.6380912087912087
2020-30,0.6477483516483517
2020-31,0.6077263736263736
2020-32,0.5130406593406593
2020-33,0.28866483516483515
2020-34,0.34744285714285716
2020-35,0.462254945054945
2020-36,0.5683131868131868
2020-37,0.5849428571428571
2020-38,0.6287043956043956
2020-39,0.638467032967033
2020-40,0.677089010989011
2020-41,0.7084692307692307
2020-42,0.7096307692307693
2020-43,0.6847450549450549
2020-44,0.584467032967033
2020-45,0.48113406593406594
2020-46,0.42794065934065934
2020-47,0.4477626373626374
2020-48,0.4815714285714286
2020-49,0.5174725274725275
2020-50,0.47050549450549456
2020-51,0.6209648351648352
2020-52,0.33336593406593407
2020-53,0.2146901098901099
2021-01,0.38876153846153844
2021-02,0.5395252747252748
2021-03,0.5025010989010988
2021-04,0.5664637362637363
2021-05,0.5906989010989011
2021-06,0.6188450549450549
2021-07,0.595467032967033
2021-08,0.6434307692307693
2021-09,0.5700483516483517
2021-10,0.5291681318681318
2021-11,0.48259450549450544
2021-12,0.5092967032967033
2021-13,0.4813835164835165
2021-14,0.45812197802197796
2021-15,0.6511230769230769
2021-16,0.6839527472527472
2021-17,0.6311857142857142
2021-18,0.7318527472527473
2021-19,0.7215593406593407
2021-20,0.7827065934065933
2021-21,0.7904747252747253
2021-22,0.6781362637362638
2021-23,0.7337934065934065
2021-24,0.6822142857142858
2021-25,0.6776571428571428
2021-26,0.6657373626373627
2021-27,0.6785274725274726
2021-28,0.6704208791208792
2021-29,0.6727879120879121
2021-30,0.6677483516483517
2021-31,0.5549703296703297
2021-32,0.30765604395604396
2021-33,0.3250230769230769
2021-34,0.4939472527472528
2021-35,0.6534087912087913
2021-36,0.6899582417582417
2021-37,0.6748681318681319
2021-38,0.7235043956043955
2021-39,0.7478274725274725
2021-40,0.742842857142857
2021-41,0.7651373626373627
2021-42,0.7746912087912088
2021-43,0.782945054945055
2021-44,0.6901010989010989
2021-45,0.7972351648351649
2021-46,0.8030626373626374
2021-47,0.8071692307692307
2021-48,0.8171747252747252
2021-49,0.6790802197802198
2021-50,0.8731186813186813
2021-51,0.5333296703296704
2021-52,0.2460246153846154
