year_week,oth_red
2020-07,1.1311624999999998
2020-08,1.045142857142857
2020-09,1.0659035714285712
2020-10,1.0429107142857141
2020-11,0.8989357142857142
2020-12,0.4169535714285714
2020-13,0.186475
2020-14,0.18561071428571432
2020-15,0.2087857142857143
2020-16,0.2280785714285714
2020-17,0.2277642857142857
2020-18,0.2432642857142857
2020-19,0.30285357142857144
2020-20,0.28289285714285717
2020-21,0.3420571428571429
2020-22,0.3915607142857143
2020-23,0.43360357142857137
2020-24,0.4277321428571429
2020-25,0.4874071428571428
2020-26,0.524625
2020-27,0.5342357142857143
2020-28,0.549625
2020-29,0.5840607142857143
2020-30,0.5771892857142857
2020-31,0.5856464285714286
2020-32,0.5723857142857142
2020-33,0.5848857142857142
2020-34,0.5603250000000001
2020-35,0.5834178571428571
2020-36,0.5836964285714286
2020-37,0.5288857142857143
2020-38,0.5119392857142857
2020-39,0.48778214285714283
2020-40,0.5206785714285714
2020-41,0.4757892857142858
2020-42,0.4630607142857143
2020-43,0.49776785714285715
2020-44,0.4928
2020-45,0.44757142857142856
2020-46,0.3861892857142858
2020-47,0.3810428571428571
2020-48,0.38475714285714285
2020-49,0.3980392857142857
2020-50,0.3744071428571428
2020-51,0.41285357142857143
2020-52,0.36075714285714283
2020-53,0.32302857142857144
2021-01,0.3474535714285715
2021-02,0.3169142857142857
2021-03,0.32425714285714285
2021-04,0.31776785714285716
2021-05,0.33694285714285716
2021-06,0.32374285714285717
2021-07,0.3463
2021-08,0.37075714285714284
2021-09,0.38199642857142857
2021-10,0.4055750000000001
2021-11,0.41719285714285714
2021-12,0.4348607142857143
2021-13,0.4158607142857143
2021-14,0.3904571428571429
2021-15,0.43785714285714283
2021-16,0.41601428571428567
2021-17,0.4379928571428572
2021-18,0.4413464285714285
2021-19,0.46798214285714285
2021-20,0.45106428571428575
2021-21,0.45872857142857143
2021-22,0.5013178571428571
2021-23,0.4911750000000001
2021-24,0.5597857142857142
2021-25,0.5824357142857143
2021-26,0.6072535714285714
2021-27,0.6408142857142858
2021-28,0.6632392857142858
2021-29,0.6839964285714286
2021-30,0.696025
2021-31,0.6855142857142857
2021-32,0.7070928571428572
2021-33,0.7127892857142858
2021-34,0.7241214285714285
2021-35,0.7248964285714286
2021-36,0.721
2021-37,0.6863035714285715
2021-38,0.7095035714285715
2021-39,0.6794464285714286
2021-40,0.6763464285714286
2021-41,0.6162857142857143
2021-42,0.6596321428571429
2021-43,0.6924964285714285
2021-44,0.6268714285714286
2021-45,0.6144142857142858
2021-46,0.6473107142857143
2021-47,0.6274785714285714
2021-48,0.6521428571428572
2021-49,0.6464821428571429
2021-50,0.70965
2021-51,0.5846678571428571
2021-52,0.48765000000000003
