prename,week_end,sex,age,numtotal_atleast1dose
British Columbia,2021-05-22,All sexes,50–59,512249
British Columbia,2021-05-22,All sexes,60–69,551361
British Columbia,2021-05-22,All sexes,70–79,393457
British Columbia,2021-05-22,All sexes,80+,217808
British Columbia,2021-05-29,All sexes,0–17,63162
British Columbia,2021-05-29,All sexes,18–29,388768
British Columbia,2021-05-29,All sexes,30–39,450769
British Columbia,2021-05-29,All sexes,40–49,456332
British Columbia,2021-05-29,All sexes,50–59,529907
British Columbia,2021-05-29,All sexes,60–69,559630
British Columbia,2021-05-29,All sexes,70–79,396238
British Columbia,2021-05-29,All sexes,80+,219021
British Columbia,2021-06-05,All sexes,0–4,0
British Columbia,2021-06-05,All sexes,05–11,6603
British Columbia,2021-06-05,All sexes,12–17,130546
British Columbia,2021-06-05,All sexes,18–29,475949
British Columbia,2021-06-05,All sexes,30–39,496062
British Columbia,2021-06-05,All sexes,40–49,473376
British Columbia,2021-06-05,All sexes,50–59,540854
British Columbia,2021-06-05,All sexes,60–69,565073
British Columbia,2021-06-05,All sexes,70–79,398695
British Columbia,2021-06-05,All sexes,80+,220248
British Columbia,2021-06-12,All sexes,0–4,0
British Columbia,2021-06-12,All sexes,05–11,8473
British Columbia,2021-06-12,All sexes,12–17,161773
British Columbia,2021-06-12,All sexes,18–29,513173
British Columbia,2021-06-12,All sexes,30–39,512869
British Columbia,2021-06-12,All sexes,40–49,482914
British Columbia,2021-06-12,All sexes,50–59,548153
British Columbia,2021-06-12,All sexes,60–69,569570
British Columbia,2021-06-12,All sexes,70–79,401103
British Columbia,2021-06-12,All sexes,80+,221594
British Columbia,2021-06-19,All sexes,0–4,0
British Columbia,2021-06-19,All sexes,05–11,9232
British Columbia,2021-06-19,All sexes,12–17,175081
British Columbia,2021-06-19,All sexes,18–29,527721
British Columbia,2021-06-19,All sexes,30–39,522659
British Columbia,2021-06-19,All sexes,40–49,489063
British Columbia,2021-06-19,All sexes,50–59,553075
British Columbia,2021-06-19,All sexes,60–69,573202
British Columbia,2021-06-19,All sexes,70–79,403075
British Columbia,2021-06-19,All sexes,80+,222724
British Columbia,2021-06-26,All sexes,0–4,0
British Columbia,2021-06-26,All sexes,05–11,10014
British Columbia,2021-06-26,All sexes,12–17,188819
British Columbia,2021-06-26,All sexes,18–29,548124
British Columbia,2021-06-26,All sexes,30–39,535947
British Columbia,2021-06-26,All sexes,40–49,497564
British Columbia,2021-06-26,All sexes,50–59,560287
British Columbia,2021-06-26,All sexes,60–69,578727
British Columbia,2021-06-26,All sexes,70–79,406025
British Columbia,2021-06-26,All sexes,80+,224409
British Columbia,2021-07-03,All sexes,0–4,0
British Columbia,2021-07-03,All sexes,05–11,10221
British Columbia,2021-07-03,All sexes,12–17,197412
British Columbia,2021-07-03,All sexes,18–29,563119
British Columbia,2021-07-03,All sexes,30–39,545671
British Columbia,2021-07-03,All sexes,40–49,504023
British Columbia,2021-07-03,All sexes,50–59,565936
British Columbia,2021-07-03,All sexes,60–69,583072
British Columbia,2021-07-03,All sexes,70–79,408513
British Columbia,2021-07-03,All sexes,80+,225712
British Columbia,2021-07-10,All sexes,0–4,0
British Columbia,2021-07-10,All sexes,05–11,10525
British Columbia,2021-07-10,All sexes,12–17,204202
British Columbia,2021-07-10,All sexes,18–29,576190
British Columbia,2021-07-10,All sexes,30–39,554943
British Columbia,2021-07-10,All sexes,40–49,510015
British Columbia,2021-07-10,All sexes,50–59,571133
British Columbia,2021-07-10,All sexes,60–69,586780
British Columbia,2021-07-10,All sexes,70–79,410261
British Columbia,2021-07-10,All sexes,80+,226564
British Columbia,2021-07-17,All sexes,0–4,0
British Columbia,2021-07-17,All sexes,05–11,10512
British Columbia,2021-07-17,All sexes,12–17,209232
British Columbia,2021-07-17,All sexes,18–29,587435
British Columbia,2021-07-17,All sexes,30–39,562482
British Columbia,2021-07-17,All sexes,40–49,514951
British Columbia,2021-07-17,All sexes,50–59,575271
British Columbia,2021-07-17,All sexes,60–69,589915
British Columbia,2021-07-17,All sexes,70–79,411911
British Columbia,2021-07-17,All sexes,80+,227374
British Columbia,2021-07-24,All sexes,0–4,0
British Columbia,2021-07-24,All sexes,05–11,10422
British Columbia,2021-07-24,All sexes,12–17,213353
British Columbia,2021-07-24,All sexes,18–29,596933
British Columbia,2021-07-24,All sexes,30–39,569423
British Columbia,2021-07-24,All sexes,40–49,519675
British Columbia,2021-07-24,All sexes,50–59,579348
British Columbia,2021-07-24,All sexes,60–69,592762
British Columbia,2021-07-24,All sexes,70–79,413456
