prename,week_end,sex,age,numtotal_atleast1dose
British Columbia,2022-04-03,All sexes,40–49,603110
British Columbia,2022-04-03,All sexes,50–59,637801
British Columbia,2022-04-03,All sexes,60–69,643229
British Columbia,2022-04-03,All sexes,70–79,448791
British Columbia,2022-04-03,All sexes,80+,254376
British Columbia,2022-04-10,All sexes,0–4,0
British Columbia,2022-04-10,All sexes,05–11,190669
British Columbia,2022-04-10,All sexes,12–17,270485
British Columbia,2022-04-10,All sexes,18–29,761200
British Columbia,2022-04-10,All sexes,30–39,698531
British Columbia,2022-04-10,All sexes,40–49,603411
British Columbia,2022-04-10,All sexes,50–59,637871
British Columbia,2022-04-10,All sexes,60–69,643545
British Columbia,2022-04-10,All sexes,70–79,449424
British Columbia,2022-04-10,All sexes,80+,255034
British Columbia,2022-04-24,All sexes,0–4,0
British Columbia,2022-04-24,All sexes,05–11,190907
British Columbia,2022-04-24,All sexes,12–17,270147
British Columbia,2022-04-24,All sexes,18–29,761117
British Columbia,2022-04-24,All sexes,30–39,699355
British Columbia,2022-04-24,All sexes,40–49,604004
British Columbia,2022-04-24,All sexes,50–59,637879
British Columbia,2022-04-24,All sexes,60–69,644267
British Columbia,2022-04-24,All sexes,70–79,450597
British Columbia,2022-04-24,All sexes,80+,256258
British Columbia,2022-05-08,All sexes,0–4,0.0
British Columbia,2022-05-08,All sexes,05–11,190130.0
British Columbia,2022-05-08,All sexes,12–17,267451.0
British Columbia,2022-05-08,All sexes,18–29,759720.0
British Columbia,2022-05-08,All sexes,30–39,700088.0
British Columbia,2022-05-08,All sexes,40–49,604679.0
British Columbia,2022-05-08,All sexes,50–59,637943.0
British Columbia,2022-05-08,All sexes,60–69,645041.0
British Columbia,2022-05-08,All sexes,70–79,451777.0
British Columbia,2022-05-08,All sexes,80+,257495.0
British Columbia,2022-05-22,All sexes,0–4,0.0
British Columbia,2022-05-22,All sexes,05–11,189757.0
British Columbia,2022-05-22,All sexes,12–17,267244.0
British Columbia,2022-05-22,All sexes,18–29,759524.0
British Columbia,2022-05-22,All sexes,30–39,700723.0
British Columbia,2022-05-22,All sexes,40–49,605381.0
British Columbia,2022-05-22,All sexes,50–59,637887.0
British Columbia,2022-05-22,All sexes,60–69,645815.0
British Columbia,2022-05-22,All sexes,70–79,452955.0
British Columbia,2022-05-22,All sexes,80+,258903.0
British Columbia,2022-06-19,All sexes,0–4,0.0
British Columbia,2022-06-19,All sexes,05–11,189248.0
British Columbia,2022-06-19,All sexes,12–17,266989.0
British Columbia,2022-06-19,All sexes,18–29,758417.0
British Columbia,2022-06-19,All sexes,30–39,701839.0
British Columbia,2022-06-19,All sexes,40–49,606380.0
British Columbia,2022-06-19,All sexes,50–59,637595.0
British Columbia,2022-06-19,All sexes,60–69,647077.0
British Columbia,2022-06-19,All sexes,70–79,455030.0
British Columbia,2022-06-19,All sexes,80+,261458.0
British Columbia,2022-07-17,All sexes,0–4,0.0
British Columbia,2022-07-17,All sexes,05–11,188108.0
British Columbia,2022-07-17,All sexes,12–17,266057.0
British Columbia,2022-07-17,All sexes,18–29,756878.0
British Columbia,2022-07-17,All sexes,30–39,702788.0
British Columbia,2022-07-17,All sexes,40–49,607254.0
British Columbia,2022-07-17,All sexes,50–59,637071.0
British Columbia,2022-07-17,All sexes,60–69,648379.0
British Columbia,2022-07-17,All sexes,70–79,457107.0
British Columbia,2022-07-17,All sexes,80+,264093.0
British Columbia,2022-08-14,All sexes,0–4,9399.0
British Columbia,2022-08-14,All sexes,05–11,181287.0
British Columbia,2022-08-14,All sexes,12–17,261642.0
British Columbia,2022-08-14,All sexes,18–29,750471.0
British Columbia,2022-08-14,All sexes,30–39,705010.0
British Columbia,2022-08-14,All sexes,40–49,610643.0
British Columbia,2022-08-14,All sexes,50–59,634233.0
British Columbia,2022-08-14,All sexes,60–69,652970.0
British Columbia,2022-08-14,All sexes,70–79,464624.0
British Columbia,2022-08-14,All sexes,80+,272960.0
British Columbia,2022-09-11,All sexes,0–4,18299.0
British Columbia,2022-09-11,All sexes,05–11,183646.0
British Columbia,2022-09-11,All sexes,12–17,261919.0
British Columbia,2022-09-11,All sexes,18–29,750861.0
British Columbia,2022-09-11,All sexes,30–39,705377.0
British Columbia,2022-09-11,All sexes,40–49,610869.0
British Columbia,2022-09-11,All sexes,50–59,634412.0
British Columbia,2022-09-11,All sexes,60–69,653190.0
British Columbia,2022-09-11,All sexes,70–79,464761.0
British Columbia,2022-09-11,All sexes,80+,273010.0
British Columbia,2022-10-09,All sexes,0–4,21974.0
British Columbia,2022-10-09,All sexes,05–11,185633.0
British Columbia,2022-10-09,All sexes,12–17,262570.0
British Columbia,2022-10-09,All sexes,18–29,751828.0
British Columbia,2022-10-09,All sexes,30–39,705237.0
British Columbia,2022-10-09,All sexes,40–49,610596.0
British Columbia,2022-10-09,All sexes,50–59,634886.0
British Columbia,2022-10-09,All sexes,60–69,652588.0
British Columbia,2022-10-09,All sexes,70–79,463771.0
British Columbia,2022-10-09,All sexes,80+,271694.0
British Columbia,2022-11-06,All sexes,0–4,26035.0
British Columbia,2022-11-06,All sexes,05–11,184695.0
British Columbia,2022-11-06,All sexes,12–17,261685.0
British Columbia,2022-11-06,All sexes,18–29,750250.0
British Columbia,2022-11-06,All sexes,30–39,705820.0
British Columbia,2022-11-06,All sexes,40–49,611207.0
British Columbia,2022-11-06,All sexes,50–59,634243.0
British Columbia,2022-11-06,All sexes,60–69,653977.0
British Columbia,2022-11-06,All sexes,70–79,465643.0
British Columbia,2022-11-06,All sexes,80+,273980.0
British Columbia,2022-12-04,All sexes,0–4,32172.0
British Columbia,2022-12-04,All sexes,05–11,184616.0
British Columbia,2022-12-04,All sexes,12–17,261004.0
British Columbia,2022-12-04,All sexes,18–29,750787.0
British Columbia,2022-12-04,All sexes,30–39,708709.0
British Columbia,2022-12-04,All sexes,40–49,613113.0
British Columbia,2022-12-04,All sexes,50–59,634966.0
British Columbia,2022-12-04,All sexes,60–69,656766.0
British Columbia,2022-12-04,All sexes,70–79,468517.0
British Columbia,2022-12-04,All sexes,80+,276783.0
British Columbia,2023-01-01,All sexes,0–4,37168.0
British Columbia,2023-01-01,All sexes,05–11,184563.0
British Columbia,2023-01-01,All sexes,12–17,260177.0
British Columbia,2023-01-01,All sexes,18–29,750262.0
British Columbia,2023-01-01,All sexes,30–39,710522.0
British Columbia,2023-01-01,All sexes,40–49,614564.0
British Columbia,2023-01-01,All sexes,50–59,634902.0
British Columbia,2023-01-01,All sexes,60–69,658412.0
British Columbia,2023-01-01,All sexes,70–79,470994.0
British Columbia,2023-01-01,All sexes,80+,279405.0
British Columbia,2023-01-29,All sexes,0–4,39236.0
British Columbia,2023-01-29,All sexes,05–11,183895.0
British Columbia,2023-01-29,All sexes,12–17,259329.0
British Columbia,2023-01-29,All sexes,18–29,749462.0
British Columbia,2023-01-29,All sexes,30–39,711833.0
British Columbia,2023-01-29,All sexes,40–49,615889.0
British Columbia,2023-01-29,All sexes,50–59,634755.0
British Columbia,2023-01-29,All sexes,60–69,660013.0
British Columbia,2023-01-29,All sexes,70–79,473168.0
British Columbia,2023-01-29,All sexes,80+,281702.0
British Columbia,2023-02-26,All sexes,0–4,39691.0
British Columbia,2023-02-26,All sexes,05–11,182762.0
British Columbia,2023-02-26,All sexes,12–17,258355.0
British Columbia,2023-02-26,All sexes,18–29,747700.0
British Columbia,2023-02-26,All sexes,30–39,712156.0
British Columbia,2023-02-26,All sexes,40–49,616651.0
British Columbia,2023-02-26,All sexes,50–59,633958.0
British Columbia,2023-02-26,All sexes,60–69,661051.0
British Columbia,2023-02-26,All sexes,70–79,475056.0
British Columbia,2023-02-26,All sexes,80+,284215.0
British Columbia,2023-03-26,All sexes,0–4,39863.0
British Columbia,2023-03-26,All sexes,05–11,181498.0
British Columbia,2023-03-26,All sexes,12–17,257250.0
British Columbia,2023-03-26,All sexes,18–29,745725.0
British Columbia,2023-03-26,All sexes,30–39,712409.0
British Columbia,2023-03-26,All sexes,40–49,617345.0
British Columbia,2023-03-26,All sexes,50–59,632937.0
British Columbia,2023-03-26,All sexes,60–69,662229.0
British Columbia,2023-03-26,All sexes,70–79,476959.0
British Columbia,2023-03-26,All sexes,80+,286846.0
British Columbia,2023-04-23,All sexes,0–4,39707.0
British Columbia,2023-04-23,All sexes,05–11,179915.0
British Columbia,2023-04-23,All sexes,12–17,256298.0
British Columbia,2023-04-23,All sexes,18–29,743997.0
British Columbia,2023-04-23,All sexes,30–39,712565.0
British Columbia,2023-04-23,All sexes,40–49,618150.0
British Columbia,2023-04-23,All sexes,50–59,631995.0
British Columbia,2023-04-23,All sexes,60–69,663266.0
British Columbia,2023-04-23,All sexes,70–79,478980.0
British Columbia,2023-04-23,All sexes,80+,289541.0
British Columbia,2023-06-18,All sexes,0–4,39235.0
British Columbia,2023-06-18,All sexes,05–11,176826.0
British Columbia,2023-06-18,All sexes,12–17,254285.0
British Columbia,2023-06-18,All sexes,18–29,740008.0
British Columbia,2023-06-18,All sexes,30–39,712923.0
British Columbia,2023-06-18,All sexes,40–49,619470.0
British Columbia,2023-06-18,All sexes,50–59,630075.0
British Columbia,2023-06-18,All sexes,60–69,665276.0
British Columbia,2023-06-18,All sexes,70–79,483013.0
British Columbia,2023-06-18,All sexes,80+,294986.0
British Columbia,2023-09-10,All sexes,0–4,38077.0
British Columbia,2023-09-10,All sexes,05–11,171871.0
British Columbia,2023-09-10,All sexes,12–17,250941.0
British Columbia,2023-09-10,All sexes,18–29,733194.0
British Columbia,2023-09-10,All sexes,30–39,713554.0
British Columbia,2023-09-10,All sexes,40–49,621570.0
British Columbia,2023-09-10,All sexes,50–59,627214.0
British Columbia,2023-09-10,All sexes,60–69,667844.0
British Columbia,2023-09-10,All sexes,70–79,488619.0
British Columbia,2023-09-10,All sexes,80+,302854.0
British Columbia,2023-12-03,All sexes,0–4,40653.0
British Columbia,2023-12-03,All sexes,05–11,168074.0
British Columbia,2023-12-03,All sexes,12–17,248299.0
British Columbia,2023-12-03,All sexes,18–29,729049.0
British Columbia,2023-12-03,All sexes,30–39,716130.0
British Columbia,2023-12-03,All sexes,40–49,625256.0
British Columbia,2023-12-03,All sexes,50–59,625341.0
British Columbia,2023-12-03,All sexes,60–69,671893.0
British Columbia,2023-12-03,All sexes,70–79,495878.0
British Columbia,2023-12-03,All sexes,80+,311137.0
