year_week,work_red
2020-07,
2020-08,1.335842857142857
2020-09,0.9168428571428573
2020-10,1.3864285714285713
2020-11,1.3791428571428572
2020-12,0.8384714285714286
2020-13,0.27335714285714285
2020-14,0.2825142857142858
2020-15,0.2082571428571429
2020-16,0.3416428571428572
2020-17,0.3325
2020-18,0.2716714285714286
2020-19,0.4378428571428571
2020-20,0.4357428571428571
2020-21,0.41938571428571425
2020-22,0.44995714285714283
2020-23,0.5249571428571428
2020-24,0.487
2020-25,0.5647428571428571
2020-26,0.5605428571428571
2020-27,0.5843857142857143
2020-28,0.5887571428571429
2020-29,0.6066428571428572
2020-30,0.6266857142857144
2020-31,0.6244428571428572
2020-32,0.6542000000000001
2020-33,0.6633142857142857
2020-34,0.640057142857143
2020-35,0.7083285714285713
2020-36,0.7154571428571428
2020-37,0.6392714285714286
2020-38,0.7472428571428571
2020-39,0.7577285714285714
2020-40,0.7899428571428572
2020-41,0.7845714285714286
2020-42,0.7063714285714287
2020-43,0.8284428571428571
2020-44,0.7976142857142857
2020-45,0.7586571428571428
2020-46,0.8652714285714286
2020-47,0.7340285714285715
2020-48,0.8866142857142857
2020-49,0.9001714285714285
2020-50,0.8816142857142857
2020-51,0.8946
2020-52,0.3919142857142857
2020-53,0.2903285714285714
2021-01,0.7475571428571428
2021-02,0.7253999999999999
2021-03,0.7351428571428571
2021-04,0.7386285714285714
2021-05,0.7949714285714286
2021-06,0.8335571428571429
2021-07,0.8023714285714286
2021-08,0.8705285714285714
2021-09,0.8440428571428571
2021-10,0.7251142857142856
2021-11,0.6109285714285715
2021-12,0.5975857142857144
2021-13,0.34088571428571424
2021-14,0.6846428571428572
2021-15,0.7524714285714286
2021-16,0.7208285714285714
2021-17,0.8626571428571428
2021-18,0.8865857142857143
2021-19,0.8840285714285715
2021-20,0.9331714285714285
2021-21,0.9580142857142856
2021-22,0.7785285714285715
2021-23,0.9776857142857143
2021-24,0.9860714285714286
2021-25,0.9836571428571429
2021-26,1.003842857142857
2021-27,0.6773285714285714
2021-28,0.9888571428571428
2021-29,1.0119714285714285
2021-30,1.0326428571428572
2021-31,1.1423142857142858
2021-32,1.1483142857142856
2021-33,1.1823571428571429
2021-34,1.2042285714285714
2021-35,1.2453000000000003
2021-36,0.9989000000000001
2021-37,1.2105428571428571
2021-38,1.2709285714285714
2021-39,1.2999714285714286
2021-40,1.2967285714285715
2021-41,1.0113571428571428
2021-42,1.323242857142857
2021-43,1.296557142857143
2021-44,1.1262857142857141
2021-45,1.4165285714285714
2021-46,1.2255714285714283
2021-47,1.4401428571428572
2021-48,1.4404285714285712
2021-49,1.4352285714285713
2021-50,1.3425571428571428
2021-51,0.7054428571428571
2021-52,0.53086
