year_week,oth_red
2020-07,1.177225
2020-08,1.0674785714285715
2020-09,0.8010785714285714
2020-10,1.1273321428571428
2020-11,1.0770357142857143
2020-12,0.4673178571428571
2020-13,0.12558214285714284
2020-14,0.1566714285714286
2020-15,0.17428928571428573
2020-16,0.17902857142857145
2020-17,0.1726464285714286
2020-18,0.1812821428571429
2020-19,0.22751071428571426
2020-20,0.21182857142857142
2020-21,0.20305714285714282
2020-22,0.22869285714285711
2020-23,0.26965
2020-24,0.2974392857142857
2020-25,0.32044285714285714
2020-26,0.29108928571428566
2020-27,0.34963214285714284
2020-28,0.3955214285714286
2020-29,0.38830000000000003
2020-30,0.40844285714285716
2020-31,0.41385
2020-32,0.4936500000000001
2020-33,0.4640071428571428
2020-34,0.4120714285714286
2020-35,0.5159821428571428
2020-36,0.5615821428571429
2020-37,0.5406714285714286
2020-38,0.5425428571428571
2020-39,0.52
2020-40,0.57385
2020-41,0.6610571428571428
2020-42,0.603925
2020-43,0.647375
2020-44,0.6214178571428572
2020-45,0.6552214285714287
2020-46,0.7506250000000001
2020-47,0.6543428571428571
2020-48,0.7436107142857143
2020-49,0.7255250000000001
2020-50,0.7459999999999999
2020-51,0.8183107142857143
2020-52,0.5639357142857143
2020-53,0.42006785714285716
2021-01,0.5880321428571429
2021-02,0.5292928571428571
2021-03,0.5188857142857143
2021-04,0.46336428571428573
2021-05,0.5484285714285714
2021-06,0.5679321428571429
2021-07,0.5738321428571428
2021-08,0.5574178571428571
2021-09,0.5010571428571429
2021-10,0.39161071428571426
2021-11,0.2981428571428571
2021-12,0.28515714285714283
2021-13,0.25218928571428567
2021-14,0.3465892857142857
2021-15,0.38568928571428573
2021-16,0.446825
2021-17,0.5262321428571429
2021-18,0.6333285714285715
2021-19,0.6033464285714285
2021-20,0.5803214285714287
2021-21,0.5972392857142859
2021-22,0.612075
2021-23,0.6694857142857142
2021-24,0.6187535714285716
2021-25,0.6218464285714286
2021-26,0.6448928571428573
2021-27,0.7077071428571429
2021-28,0.7251785714285715
2021-29,0.74045
2021-30,0.6896821428571428
2021-31,0.832475
2021-32,0.783575
2021-33,0.7988428571428571
2021-34,0.7125321428571427
2021-35,0.8310892857142856
2021-36,0.7724678571428572
2021-37,0.8136642857142856
2021-38,0.8002357142857143
2021-39,0.7985642857142857
2021-40,0.8501464285714285
2021-41,0.7964464285714286
2021-42,0.8322571428571427
2021-43,0.8678607142857142
2021-44,0.8896714285714286
2021-45,0.9888607142857142
2021-46,0.8868464285714285
2021-47,1.0111464285714284
2021-48,1.0614142857142856
2021-49,1.1184142857142858
2021-50,1.1277107142857143
2021-51,0.9408071428571428
2021-52,0.711735
