year_week,work_red
2020-07,1.0850598194130927
2020-08,1.2897876016260164
2020-09,0.8648942390782526
2020-10,1.3577919404517453
2020-11,1.3562430910951895
2020-12,0.9312314661471017
2020-13,0.40480985598559854
2020-14,0.44072782846715325
2020-15,0.425067619047619
2020-16,0.5229008763837639
2020-17,0.48861613938560294
2020-18,0.5269383940932165
2020-19,0.6816426206244087
2020-20,0.676865543426673
2020-21,0.680655486935867
2020-22,0.6871091642924976
2020-23,0.8036241279069768
2020-24,0.7708584968530174
2020-25,0.8848232506479082
2020-26,0.8326459100957996
2020-27,0.8690692421441775
2020-28,0.8743762749445676
2020-29,0.8831394678492239
2020-30,0.896426430417128
2020-31,0.8858402957486137
2020-32,0.9380098518518518
2020-33,0.9100424926035503
2020-34,0.786156326987682
2020-35,0.8591111617312073
2020-36,0.8571961451247165
2020-37,0.8839341741741743
2020-38,0.9720772811230144
2020-39,0.9813422378658762
2020-40,0.9962224935257122
2020-41,1.028697439703154
2020-42,0.9130166666666667
2020-43,1.062174916635791
2020-44,1.0317638250555967
2020-45,0.9649480177843647
2020-46,1.1270485266691532
2020-47,1.0269052612078546
2020-48,1.1070012226750647
2020-49,1.1063986316568046
2020-50,1.1038436828454983
2020-51,1.1329783253056687
2020-52,0.6957881964809385
2020-53,0.5807367436743675
2021-01,0.9671953367875649
2021-02,0.8929252202643172
2021-03,0.8712452837140751
2021-04,0.8778682720588236
2021-05,0.926165106853353
2021-06,0.9520154950312845
2021-07,0.9248408321060382
2021-08,0.9823440323172971
2021-09,0.9351702901211898
2021-10,0.8662891862170088
2021-11,0.7614062934504209
2021-12,0.7736581658750457
2021-13,0.6621480966325036
2021-14,0.8655601177336276
2021-15,0.9168416329532917
2021-16,0.872949409594096
2021-17,0.9700601906158358
2021-18,1.0964495170876671
2021-19,1.0552665188470065
2021-20,1.091910573012939
2021-21,1.1193244731977818
2021-22,0.9431943479867012
2021-23,1.142629574861368
2021-24,1.1151129377073352
2021-25,1.109999335793358
2021-26,1.1601750833024806
2021-27,1.0364647819660013
2021-28,1.1742843195266273
2021-29,1.194832023721275
2021-30,1.2263340638930162
2021-31,1.339343288590604
2021-32,1.344424683072334
2021-33,1.3745374301675977
2021-34,1.385700335445397
2021-35,1.431263045912654
2021-36,1.1420588673621461
2021-37,1.4102441582680105
2021-38,1.464219386227545
2021-39,1.4760053791557715
2021-40,1.4672084580838323
2021-41,1.126445464684015
2021-42,1.5044082833583208
2021-43,1.4686244859813085
2021-44,1.2360221556886228
2021-45,1.586960210605491
2021-46,1.3492605992509363
2021-47,1.6224141242937853
2021-48,1.613904146249529
2021-49,1.6340666540499622
2021-50,1.5611362748779574
2021-51,0.975057049180328
2021-52,0.762811359223301
