,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
470292,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/1,-72.0,-64.0,0.0,-66.0,-71.0,17.0
470293,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/2,-49.0,-11.0,-34.0,-39.0,-26.0,13.0
470294,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/3,-38.0,0.0,-37.0,-22.0,-3.0,8.0
470295,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/4,-25.0,20.0,-22.0,-21.0,-12.0,8.0
470296,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/5,-26.0,15.0,-14.0,-21.0,-15.0,9.0
470297,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/6,-26.0,16.0,-21.0,-22.0,-14.0,9.0
470298,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/7,-25.0,18.0,-8.0,-21.0,-11.0,9.0
470299,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/8,-17.0,23.0,-12.0,-16.0,-8.0,9.0
470300,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/9,-22.0,16.0,-16.0,-13.0,2.0,7.0
470301,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/10,-30.0,10.0,-19.0,-16.0,3.0,6.0
470302,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/11,-22.0,20.0,-23.0,-18.0,-9.0,7.0
470303,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/12,-27.0,8.0,-15.0,-22.0,-14.0,8.0
470304,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/13,-27.0,10.0,-22.0,-25.0,-15.0,6.0
470305,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/14,-30.0,4.0,-16.0,-28.0,-16.0,7.0
470306,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/15,-24.0,6.0,-15.0,-24.0,-16.0,6.0
470307,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/16,-29.0,1.0,-8.0,-20.0,-6.0,4.0
470308,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/17,-32.0,0.0,-4.0,-17.0,-5.0,2.0
470309,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/18,-30.0,3.0,-19.0,-25.0,-15.0,5.0
470310,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/19,-30.0,2.0,-15.0,-25.0,-18.0,6.0
470311,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/20,-36.0,-4.0,-1.0,-43.0,-37.0,10.0
470312,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/21,-31.0,4.0,-16.0,-26.0,-14.0,7.0
470313,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/22,-24.0,8.0,-16.0,-21.0,-12.0,7.0
470314,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/23,-28.0,4.0,-8.0,-18.0,-3.0,5.0
470315,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/24,-33.0,0.0,-10.0,-18.0,-2.0,4.0
470316,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/25,-29.0,6.0,-22.0,-23.0,-12.0,6.0
470317,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/26,-31.0,0.0,-23.0,-25.0,-16.0,7.0
470318,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/27,-30.0,4.0,-23.0,-25.0,-14.0,7.0
470319,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/28,-30.0,4.0,-16.0,-25.0,-12.0,7.0
470320,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/29,-21.0,13.0,-10.0,-18.0,-9.0,6.0
470321,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/30,-26.0,8.0,-4.0,-14.0,-1.0,3.0
470322,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/1/31,-30.0,7.0,-6.0,-14.0,-1.0,2.0
470323,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/1,-27.0,12.0,-28.0,-22.0,-11.0,6.0
470324,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/2,-28.0,7.0,-25.0,-22.0,-14.0,7.0
470325,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/3,-27.0,8.0,-30.0,-23.0,-12.0,6.0
470326,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/4,-28.0,7.0,-24.0,-23.0,-10.0,6.0
470327,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/5,-25.0,9.0,-45.0,-20.0,-11.0,8.0
470328,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/6,-27.0,12.0,-52.0,-20.0,-4.0,7.0
470329,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/7,-33.0,7.0,-49.0,-23.0,-3.0,6.0
470330,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/8,-27.0,12.0,-48.0,-20.0,-10.0,7.0
470331,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/9,-26.0,8.0,-39.0,-20.0,-12.0,7.0
470332,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/10,-23.0,14.0,-36.0,-19.0,-10.0,6.0
470333,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/11,-27.0,10.0,-35.0,-21.0,-9.0,7.0
470334,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2021/2/12,-16.0,21.0,-31.0,-16.0,-7.0,6.0
