id,Alpha_increase,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,1.872103962659874,49.0,1.734755141783315,-1.1717099546440628,-6.450691912657003,0.0008615229869603687,1.3564343445436853,0.20872242336612148,0.0,12.0
9003,1.9897343188751364,49.0,1.655650446990466,-3.463692526019987,0.43042384679532386,0.005133376573169696,1.0240416624334074,0.174690984916403,6.0,16.0
9004,2.11880033949351,51.0,1.872177518906581,-5.513664255057546,-2.5871485749910397,0.009878723588696901,1.2503141535022766,0.2528911051466942,6.0,4.0
9005,1.990653840765089,53.0,1.723442311080725,-2.686531624733209,-6.4758503172610995,0.003250015175985384,1.313112277698088,0.20213725998947857,3.0,19.0
9006,2.0795298651913336,41.0,1.837853182756797,1.137923517636209,-3.6248433362602137,0.002696115643025414,1.1323848007141828,0.2543030974849797,4.0,10.0
9007,2.2549825320513324,49.0,1.8110457949805765,-4.350792481105675,-0.2878538966530282,0.001263473817721386,1.0909769689975028,0.18950026706796252,3.0,19.0
9008,2.137838598112224,28.0,1.9885996324864363,1.350986919579572,-0.12658438149955664,0.003030168915930024,1.3493613777303672,0.28888310677468954,7.0,26.0
9009,2.175731238441906,48.0,1.7517780546160835,-0.6864348956705154,-3.773641514662021,0.004785242553377178,1.0547797832042012,0.21540985841128046,5.0,20.0
9010,2.0878288089817394,39.0,1.7989384477523136,-3.3513384009012577,1.4265327422360867,0.0023596529274760598,1.1781672255459137,0.24527549356244077,4.0,23.0
9011,1.943749113100216,43.0,1.5943454647340412,-7.207086857600093,-4.464211149511481,0.00644709153882526,1.4062230805726788,0.2048132842909718,4.0,5.0
9012,2.294579953649843,49.0,2.054672261406331,-0.7324694060643245,-7.50589714731174,0.00658231723101377,1.1828084120062823,0.29280154036193384,6.0,18.0
9013,2.479422379046975,60.0,2.0851839050295466,-6.948480699057292,-1.241876811947198,0.0039716962574359626,1.2234533650728985,0.31917480798975095,3.0,6.0
9014,2.300320687595944,43.0,1.8861455984988666,0.22907728587618492,-4.484831926273299,0.0063304411909941,1.4563310350014982,0.2417073839523684,7.0,40.0
9015,2.1990015999538652,49.0,1.8682189976185917,-6.956027286334635,-5.915210138893899,0.002935026873217232,1.25970624140887,0.2576651596560181,4.0,27.0
9016,2.2282941851667735,49.0,1.861278782456232,-2.591508119631588,-2.468780079497997,0.006951179936037682,1.0973175902145043,0.21788884740100403,6.0,9.0
9017,2.17202601088636,46.0,1.8131406393526497,-2.669441317705242,0.08173945536370864,0.007301134205212465,1.2066907216518765,0.25080676581712685,6.0,20.0
9018,2.2365202901384524,42.0,1.7357465638828116,-1.3454610179515054,-8.758884386179602,0.005913211952551605,1.184503468987332,0.17548248065681274,6.0,21.0
9019,2.0820848954141478,58.0,1.6367642865427396,-5.019815390526682,-4.714658907263771,0.0066930032938823025,1.4575307685464602,0.17208402738457115,5.0,30.0
9020,2.0499826303688646,47.0,1.721565170373391,-6.878685937239912,0.31665775826153175,0.0010384208238120945,1.476740871291517,0.17625572353638783,2.0,14.0
9021,1.8010520697626924,53.0,1.4869444367639484,-2.289055942109606,-4.818319145043408,0.008977899861886053,1.3833551866167235,0.12362229015919468,7.0,19.0
9022,2.1488024475570024,53.0,2.216918588239754,-4.648201171073208,-7.262174531722165,0.0019772892673927695,1.2125787088480706,0.3455346423381942,3.0,1.0
9023,2.442970193492651,46.0,2.2863747297908694,-6.9584072525087235,-0.6759846194362128,0.003536229802048117,1.101195443877436,0.35390617135048,6.0,26.0
9024,2.0292842836079004,32.0,1.6348922618104622,-5.372950773010253,-1.98418687407655,0.0074137067379565404,1.2167980935832707,0.16278225709275132,7.0,18.0
9025,2.1266075297419347,47.0,1.7957503352708746,-5.761567446323982,-3.203737644766884,0.0032859493441819033,1.0769556925399681,0.24512664499136952,4.0,12.0
9026,2.0800608000834835,41.0,1.587269817166083,-3.4325070954724306,-3.8751476561811984,0.005194487332046916,1.1572012133102423,0.16692028157627284,6.0,27.0
9027,2.0843996445653667,36.0,1.5044400502152642,-3.3962670562588735,-5.141399394951448,0.004370255482222115,1.4574043077762342,0.11799184897624657,6.0,27.0
9028,2.170141791483565,51.0,1.6641792134544469,-4.176123248741567,-5.017422709042084,0.007352560581640915,1.4380287828642808,0.14281053969096227,6.0,14.0
9029,2.2163081216650506,47.0,2.0245138344477196,2.161626082289919,-2.3868211719939447,0.005426208396811302,1.266948857291212,0.2704579524633384,6.0,17.0
9030,2.186592711868213,39.0,1.701335858835257,-3.251241047551713,-3.6757711052738853,0.005992977862246831,1.336572649425474,0.17416878622139792,6.0,26.0
9031,1.9971828694840146,52.0,1.8457333412603942,-1.6273787831717041,-1.3625489811860723,0.003402026142756205,1.03107077234336,0.2571531479060425,4.0,7.0
9032,2.0569794267454404,49.0,1.945018741817178,-0.20668281993249332,2.206597216487774,0.0029161236658925764,1.01622477793969,0.25119122309235653,5.0,9.0
9033,2.0870966387411465,50.0,1.5663234485501851,-6.00545499431346,-3.6433515551441213,0.004268056131279666,1.3315400019426056,0.1563488368310536,3.0,28.0
9034,2.2410215598588,53.0,1.7052005363932812,-2.5611886990733046,-1.512544961958141,0.005416161391371255,1.1836450860345078,0.20369083641056956,4.0,5.0
9035,2.2189736997839673,49.0,2.0397312450375913,-5.388600637703747,-6.771245197019931,0.004018261759025047,1.4357032842659456,0.3163267852162286,4.0,4.0
9036,2.0126908031152886,47.0,1.5990880952379898,-9.087675232525855,-2.0670368849009293,0.006229439395434482,1.1063169581660028,0.1694546204609908,5.0,25.0
9037,2.1821165098587527,50.0,1.7086607842712733,-4.682380500403233,0.300669356801049,0.00240945543876215,1.0830265296988077,0.1892390494460598,3.0,14.0
9038,2.1944052478440534,49.0,1.7299886622722294,-7.691753132578665,-0.714641314212959,0.0024589101785647905,1.4228280536694604,0.185240964769679,3.0,9.0
9039,1.9525932547222828,34.0,1.6690623959371604,-0.6308738010573829,-0.3531616016548771,0.0037290583415862106,1.4979522726150134,0.19805053195673458,5.0,23.0
9040,2.000196577124912,54.0,2.025739409223771,0.10555633530415148,-6.778997377672645,0.0028653210056452114,1.387481053784782,0.309201860311808,3.0,13.0
9041,2.0954271720664064,54.0,1.5120969698287208,-3.4404742780120867,-2.1528486690686695,0.002054253404348318,1.0442983018572976,0.10770608913469562,2.0,28.0
9042,2.18864059239087,50.0,1.6644161562928788,-6.469115039750834,-0.23455873640964153,0.004750100406645998,1.260490866698566,0.15748822243663824,4.0,21.0
9043,2.1511967265482017,52.0,1.9381615626144464,-7.672665207893879,-5.101692203211276,0.003259843088811495,1.080369459357392,0.2672891464660177,5.0,12.0
9044,2.035381449744668,32.0,1.582913073993181,-8.274414541414476,-3.6016936137921665,0.005804040280199909,1.1732373714699575,0.1543733109199727,5.0,11.0
9045,2.128235780398473,45.0,1.9218205453611952,-3.1429969518025955,-2.5410975943269554,0.004161384140837085,1.2489550309205608,0.27348572855886555,5.0,7.0
9046,2.350731187659617,49.0,1.6912319742873407,-5.321386662714278,0.7854839217202394,0.0031742520951764217,1.1018372256085962,0.1572550200001321,4.0,35.0
9047,2.0203431697026244,48.0,1.7598482821618138,-0.9638653902087149,-2.9393605008645074,0.00463525049504775,1.488406675081625,0.2598456816580276,4.0,8.0
9048,1.8593822111588196,49.0,1.7728893427377002,-5.647026116431797,-4.046902159053591,0.0031010043402017293,1.1905242420351263,0.19982124300502843,4.0,1.0
9049,2.202146751869892,51.0,1.9460537948736585,-1.7285408325032394,-3.736178830826535,0.008257050945320348,1.2613491750386512,0.29133654167659795,7.0,14.0
