id,Delta,R0,i0_q,r0_q,start_week_delta
6002,23.0,2.1490741229439685,0.009960792207723144,0.26915240877316254,7.0
6003,37.0,2.250670620334488,0.008541813868197228,0.3329056694134086,5.0
6004,24.0,1.9363896342699292,0.007253765183164093,0.18923103085856505,7.0
6005,40.0,2.514800119962477,0.01487448324682739,0.36442641707697687,6.0
6006,60.0,1.8457926006835972,0.004635964024802309,0.1963800599776888,0.0
6007,42.0,2.4227379464933656,0.00226595356425987,0.37746975692249385,2.0
6008,22.0,2.500451132066737,0.00276261875872367,0.37715500573732136,5.0
6009,42.0,2.2788020458716995,0.004517441429005934,0.317470813929688,3.0
6010,30.0,2.2467319632326284,0.006527012400664466,0.2635445144164762,6.0
6011,55.0,1.9934114369594016,0.002972095298153331,0.24037667929267295,0.0
6012,40.0,2.4523098965399446,0.004401862580346445,0.368535958397724,4.0
6013,29.0,2.1981236447486583,0.0034288341769576403,0.321714762643581,4.0
6014,34.0,1.8936222870097523,0.001278586232623634,0.1709805196780437,2.0
6015,57.0,2.1263392910042263,0.004314940874095957,0.27793371682647944,0.0
6016,33.0,2.01095927317709,0.007831280981002622,0.21121424398720454,5.0
6017,32.0,1.9031355079139374,0.00329807070415881,0.2279097812425262,3.0
6018,38.0,2.396216284132338,0.006703648730798331,0.3183742521325629,4.0
6019,38.0,1.7716642841381616,0.00678850867785901,0.1886853961977926,4.0
6020,63.0,2.1783961846613185,0.0033812464934814524,0.29197972923096543,0.0
6021,35.0,2.630107504440309,0.0018669556800839102,0.37405288740363546,4.0
6022,39.0,1.7858812039914598,0.005137621132624765,0.19007038285674097,3.0
6023,56.0,2.6084137017281095,0.0036369604832825614,0.3470492395333164,1.0
6024,3.0,2.3292775630027114,0.0012842536497632887,0.3036409056979203,6.0
6025,41.0,2.0718161779027984,0.0027756292054221914,0.21883563974057418,2.0
6026,39.0,2.1451491568156262,0.002239786216163119,0.301369561747018,1.0
6027,36.0,2.065153005185122,0.0013447284514637168,0.24540465043583914,1.0
6028,28.0,2.673939257016034,0.006247291893876713,0.3791351615276823,6.0
6029,43.0,2.518690588376322,0.0018776970179310696,0.3817254411751883,2.0
6030,31.0,2.549674874925818,0.010079537020428695,0.38178297870699346,6.0
6031,40.0,2.4229554020622475,0.0012724603995347414,0.325865264511323,2.0
6032,28.0,2.06168965512287,0.004666987737229942,0.23597798743856052,5.0
6033,36.0,2.032874339519173,0.000826792864809115,0.21106316386346052,1.0
6034,16.0,2.1303461915693336,0.002628552899153981,0.2812172102674109,5.0
6035,34.0,2.134018208659047,0.009173378992166182,0.26424403989339007,6.0
6036,27.0,2.2742402226043525,0.004578582067756698,0.3417312665999666,5.0
6037,33.0,2.309577711765749,0.008097844354463068,0.3080576198360143,6.0
6038,40.0,2.342238811673676,0.0033609560794388015,0.3277639798964114,2.0
6039,50.0,2.499600468724024,0.0030426354132227326,0.37361731727418673,1.0
6040,6.0,2.427755548245509,0.0009962128453682296,0.3543227254980138,6.0
6041,40.0,2.5321195115175805,0.004010512264074814,0.3834858867349716,4.0
6042,40.0,2.0417465337569656,0.0027848323753457173,0.20660895801476456,3.0
6043,36.0,2.5120245920596553,0.004987518079919484,0.3359644115737534,5.0
6044,41.0,2.3750329942358652,0.001978568056756701,0.31168814485735863,2.0
6045,36.0,2.2703205007308935,0.0067484458950943585,0.319515026921739,5.0
6046,61.0,2.4538917221088705,0.0048348729985884555,0.35357371121018444,0.0
6047,34.0,1.8078140533168674,0.003144403785503229,0.1591253746108429,2.0
6048,43.0,2.316325956847459,0.006454034689037094,0.30254055959980275,4.0
6049,16.0,2.481693875049451,0.002774512619030754,0.3422245638258784,7.0
6050,46.0,1.6878029248564346,0.006791812550469499,0.12602151306780665,2.0
6051,8.0,2.412925207180278,0.002711970242483681,0.35000519751330217,7.0
6052,31.0,2.2627318447245517,0.006280821312720734,0.3173052126363393,5.0
6053,5.0,2.014407970311519,0.0012527972155102277,0.24570751269807323,5.0
6054,26.0,1.94806148634731,0.0033424429786699534,0.1845439749802461,5.0
6055,55.0,2.4948219060768855,0.0036130248219083247,0.3448183804280596,1.0
6056,16.0,2.216799309627959,0.0007155023021792938,0.2556339039949619,4.0
6057,33.0,2.174781599969734,0.00834287810150959,0.2975061152404995,6.0
6058,17.0,1.9369019239071028,0.006368673439958667,0.20721626568760831,7.0
6059,17.0,1.7435461999461717,0.004284652927305012,0.1243303299380006,5.0
6060,17.0,2.446271320849586,0.0027274218356726707,0.31305266324163616,7.0
6061,34.0,1.7331473048410035,0.0032194502977790584,0.16144842567216033,3.0
6062,26.0,1.7207080156063315,0.005253925398564925,0.1606056761312171,5.0
6063,59.0,2.2502806037556327,0.002892567967307766,0.334489444612833,0.0
6064,25.0,1.9456933736963593,0.012242677067434178,0.21500751313252134,7.0
6065,19.0,2.275259189197979,0.005521584851241691,0.2873373716059139,7.0
6066,37.0,2.2037800320946173,0.0078683586952958,0.31556374106975243,5.0
6067,17.0,1.8443817761254866,0.002890575160842463,0.13957254598034974,6.0
6068,23.0,2.0579579606550444,0.0036946307863722906,0.27854616138081767,5.0
6069,18.0,2.3257112294724807,0.0019400795185297742,0.3227010176869419,5.0
6070,34.0,2.0153386878906954,0.006029113418647999,0.24891478132022432,4.0
