id,Alpha_increase,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9002,2.421269616858514,59.0,1.7210881238817486,0.004045887390750028,0.17717034568615472,4.0,29.0
9003,1.9916943154751399,59.0,1.508181831711152,0.004385946296834126,0.14174953080733663,4.0,12.0
9004,2.4463661561282093,58.0,1.5046904620227706,0.008529779701994025,0.13370545757337804,5.0,21.0
9005,2.124490802509865,58.0,1.518172124418478,0.0057601273362879275,0.1561761214460614,2.0,12.0
9006,2.0976133740088274,61.0,1.6415287424844986,0.004580011949979465,0.15333173223152965,3.0,7.0
9007,2.4951648432070064,46.0,1.8045603852304302,0.008817657817442393,0.2390087074144004,7.0,21.0
9008,2.2693809579221913,57.0,1.690905308980488,0.008393958466305466,0.17930595339264818,5.0,4.0
9009,2.4162136429446193,48.0,1.5351836887206889,0.0022422333602592076,0.1322964057182048,3.0,31.0
9010,2.1383317197907896,58.0,1.677114415385141,0.004684530887754886,0.2275612147165665,3.0,7.0
9011,2.406510674178029,59.0,1.811459654749152,0.008799802849079039,0.2720421082957686,5.0,12.0
9012,2.4211128440008807,54.0,1.5774196071317799,0.008645915844530665,0.12055436191732823,5.0,21.0
9013,2.0762380636292908,52.0,1.6765173014601111,0.005320472768884725,0.22683495914119398,4.0,6.0
9014,2.479504541680245,42.0,1.7628122729027274,0.004551200388072668,0.24492541830195272,4.0,25.0
9015,2.4608852149979277,48.0,1.9791715100077338,0.006120265071334654,0.2807755576699469,5.0,13.0
9016,2.0212523607709443,57.0,1.6700931168283912,0.005338277270022122,0.19537929932153586,3.0,3.0
9017,2.3839001721240427,58.0,1.585993042831597,0.008015600339987536,0.13214641061214952,4.0,20.0
9018,2.20860485072454,50.0,1.6067082461985,0.005539880986558927,0.17782658054731,3.0,5.0
9019,2.158097500292789,58.0,1.5783518860041525,0.0033473465239670873,0.14696068768650142,2.0,31.0
9020,2.3230246360642433,51.0,1.6378775587352998,0.003279758479630311,0.11728067031899952,5.0,27.0
9021,2.2696052162468923,63.0,1.7370949190970755,0.005653059902771683,0.18421769574865668,5.0,15.0
9022,2.389357991287251,58.0,1.7644166280854294,0.00855882952976951,0.2523511761887658,6.0,15.0
9023,2.1864452634580527,41.0,1.6286256458288804,0.0018556519072105112,0.13899571568326063,5.0,25.0
