id,Alpha_increase,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,2.044462647427608,61.0,1.5219066932932273,-8.661480380601379,-9.050155391098496,0.0046378735223329475,1.0742938994336586,0.12894447733961253,3.0,7.0
9003,1.8358166753337686,26.0,1.535701365438836,-1.1105296289672353,-7.8394506089053655,0.004972983723342149,1.1045658401314413,0.16458216184296856,7.0,26.0
9004,2.0437206934927947,47.0,1.718121582027896,-0.11570752988104505,0.6188663960862568,0.006517622699904712,1.2246685925666563,0.2081808999146996,6.0,16.0
9005,2.0180991538338335,63.0,1.7458259520716706,-2.0237589204661885,-4.294794335348542,0.014158737688434758,1.3171919170603241,0.24909743042981966,7.0,7.0
9006,2.0646676894677287,56.0,1.7344524355911388,1.91001378552254,-0.8974131898559159,0.006301748169809556,1.1817726707224416,0.2648310257385385,5.0,9.0
9007,2.393576906402585,55.0,1.5930308554775938,0.909417848595119,-1.609014606541571,0.006421473344664927,1.4215352570711504,0.20778469351352985,3.0,22.0
9008,1.893180130098947,40.0,1.6625232894030688,-2.3297086639197797,0.2676280445267921,0.006087439704965276,1.1128238924539422,0.19004591771913443,6.0,13.0
9009,1.8824610710690328,54.0,1.5310074780359577,-3.1268843912877293,-6.2152448492740735,0.0037869510332541223,1.2751840405501214,0.11847174800679587,3.0,12.0
9010,2.1450915926850063,59.0,1.558659067992964,-0.26430811788741887,-7.926060359028941,0.0030272682105714184,1.233874654194193,0.15857435973191952,2.0,36.0
9011,2.0154731590628776,37.0,1.5533855852719647,-1.9467052872906372,-5.148361762451412,0.005553265174960822,1.3981025715713968,0.12889633985488014,6.0,22.0
9012,2.2313467770885866,31.0,1.574047348164351,-6.660133688707083,-6.096717268723921,0.00323521120778492,1.4533332622901964,0.11907190214654484,5.0,27.0
9013,2.0089322041335866,44.0,1.5803497169438436,-7.587130015752431,-3.376513255064564,0.007451768532819222,1.3364747353002928,0.1617513257645718,7.0,25.0
9014,2.2164576372826734,16.0,1.37047794587925,0.5113895316993782,-6.738901930178202,0.007271817174166681,1.417797869273671,0.14466281185443278,3.0,40.0
9015,1.9628721405239649,57.0,1.65978691148733,0.5622365781562709,-4.0401780374634875,0.0069744412924951735,1.074350062852305,0.2418669023686882,4.0,4.0
9016,1.872652545103276,41.0,1.5428837541330913,0.10137960155748804,0.12010686610989274,0.009851385532273146,1.2942388263287508,0.18306631454457745,7.0,3.0
9017,2.2501057563571303,51.0,1.9241508593762573,-7.330862905007893,-1.3965865031570723,0.007371063310964809,1.2342105410738662,0.2746951280208287,6.0,13.0
9018,2.190013927295059,56.0,1.7282275457415726,-3.9754722029961718,-3.283609064274824,0.0022234575042556774,1.370158206364575,0.1758325370282531,3.0,30.0
9019,2.1107113670978164,53.0,1.92659365183869,-7.013169573632208,1.3849744905661079,0.004939899838713037,1.36271536073025,0.31481020973360146,3.0,3.0
9020,1.7364977545180116,57.0,1.683038860498133,-1.5851936894410057,-5.6710980469130385,0.01001312588833568,1.4762546618866454,0.2440755735124006,7.0,24.0
9021,2.2027772692209355,37.0,1.6316385513539928,-6.279700179796688,-7.520863714518583,0.002945799336600788,1.403437583416413,0.14789781945590416,4.0,37.0
9022,2.232297999747959,56.0,1.8373892258076487,-3.8108578979645094,-1.6691047651885984,0.007695340154364467,1.2559194781863492,0.24489335417959013,5.0,19.0
9023,2.297411694615368,33.0,1.700890118044539,1.6641453901290042,-2.089987647173661,0.005340171998703244,1.420964783376962,0.34604309846183995,4.0,35.0
9024,2.067253134986857,19.0,1.5802600272098395,0.28073048967801134,-3.1174848273043994,0.005756537462302242,1.232422235256568,0.19600405466224005,6.0,29.0
9025,2.007802490811802,35.0,1.8842511621617102,-8.828834428953513,-7.370032267723323,0.0024860478073353985,1.261914294049982,0.25532972476743737,5.0,11.0
9026,2.0145737135036113,51.0,1.719673850035387,-2.3060516067638392,-8.179431965665797,0.0036598052846873513,1.3910108093968019,0.22174821231423852,4.0,12.0
9027,2.246020363571986,47.0,1.6213064210876453,0.6685450413667451,-3.3644701669364148,0.004210691583309584,1.3278893037534345,0.19979991740851358,3.0,20.0
9028,2.014801909147925,62.0,1.668219888672286,-3.070702762466108,-3.1909790002395906,0.003554363318850366,1.1979428441208797,0.1806511909848197,2.0,13.0
9029,2.0349741264141095,40.0,1.7360812479336798,-1.6792993783225914,-6.75207981469558,0.008381870757804133,1.3134636524180976,0.19399218015798786,6.0,16.0
9030,2.0521462670374357,27.0,1.554112942914623,0.7184168505576063,-4.709196927629454,0.008975571056983192,1.3064925114532464,0.2196108000447744,4.0,24.0
9031,2.281864517540203,53.0,2.033298929655613,-0.2683477264101505,-5.10825228782996,0.007540156082623085,1.2971085764787664,0.3413414511304439,5.0,40.0
9032,2.1528777177066245,38.0,1.7803081753088723,-6.728902016165118,1.313751877102344,0.007276289475063405,1.3437900402825311,0.21791575439999847,7.0,30.0
9033,2.2305555083594752,52.0,1.8548808910616255,-2.8974000546120333,-1.4579814024083402,0.0007933360796145126,1.3159537750006318,0.2234224106346463,1.0,23.0
9034,1.991516663442706,34.0,1.6371789944514015,-7.14177574142142,-7.904134079918802,0.0011944033843451153,1.4912407846875344,0.14243026666793374,4.0,24.0
9035,1.9993165606779955,56.0,1.808978200194442,2.036880098165815,-0.030354684903310503,0.00445390769850044,1.4790781620284037,0.3188199793569567,2.0,4.0
9036,1.7957021275072813,57.0,1.5312701801503776,-7.758620382828584,2.0242564773910834,0.0030644892556327677,1.4510639654874307,0.16369490825288385,2.0,2.0
9037,1.94825664265785,45.0,1.582658594261453,-2.774693653420778,-3.080495370051024,0.006927951479034832,1.0697253583867978,0.14249598856932588,7.0,29.0
9038,1.9662261012183826,50.0,1.581493727504948,0.3616119276429546,-8.11368708096297,0.006803735687292558,1.2237133182168518,0.17578457054743019,4.0,36.0
9039,2.222026973618227,43.0,1.7556144669181544,-2.577165114233239,-4.36137819035174,0.0032706920742493735,1.3382734311557611,0.22392008201327007,4.0,35.0
9040,1.9858832748721458,35.0,1.5504552055350638,0.7839847456362191,0.8060884231761065,0.004541436559439041,1.4465088363592251,0.192609909915949,7.0,29.0
9041,1.7882632597938088,60.0,1.5033888906563608,0.035801214030001915,-6.7475942343852005,0.006139034724683692,1.2105983851163005,0.12901766215558852,3.0,17.0
9042,2.022736340721641,60.0,1.6900434912684483,-3.7610540699394956,-5.578610561744126,0.005064959567930533,1.3024008479107865,0.1742897940223773,4.0,10.0
9043,1.847378078501863,48.0,1.467966504280488,1.988132922236685,-5.788540159067118,0.0064650598160007665,1.0571038252484362,0.15364591937531372,5.0,27.0
9044,2.0967029097362633,55.0,1.7348002928106407,-6.200552400940598,-1.6494276759227935,0.0035758716995709537,1.2061202153865898,0.21752659274010494,4.0,12.0
9045,1.9940537547403427,22.0,1.5191990326352032,1.6552137448076611,-5.9107898542114805,0.009397796569915826,1.198948130964883,0.22520015354082168,7.0,28.0
9046,2.1390738068097788,52.0,1.7536123206179368,-3.5522425185753717,1.247417833039997,0.012132980674547302,1.137077119015313,0.20160230725686012,7.0,6.0
9047,2.0216916465005754,56.0,1.757085571399569,-2.0968211832315506,-0.4832894227798057,0.0036663251771352047,1.3025992119942933,0.2395681440843684,3.0,7.0
9048,1.8030588285003002,59.0,1.3879883326923628,-0.3059401446918917,-8.914005575639774,0.011348603340085701,1.3986626675792608,0.16285640937002402,4.0,18.0
