,C1M_School.closing,datetime
115,3,2020-04-25
116,3,2020-04-26
117,3,2020-04-27
118,3,2020-04-28
119,3,2020-04-29
120,3,2020-04-30
121,3,2020-05-01
122,3,2020-05-02
123,3,2020-05-03
124,3,2020-05-04
125,3,2020-05-05
126,3,2020-05-06
127,3,2020-05-07
128,3,2020-05-08
129,3,2020-05-09
130,3,2020-05-10
131,3,2020-05-11
132,3,2020-05-12
133,3,2020-05-13
134,3,2020-05-14
135,3,2020-05-15
136,3,2020-05-16
137,3,2020-05-17
138,3,2020-05-18
139,3,2020-05-19
140,3,2020-05-20
141,3,2020-05-21
142,3,2020-05-22
143,3,2020-05-23
144,3,2020-05-24
145,3,2020-05-25
146,3,2020-05-26
147,3,2020-05-27
148,3,2020-05-28
149,3,2020-05-29
150,3,2020-05-30
151,3,2020-05-31
152,3,2020-06-01
153,3,2020-06-02
154,3,2020-06-03
155,3,2020-06-04
156,3,2020-06-05
157,3,2020-06-06
158,3,2020-06-07
159,3,2020-06-08
160,3,2020-06-09
161,3,2020-06-10
162,3,2020-06-11
163,3,2020-06-12
164,3,2020-06-13
165,3,2020-06-14
166,3,2020-06-15
167,3,2020-06-16
168,3,2020-06-17
169,3,2020-06-18
170,3,2020-06-19
171,3,2020-06-20
172,3,2020-06-21
173,3,2020-06-22
174,3,2020-06-23
175,3,2020-06-24
176,3,2020-06-25
177,3,2020-06-26
178,3,2020-06-27
179,3,2020-06-28
180,3,2020-06-29
181,3,2020-06-30
182,3,2020-07-01
183,3,2020-07-02
184,3,2020-07-03
185,3,2020-07-04
186,3,2020-07-05
187,3,2020-07-06
188,3,2020-07-07
189,3,2020-07-08
190,3,2020-07-09
191,3,2020-07-10
192,3,2020-07-11
193,3,2020-07-12
194,3,2020-07-13
195,3,2020-07-14
196,3,2020-07-15
197,3,2020-07-16
198,3,2020-07-17
199,3,2020-07-18
200,3,2020-07-19
201,3,2020-07-20
202,3,2020-07-21
203,3,2020-07-22
204,3,2020-07-23
205,3,2020-07-24
206,3,2020-07-25
207,3,2020-07-26
208,3,2020-07-27
209,3,2020-07-28
210,3,2020-07-29
211,3,2020-07-30
212,3,2020-07-31
213,3,2020-08-01
214,3,2020-08-02
215,3,2020-08-03
216,3,2020-08-04
217,3,2020-08-05
218,3,2020-08-06
219,3,2020-08-07
220,3,2020-08-08
221,3,2020-08-09
222,3,2020-08-10
223,3,2020-08-11
224,3,2020-08-12
225,3,2020-08-13
226,3,2020-08-14
227,3,2020-08-15
228,3,2020-08-16
229,3,2020-08-17
230,3,2020-08-18
231,3,2020-08-19
232,3,2020-08-20
233,3,2020-08-21
234,3,2020-08-22
235,3,2020-08-23
236,3,2020-08-24
237,3,2020-08-25
238,3,2020-08-26
239,3,2020-08-27
240,3,2020-08-28
241,3,2020-08-29
242,3,2020-08-30
243,3,2020-08-31
244,2,2020-09-01
245,2,2020-09-02
246,2,2020-09-03
247,2,2020-09-04
248,2,2020-09-05
249,2,2020-09-06
250,2,2020-09-07
251,2,2020-09-08
252,2,2020-09-09
253,1,2020-09-10
254,1,2020-09-11
255,1,2020-09-12
256,1,2020-09-13
257,1,2020-09-14
258,1,2020-09-15
259,1,2020-09-16
260,1,2020-09-17
261,1,2020-09-18
262,1,2020-09-19
263,1,2020-09-20
264,1,2020-09-21
265,1,2020-09-22
266,1,2020-09-23
267,1,2020-09-24
268,1,2020-09-25
269,1,2020-09-26
270,1,2020-09-27
271,1,2020-09-28
272,1,2020-09-29
273,1,2020-09-30
274,1,2020-10-01
275,1,2020-10-02
